cell_id,Rhipidura albiscapa,Rhipidura albiscapa [pelzelni Group],Rhipidura albiscapa keasti,Rhipidura albiscapa alisteri,Rhipidura albiscapa albiscapa,Rhipidura albiscapa preissi,Rhipidura albiscapa albicauda
829457fffffffff,9.0,0.0,0.0,2.0,0.0,0.0,0.0
829487fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,4.0
82948ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8294f7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,2.0
829c07fffffffff,5.0,0.0,4.0,1.0,0.0,0.0,0.0
829c0ffffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0
829c1ffffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
829c27fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
829c47fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
829c77fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
829d0ffffffffff,12.0,0.0,6.0,6.0,0.0,0.0,0.0
829d27fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
829e17fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
829e27fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
829ed7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
82a727fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82be0ffffffffff,76.0,0.0,0.0,2.0,0.0,0.0,0.0
82be1ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82be47fffffffff,10.0,0.0,0.0,3.0,2.0,0.0,0.0
82be57fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82be67fffffffff,92.0,0.0,0.0,2.0,42.0,0.0,0.0
82be6ffffffffff,4.0,0.0,0.0,0.0,3.0,0.0,0.0
82be77fffffffff,416.0,0.0,0.0,0.0,2.0,0.0,0.0
82be8ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
82beaffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82bef7fffffffff,7.0,0.0,0.0,4.0,0.0,0.0,0.0
82bf4ffffffffff,16.0,0.0,0.0,0.0,12.0,0.0,0.0
82c997fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
