cell_id,Amandava amandava,Amandava amandava amandava/punicea,Amandava amandava flavidiventris
83185bfffffffff,2.0,0.0,0.0
831ecefffffffff,2.0,0.0,0.0
832c93fffffffff,1.0,0.0,0.0
832cf3fffffffff,5.0,0.0,0.0
832db0fffffffff,1.0,0.0,0.0
833900fffffffff,8.0,0.0,0.0
833901fffffffff,3.0,0.0,0.0
833902fffffffff,60.0,0.0,0.0
833903fffffffff,1.0,0.0,0.0
833904fffffffff,1.0,0.0,0.0
833906fffffffff,3.0,0.0,0.0
83390cfffffffff,8.0,0.0,0.0
833922fffffffff,13.0,0.0,0.0
83392afffffffff,2.0,0.0,0.0
833933fffffffff,35.0,0.0,0.0
833974fffffffff,2.0,0.0,0.0
833c02fffffffff,26.0,0.0,0.0
833c1bfffffffff,30.0,0.0,0.0
833c1cfffffffff,2.0,0.0,0.0
833c36fffffffff,2.0,0.0,0.0
833c80fffffffff,3.0,0.0,0.0
833c8dfffffffff,3.0,0.0,0.0
833c8efffffffff,3.0,0.0,0.0
833c90fffffffff,4.0,0.0,0.0
833ca8fffffffff,6.0,0.0,0.0
833ca9fffffffff,4.0,0.0,0.0
833cb1fffffffff,7.0,0.0,0.0
833cc4fffffffff,1.0,0.0,0.0
833ce1fffffffff,5.0,0.0,0.0
833cf1fffffffff,18.0,0.0,0.0
833cf2fffffffff,15.0,0.0,0.0
833cf4fffffffff,11.0,0.0,0.0
833cf6fffffffff,13.0,0.0,0.0
833d30fffffffff,3.0,0.0,0.0
833d32fffffffff,5.0,0.0,0.0
833d36fffffffff,14.0,0.0,0.0
833d85fffffffff,2.0,0.0,0.0
833d8cfffffffff,2.0,0.0,0.0
833d8dfffffffff,4.0,0.0,0.0
833da3fffffffff,1.0,0.0,0.0
833da9fffffffff,2.0,0.0,0.0
833dacfffffffff,4.0,0.0,0.0
833db2fffffffff,1.0,0.0,0.0
833e58fffffffff,3.0,0.0,0.0
83411cfffffffff,2.0,0.0,0.0
834159fffffffff,2.0,0.0,0.0
83416bfffffffff,4.0,0.0,0.0
83416dfffffffff,5.0,0.0,0.0
834269fffffffff,3.0,0.0,0.0
8342ccfffffffff,3.0,0.0,0.0
8342dbfffffffff,8.0,0.0,0.0
8342ddfffffffff,2.0,0.0,0.0
8343acfffffffff,7.0,0.0,0.0
8343aefffffffff,2.0,0.0,0.0
834648fffffffff,2.0,0.0,0.0
83464efffffffff,2.0,0.0,0.0
834ba2fffffffff,9.0,0.0,0.0
834bb5fffffffff,1.0,0.0,0.0
834ceafffffffff,1.0,0.0,0.0
835355fffffffff,2.0,0.0,0.0
835d10fffffffff,20.0,0.0,0.0
835d11fffffffff,4.0,0.0,0.0
836006fffffffff,15.0,0.0,0.0
836010fffffffff,4.0,0.0,0.0
836011fffffffff,23.0,0.0,0.0
836013fffffffff,1.0,0.0,0.0
836014fffffffff,2.0,0.0,0.0
836015fffffffff,23.0,0.0,0.0
836016fffffffff,4.0,0.0,0.0
83601efffffffff,2.0,0.0,0.0
836022fffffffff,4.0,0.0,0.0
836026fffffffff,12.0,0.0,0.0
836030fffffffff,2.0,0.0,0.0
836031fffffffff,58.0,0.0,0.0
836032fffffffff,2.0,0.0,0.0
836033fffffffff,27.0,0.0,0.0
836088fffffffff,32.0,0.0,0.0
83608bfffffffff,4.0,0.0,0.0
83608efffffffff,14.0,0.0,0.0
836099fffffffff,4.0,0.0,0.0
83609dfffffffff,2.0,0.0,0.0
83609efffffffff,5.0,0.0,0.0
8360a8fffffffff,7.0,0.0,0.0
8360a9fffffffff,102.0,0.0,0.0
8360abfffffffff,2.0,0.0,0.0
8360adfffffffff,3.0,0.0,0.0
8360aefffffffff,4.0,0.0,0.0
8360b1fffffffff,8.0,0.0,0.0
836189fffffffff,4.0,0.0,0.0
83618cfffffffff,5.0,0.0,0.0
836482fffffffff,3.0,0.0,0.0
83648dfffffffff,1.0,0.0,0.0
836490fffffffff,3.0,0.0,0.0
8364a2fffffffff,3.0,3.0,0.0
8364b4fffffffff,4.0,0.0,0.0
8364b6fffffffff,7.0,0.0,0.0
836501fffffffff,2.0,0.0,0.0
83651dfffffffff,2.0,0.0,0.0
836520fffffffff,12.0,0.0,0.0
836523fffffffff,1.0,0.0,0.0
836526fffffffff,7.0,0.0,0.0
836584fffffffff,2.0,0.0,0.0
8365b3fffffffff,1.0,0.0,0.0
8365b5fffffffff,2.0,0.0,0.0
838cadfffffffff,2.0,0.0,0.0
838db5fffffffff,1.0,0.0,0.0
839b6bfffffffff,2.0,0.0,0.0
