cell_id,Tunchiornis ochraceiceps,Tunchiornis ochraceiceps [ochraceiceps Group],Tunchiornis ochraceiceps ferrugineifrons/viridior,Tunchiornis ochraceiceps luteifrons,Tunchiornis ochraceiceps rubrifrons/lutescens
83450efffffffff,2.0,0.0,0.0,0.0,0.0
834523fffffffff,4.0,0.0,0.0,0.0,0.0
834525fffffffff,3.0,0.0,0.0,0.0,0.0
83452afffffffff,12.0,0.0,0.0,0.0,0.0
83452dfffffffff,8.0,6.0,0.0,0.0,0.0
83452efffffffff,10.0,10.0,0.0,0.0,0.0
835f03fffffffff,1.0,0.0,0.0,1.0,0.0
835f40fffffffff,1.0,0.0,0.0,0.0,0.0
835f42fffffffff,1.0,0.0,0.0,0.0,0.0
836611fffffffff,15.0,0.0,0.0,0.0,0.0
836613fffffffff,2.0,0.0,0.0,0.0,0.0
83661cfffffffff,11.0,0.0,0.0,0.0,0.0
8366b0fffffffff,2.0,2.0,0.0,0.0,0.0
8366c0fffffffff,5.0,0.0,0.0,0.0,0.0
8366d3fffffffff,1.0,0.0,0.0,0.0,0.0
8366dafffffffff,4.0,0.0,2.0,0.0,0.0
8366defffffffff,42.0,0.0,2.0,0.0,0.0
836792fffffffff,1.0,0.0,0.0,0.0,0.0
836d21fffffffff,5.0,0.0,0.0,0.0,0.0
836d2cfffffffff,10.0,6.0,0.0,0.0,0.0
836d31fffffffff,1.0,0.0,0.0,0.0,0.0
836d65fffffffff,1.0,0.0,0.0,0.0,0.0
836d69fffffffff,5.0,5.0,0.0,0.0,0.0
838af2fffffffff,2.0,0.0,0.0,2.0,0.0
838b61fffffffff,3.0,0.0,1.0,0.0,0.0
838b9dfffffffff,1.0,0.0,0.0,0.0,1.0
