cell_id,Pyrrhula pyrrhula,Pyrrhula pyrrhula [pyrrhula Group],Pyrrhula pyrrhula [griseiventris Group]
820127fffffffff,19.0,1.0,0.0
820137fffffffff,27.0,5.0,0.0
820807fffffffff,17.0,0.0,0.0
820817fffffffff,102.0,4.0,0.0
82081ffffffffff,39.0,0.0,0.0
82082ffffffffff,8.0,0.0,0.0
820837fffffffff,9.0,0.0,0.0
820887fffffffff,293.0,1.0,0.0
82088ffffffffff,83.0,18.0,0.0
820897fffffffff,37.0,0.0,0.0
82089ffffffffff,621.0,98.0,0.0
8208a7fffffffff,136.0,38.0,0.0
8208affffffffff,4.0,0.0,0.0
8208b7fffffffff,92.0,0.0,0.0
8208c7fffffffff,37.0,4.0,0.0
8208cffffffffff,107.0,24.0,0.0
8208d7fffffffff,123.0,6.0,0.0
8208dffffffffff,190.0,17.0,0.0
8208e7fffffffff,14.0,0.0,0.0
8208effffffffff,36.0,0.0,0.0
8208f7fffffffff,20.0,2.0,0.0
82094ffffffffff,9.0,0.0,0.0
82095ffffffffff,23.0,0.0,0.0
820987fffffffff,10.0,0.0,0.0
82098ffffffffff,42.0,9.0,0.0
820997fffffffff,35.0,0.0,0.0
82099ffffffffff,135.0,30.0,0.0
8209affffffffff,2.0,0.0,0.0
820a37fffffffff,5.0,0.0,0.0
820b9ffffffffff,4.0,0.0,0.0
820bb7fffffffff,44.0,0.0,0.0
821017fffffffff,3.0,0.0,0.0
821027fffffffff,3.0,1.0,0.0
8210a7fffffffff,2.0,0.0,0.0
8210affffffffff,4.0,0.0,0.0
8210c7fffffffff,148.0,0.0,0.0
8210d7fffffffff,7.0,0.0,0.0
8210dffffffffff,20.0,0.0,0.0
8210effffffffff,63.0,0.0,0.0
8210f7fffffffff,7.0,2.0,0.0
821107fffffffff,380.0,5.0,0.0
821117fffffffff,35.0,0.0,0.0
821127fffffffff,87.0,12.0,0.0
82112ffffffffff,52.0,10.0,0.0
821137fffffffff,146.0,0.0,0.0
821157fffffffff,3.0,0.0,0.0
82115ffffffffff,1.0,1.0,0.0
821167fffffffff,2.0,0.0,0.0
821187fffffffff,134.0,0.0,0.0
82118ffffffffff,151.0,12.0,0.0
82119ffffffffff,9.0,0.0,0.0
8211a7fffffffff,2.0,0.0,0.0
8211affffffffff,859.0,33.0,0.0
8211b7fffffffff,26.0,0.0,0.0
82148ffffffffff,2.0,0.0,0.0
82149ffffffffff,2.0,0.0,0.0
8214cffffffffff,1.0,0.0,1.0
82158ffffffffff,2.0,0.0,0.0
82159ffffffffff,22.0,4.0,2.0
821617fffffffff,18.0,0.0,0.0
821637fffffffff,2.0,0.0,0.0
82178ffffffffff,4.0,0.0,0.0
821807fffffffff,30.0,2.0,0.0
82180ffffffffff,2.0,0.0,0.0
821827fffffffff,45.0,19.0,0.0
82182ffffffffff,783.0,65.0,0.0
821847fffffffff,33.0,0.0,0.0
82184ffffffffff,1393.0,10.0,0.0
82185ffffffffff,246.0,0.0,0.0
821867fffffffff,41.0,13.0,0.0
82186ffffffffff,16.0,3.0,0.0
821877fffffffff,238.0,41.0,0.0
82190ffffffffff,472.0,88.0,0.0
82192ffffffffff,66.0,27.0,0.0
821947fffffffff,3657.0,1046.0,0.0
82194ffffffffff,1409.0,179.0,0.0
821957fffffffff,809.0,155.0,0.0
82195ffffffffff,2389.0,178.0,0.0
82196ffffffffff,254.0,0.0,0.0
821977fffffffff,755.0,19.0,0.0
821e07fffffffff,699.0,12.0,0.0
821e0ffffffffff,357.0,0.0,0.0
821e17fffffffff,309.0,5.0,0.0
821e1ffffffffff,83.0,3.0,0.0
821e27fffffffff,592.0,0.0,0.0
821e2ffffffffff,252.0,1.0,0.0
821e37fffffffff,883.0,12.0,0.0
821e47fffffffff,31.0,0.0,0.0
821e4ffffffffff,5.0,0.0,0.0
821e57fffffffff,63.0,0.0,0.0
821e5ffffffffff,6.0,0.0,0.0
821e67fffffffff,98.0,0.0,0.0
821e6ffffffffff,21.0,0.0,0.0
821e77fffffffff,54.0,0.0,0.0
821e87fffffffff,5.0,0.0,0.0
821e8ffffffffff,2.0,0.0,0.0
821ea7fffffffff,15.0,4.0,0.0
821eaffffffffff,16.0,0.0,0.0
821ec7fffffffff,396.0,0.0,0.0
821ecffffffffff,19.0,0.0,0.0
821ed7fffffffff,10.0,0.0,0.0
821ee7fffffffff,36.0,0.0,0.0
821eeffffffffff,11.0,0.0,0.0
821ef7fffffffff,41.0,0.0,0.0
821f07fffffffff,337.0,53.0,0.0
821f0ffffffffff,41.0,0.0,0.0
821f17fffffffff,577.0,25.0,0.0
821f1ffffffffff,217.0,44.0,0.0
821f27fffffffff,211.0,29.0,0.0
821f2ffffffffff,366.0,135.0,0.0
821f37fffffffff,72.0,26.0,0.0
821f47fffffffff,77.0,0.0,0.0
821f4ffffffffff,265.0,0.0,0.0
821f57fffffffff,163.0,4.0,0.0
821f5ffffffffff,144.0,0.0,0.0
821f67fffffffff,115.0,0.0,0.0
821f6ffffffffff,19.0,0.0,0.0
821f77fffffffff,257.0,0.0,0.0
821f87fffffffff,340.0,16.0,0.0
821f8ffffffffff,934.0,185.0,0.0
821f97fffffffff,168.0,56.0,0.0
821f9ffffffffff,240.0,41.0,0.0
821fa7fffffffff,364.0,0.0,0.0
821faffffffffff,422.0,18.0,0.0
821fb7fffffffff,87.0,15.0,0.0
822047fffffffff,4.0,3.0,0.0
82204ffffffffff,4.0,0.0,0.0
82206ffffffffff,11.0,3.0,0.0
822127fffffffff,1.0,0.0,0.0
82240ffffffffff,1.0,0.0,0.0
822427fffffffff,1.0,0.0,1.0
82242ffffffffff,1.0,0.0,1.0
822517fffffffff,4.0,4.0,0.0
822547fffffffff,34.0,0.0,0.0
82255ffffffffff,52.0,11.0,7.0
822577fffffffff,22.0,0.0,0.0
822c07fffffffff,70.0,0.0,0.0
822c0ffffffffff,11.0,0.0,0.0
822c1ffffffffff,16.0,0.0,0.0
822c27fffffffff,86.0,0.0,0.0
822c2ffffffffff,158.0,0.0,0.0
822cc7fffffffff,7.0,0.0,0.0
822cf7fffffffff,13.0,0.0,0.0
822d07fffffffff,23.0,0.0,0.0
822d1ffffffffff,14.0,0.0,0.0
822d37fffffffff,143.0,0.0,0.0
822d57fffffffff,5.0,0.0,0.0
822d5ffffffffff,1.0,0.0,0.0
822d67fffffffff,38.0,0.0,0.0
822e0ffffffffff,2.0,0.0,0.0
822e17fffffffff,49.0,0.0,23.0
822e1ffffffffff,19.0,0.0,1.0
822e67fffffffff,6.0,0.0,0.0
822e6ffffffffff,20.0,0.0,0.0
822e77fffffffff,47.0,0.0,17.0
822e8ffffffffff,12.0,0.0,11.0
822ea7fffffffff,2.0,0.0,2.0
822eaffffffffff,80.0,0.0,21.0
822ec7fffffffff,1.0,0.0,0.0
822ed7fffffffff,2.0,0.0,0.0
822edffffffffff,7.0,0.0,0.0
822ef7fffffffff,3.0,0.0,0.0
822f5ffffffffff,58.0,0.0,9.0
8230c7fffffffff,1.0,0.0,0.0
8230e7fffffffff,33.0,0.0,0.0
8230effffffffff,2.0,0.0,0.0
823157fffffffff,4.0,0.0,0.0
82316ffffffffff,4.0,0.0,0.0
823907fffffffff,324.0,0.0,0.0
82390ffffffffff,7.0,0.0,0.0
823917fffffffff,280.0,7.0,0.0
82391ffffffffff,106.0,0.0,0.0
823927fffffffff,851.0,2.0,0.0
82392ffffffffff,1051.0,0.0,0.0
823937fffffffff,30.0,0.0,0.0
823947fffffffff,68.0,0.0,0.0
823967fffffffff,492.0,1.0,0.0
82396ffffffffff,7.0,0.0,0.0
823977fffffffff,665.0,18.0,0.0
