cell_id,Cisticola ayresii,Cisticola ayresii gabun,Cisticola ayresii [ayresii Group]
836a5afffffffff,8.0,0.0,0.0
836ac3fffffffff,74.0,0.0,0.0
836acafffffffff,2.0,0.0,0.0
836acefffffffff,11.0,0.0,0.0
836ad8fffffffff,1.0,0.0,0.0
836adcfffffffff,9.0,0.0,0.0
836addfffffffff,5.0,0.0,0.0
836adefffffffff,1.0,0.0,0.0
836ae8fffffffff,6.0,0.0,0.0
836aeafffffffff,1.0,0.0,0.0
836aeefffffffff,14.0,0.0,0.0
837a45fffffffff,38.0,0.0,0.0
837a48fffffffff,4.0,0.0,0.0
837a4bfffffffff,7.0,0.0,0.0
837a6afffffffff,47.0,0.0,0.0
838326fffffffff,5.0,0.0,5.0
838333fffffffff,4.0,0.0,2.0
839609fffffffff,21.0,0.0,0.0
839614fffffffff,1.0,0.0,0.0
839654fffffffff,1.0,0.0,0.0
839656fffffffff,13.0,0.0,4.0
8396a0fffffffff,3.0,0.0,0.0
8396a2fffffffff,4.0,0.0,0.0
8396a5fffffffff,31.0,0.0,0.0
8396b6fffffffff,10.0,0.0,0.0
839702fffffffff,14.0,0.0,0.0
839703fffffffff,3.0,0.0,0.0
839719fffffffff,2.0,0.0,0.0
83971cfffffffff,1.0,0.0,0.0
83bc09fffffffff,1.0,0.0,0.0
83bc19fffffffff,5.0,0.0,3.0
83bc54fffffffff,1.0,0.0,0.0
83bc89fffffffff,2.0,0.0,0.0
83bcc0fffffffff,5.0,0.0,0.0
83bcc2fffffffff,29.0,0.0,8.0
83bcc3fffffffff,56.0,0.0,8.0
83bcc4fffffffff,21.0,0.0,1.0
83bcc5fffffffff,4.0,0.0,3.0
83bcc6fffffffff,290.0,0.0,94.0
83bcd0fffffffff,57.0,0.0,14.0
83bcd1fffffffff,130.0,0.0,42.0
83bcd2fffffffff,2.0,0.0,0.0
83bcd4fffffffff,26.0,0.0,0.0
83bcd5fffffffff,22.0,0.0,3.0
83bcdcfffffffff,54.0,0.0,12.0
83bcddfffffffff,11.0,0.0,2.0
83bce0fffffffff,4.0,0.0,1.0
83bce2fffffffff,62.0,0.0,20.0
83bce4fffffffff,1.0,0.0,0.0
83bce5fffffffff,2.0,0.0,0.0
83bce6fffffffff,84.0,0.0,18.0
83bce8fffffffff,4.0,0.0,0.0
83bcf1fffffffff,9.0,0.0,2.0
83bcf2fffffffff,6.0,0.0,0.0
83bcf3fffffffff,199.0,0.0,60.0
83bcf5fffffffff,182.0,0.0,82.0
83bcf6fffffffff,14.0,0.0,5.0
