cell_id,Terpsiphone mutata,Terpsiphone mutata [mutata Group],Terpsiphone mutata vulpina/voeltzkowiana,Terpsiphone mutata comorensis
84a2049ffffffff,4.0,2.0,0.0,0.0
84a204dffffffff,2.0,0.0,0.0,0.0
84a210dffffffff,1.0,0.0,0.0,0.0
84a2129ffffffff,4.0,0.0,0.0,0.0
84a213dffffffff,1.0,0.0,0.0,0.0
84a2143ffffffff,385.0,179.0,0.0,0.0
84a2147ffffffff,4.0,2.0,0.0,0.0
84a214bffffffff,4.0,4.0,0.0,0.0
84a215dffffffff,2.0,0.0,0.0,0.0
84a2227ffffffff,365.0,137.0,0.0,0.0
84a223dffffffff,1.0,0.0,0.0,0.0
84a2307ffffffff,2.0,2.0,0.0,0.0
84a2319ffffffff,3.0,1.0,0.0,0.0
84a231bffffffff,571.0,227.0,0.0,0.0
84a231dffffffff,2.0,0.0,0.0,0.0
84a2353ffffffff,20.0,4.0,0.0,0.0
84a2357ffffffff,4.0,3.0,0.0,0.0
84a2a3bffffffff,4.0,0.0,0.0,0.0
84a2a47ffffffff,1.0,0.0,0.0,0.0
84a2a49ffffffff,134.0,55.0,0.0,0.0
84a2a69ffffffff,6.0,3.0,0.0,0.0
84a2a6dffffffff,1.0,0.0,0.0,0.0
84a2ae1ffffffff,6.0,1.0,0.0,0.0
84a2ae9ffffffff,14.0,6.0,0.0,0.0
84a2aedffffffff,170.0,81.0,0.0,0.0
84a3043ffffffff,6.0,0.0,0.0,0.0
84a3047ffffffff,16.0,0.0,0.0,0.0
84a304dffffffff,4.0,0.0,0.0,0.0
84a308bffffffff,41.0,7.0,0.0,0.0
84a3091ffffffff,11.0,1.0,0.0,0.0
84a3093ffffffff,29.0,12.0,0.0,0.0
84a30c3ffffffff,8.0,0.0,0.0,0.0
84a30c7ffffffff,1.0,0.0,0.0,0.0
84a30cbffffffff,3.0,0.0,0.0,0.0
84a30d5ffffffff,3.0,3.0,0.0,0.0
84a30ddffffffff,15.0,3.0,0.0,0.0
84a30e7ffffffff,5.0,0.0,0.0,0.0
84a30ebffffffff,1.0,0.0,0.0,0.0
84a3189ffffffff,5.0,2.0,0.0,0.0
84a318bffffffff,4.0,0.0,0.0,0.0
84a318dffffffff,1.0,1.0,0.0,0.0
84a3191ffffffff,6.0,6.0,0.0,0.0
84a3199ffffffff,7.0,0.0,0.0,0.0
84a319dffffffff,382.0,177.0,0.0,0.0
84a31bbffffffff,5.0,5.0,0.0,0.0
84a31c7ffffffff,4.0,0.0,0.0,0.0
84a31d5ffffffff,8.0,5.0,0.0,0.0
84a3319ffffffff,11.0,0.0,0.0,0.0
84a331bffffffff,3.0,0.0,0.0,0.0
84a331dffffffff,10.0,0.0,0.0,0.0
84a3351ffffffff,19.0,0.0,0.0,0.0
84a3357ffffffff,4.0,0.0,0.0,0.0
84a3561ffffffff,6.0,2.0,0.0,0.0
84a3565ffffffff,16.0,6.0,0.0,0.0
84a3567ffffffff,118.0,44.0,0.0,0.0
84a356dffffffff,9.0,0.0,0.0,0.0
84a3761ffffffff,15.0,5.0,0.0,0.0
84a3765ffffffff,16.0,7.0,0.0,0.0
84a3767ffffffff,3.0,0.0,0.0,0.0
84a3769ffffffff,1.0,1.0,0.0,0.0
84a3889ffffffff,2.0,0.0,0.0,0.0
84a389dffffffff,1.0,0.0,0.0,0.0
84a38b3ffffffff,57.0,22.0,0.0,0.0
84a38b7ffffffff,11.0,5.0,0.0,0.0
84a38c7ffffffff,2.0,0.0,0.0,0.0
84a38ddffffffff,2.0,0.0,0.0,0.0
84a3993ffffffff,74.0,36.0,0.0,0.0
84a3997ffffffff,7.0,3.0,0.0,0.0
84a399bffffffff,132.0,60.0,0.0,0.0
84a3a95ffffffff,6.0,4.0,0.0,0.0
84a3ab3ffffffff,7.0,4.0,0.0,0.0
84a3ab7ffffffff,35.0,16.0,0.0,0.0
84a3ab9ffffffff,1.0,1.0,0.0,0.0
84a3abbffffffff,8.0,5.0,0.0,0.0
84a3ad7ffffffff,4.0,0.0,0.0,0.0
84a3addffffffff,1.0,0.0,0.0,0.0
