cell_id,Phaeochroa cuvierii,Phaeochroa cuvierii roberti,Phaeochroa cuvierii [cuvierii Group]
834520fffffffff,41.0,0.0,0.0
834521fffffffff,251.0,0.0,0.0
834522fffffffff,563.0,0.0,0.0
834523fffffffff,226.0,0.0,0.0
834525fffffffff,24.0,0.0,0.0
834526fffffffff,7.0,0.0,0.0
834528fffffffff,40.0,0.0,0.0
83452afffffffff,38.0,0.0,0.0
83452cfffffffff,446.0,13.0,0.0
83452dfffffffff,177.0,30.0,0.0
83452efffffffff,2612.0,33.0,0.0
834530fffffffff,6.0,0.0,0.0
834531fffffffff,1.0,0.0,0.0
834532fffffffff,7.0,0.0,0.0
834534fffffffff,33.0,0.0,0.0
834536fffffffff,8.0,0.0,0.0
836606fffffffff,6.0,0.0,0.0
836610fffffffff,1244.0,0.0,89.0
836612fffffffff,10.0,0.0,0.0
836613fffffffff,79.0,0.0,5.0
836616fffffffff,495.0,0.0,36.0
836620fffffffff,7.0,0.0,0.0
836622fffffffff,9.0,0.0,0.0
836631fffffffff,40.0,0.0,0.0
836684fffffffff,21.0,0.0,0.0
8366a0fffffffff,9.0,0.0,0.0
8366a1fffffffff,46.0,0.0,0.0
8366a2fffffffff,39.0,0.0,0.0
8366a3fffffffff,104.0,0.0,0.0
8366a5fffffffff,239.0,0.0,14.0
8366aefffffffff,9.0,0.0,3.0
8366b0fffffffff,395.0,0.0,0.0
8366b1fffffffff,18.0,0.0,0.0
8366b4fffffffff,1499.0,0.0,0.0
8366b5fffffffff,2363.0,0.0,2.0
8366b6fffffffff,146.0,0.0,0.0
83678bfffffffff,6.0,0.0,0.0
836790fffffffff,4.0,0.0,0.0
836792fffffffff,13.0,0.0,0.0
836793fffffffff,9.0,0.0,0.0
836794fffffffff,8.0,0.0,0.0
836796fffffffff,43.0,0.0,0.0
83679afffffffff,960.0,0.0,0.0
83679bfffffffff,37.0,0.0,0.0
836d21fffffffff,10.0,0.0,0.0
836d2cfffffffff,221.0,66.0,0.0
836d2dfffffffff,51.0,0.0,0.0
836d2efffffffff,4.0,0.0,0.0
836d61fffffffff,7.0,0.0,0.0
836d64fffffffff,2.0,0.0,0.0
836d65fffffffff,144.0,0.0,0.0
836d68fffffffff,973.0,0.0,0.0
836d69fffffffff,9212.0,0.0,0.0
836d6afffffffff,3.0,0.0,0.0
836d6bfffffffff,702.0,0.0,0.0
836d6cfffffffff,1.0,0.0,0.0
836d6dfffffffff,682.0,0.0,0.0
