cell_id,Picus viridis,Picus viridis viridis/karelini,Picus viridis innominatus
8411069ffffffff,1.0,0.0,0.0
841849dffffffff,2.0,2.0,0.0
84184c3ffffffff,8.0,8.0,0.0
84184d9ffffffff,2.0,2.0,0.0
84184ddffffffff,2.0,2.0,0.0
8418691ffffffff,8.0,8.0,0.0
8418697ffffffff,2.0,2.0,0.0
8419591ffffffff,4.0,0.0,0.0
8419739ffffffff,2.0,0.0,0.0
841e029ffffffff,2.0,2.0,0.0
841e0a9ffffffff,1.0,1.0,0.0
841e0b3ffffffff,1.0,1.0,0.0
841e0b7ffffffff,1.0,1.0,0.0
841e0cbffffffff,2.0,2.0,0.0
841e125ffffffff,2.0,2.0,0.0
841e1b7ffffffff,1.0,0.0,0.0
841ea03ffffffff,1.0,0.0,0.0
841ea09ffffffff,2.0,0.0,0.0
841ea41ffffffff,2.0,2.0,0.0
841ea53ffffffff,1.0,0.0,0.0
841ea55ffffffff,1.0,0.0,0.0
841ea5bffffffff,1.0,0.0,0.0
841eb59ffffffff,2.0,0.0,0.0
841ec09ffffffff,3.0,0.0,0.0
841ec1dffffffff,4.0,0.0,0.0
841ec47ffffffff,9.0,0.0,0.0
841ec57ffffffff,2.0,0.0,0.0
841ec91ffffffff,2.0,0.0,0.0
841ecc5ffffffff,1.0,0.0,0.0
841ece9ffffffff,1.0,0.0,0.0
841ee09ffffffff,2.0,2.0,0.0
841ee5bffffffff,2.0,2.0,0.0
841eea3ffffffff,2.0,0.0,0.0
841eeadffffffff,2.0,0.0,0.0
841ef0dffffffff,2.0,0.0,0.0
841f319ffffffff,2.0,2.0,0.0
841f98bffffffff,2.0,2.0,0.0
841f9edffffffff,1.0,0.0,0.0
842c109ffffffff,2.0,0.0,0.0
842c2a1ffffffff,7.0,5.0,0.0
843964bffffffff,4.0,4.0,0.0
843f2d7ffffffff,1.0,0.0,0.0
843f749ffffffff,1.0,0.0,0.0
