cell_id,Campocolinus albogularis,Campocolinus albogularis albogularis/buckleyi,Campocolinus albogularis dewittei
84545cbffffffff,1.0,0.0,0.0
849646dffffffff,1.0,0.0,0.0
849673bffffffff,3.0,0.0,0.0
