cell_id,Empidonax difficilis,Empidonax difficilis [difficilis Group],Empidonax difficilis occidentalis/hellmayri,Empidonax difficilis difficilis x hellmayri
841213bffffffff,2.0,2.0,0.0,0.0
8412185ffffffff,3.0,3.0,0.0,0.0
84121a1ffffffff,2.0,2.0,0.0,0.0
84121a7ffffffff,1.0,1.0,0.0,0.0
84121a9ffffffff,2.0,2.0,0.0,0.0
84121abffffffff,1.0,1.0,0.0,0.0
84121adffffffff,2.0,2.0,0.0,0.0
84121e3ffffffff,4.0,4.0,0.0,0.0
8412801ffffffff,4.0,4.0,0.0,0.0
8412805ffffffff,62.0,62.0,0.0,0.0
841280dffffffff,29.0,29.0,0.0,0.0
8412823ffffffff,1.0,1.0,0.0,0.0
8412825ffffffff,1.0,1.0,0.0,0.0
8412827ffffffff,1.0,1.0,0.0,0.0
8412835ffffffff,2.0,2.0,0.0,0.0
8412847ffffffff,43.0,43.0,0.0,0.0
8412851ffffffff,7.0,7.0,0.0,0.0
8412857ffffffff,2.0,2.0,0.0,0.0
841285bffffffff,1.0,1.0,0.0,0.0
841285dffffffff,2.0,2.0,0.0,0.0
8412861ffffffff,12.0,11.0,0.0,0.0
8412865ffffffff,26.0,25.0,0.0,0.0
8412867ffffffff,1.0,1.0,0.0,0.0
841286bffffffff,26.0,26.0,0.0,0.0
841286dffffffff,31.0,31.0,0.0,0.0
8412887ffffffff,2.0,2.0,0.0,0.0
8412891ffffffff,1.0,1.0,0.0,0.0
8412893ffffffff,13.0,13.0,0.0,0.0
8412895ffffffff,2.0,2.0,0.0,0.0
8412897ffffffff,6.0,6.0,0.0,0.0
8412899ffffffff,7.0,7.0,0.0,0.0
841289bffffffff,44.0,43.0,0.0,0.0
84128bdffffffff,46.0,46.0,0.0,0.0
84128d1ffffffff,2.0,2.0,0.0,0.0
84128d3ffffffff,27.0,27.0,0.0,0.0
84128dbffffffff,21.0,21.0,0.0,0.0
84128e7ffffffff,4.0,4.0,0.0,0.0
8412901ffffffff,20.0,20.0,0.0,0.0
8412907ffffffff,25.0,25.0,0.0,0.0
8412909ffffffff,7.0,7.0,0.0,0.0
841290dffffffff,4.0,4.0,0.0,0.0
8412931ffffffff,2.0,2.0,0.0,0.0
8412939ffffffff,6.0,6.0,0.0,0.0
841293dffffffff,7.0,7.0,0.0,0.0
8412941ffffffff,18.0,18.0,0.0,0.0
8412943ffffffff,6.0,6.0,0.0,0.0
8412945ffffffff,3.0,3.0,0.0,0.0
8412947ffffffff,39.0,38.0,0.0,0.0
8412949ffffffff,19.0,19.0,0.0,0.0
841294bffffffff,9.0,9.0,0.0,0.0
841294dffffffff,1.0,1.0,0.0,0.0
841296bffffffff,2.0,2.0,0.0,0.0
8412987ffffffff,6.0,6.0,0.0,0.0
8412989ffffffff,21.0,21.0,0.0,0.0
841298dffffffff,62.0,62.0,0.0,0.0
8412991ffffffff,8.0,8.0,0.0,0.0
8412993ffffffff,14.0,14.0,0.0,0.0
841299dffffffff,2.0,2.0,0.0,0.0
84129a3ffffffff,4.0,4.0,0.0,0.0
84129abffffffff,13.0,12.0,0.0,0.0
84129b1ffffffff,3.0,3.0,0.0,0.0
84129b3ffffffff,8.0,8.0,0.0,0.0
84129b5ffffffff,8.0,8.0,0.0,0.0
84129b7ffffffff,26.0,26.0,0.0,0.0
84129b9ffffffff,16.0,13.0,0.0,0.0
84129bbffffffff,39.0,39.0,0.0,0.0
84129bdffffffff,2.0,2.0,0.0,0.0
84129c1ffffffff,3.0,3.0,0.0,0.0
84129c3ffffffff,11.0,11.0,0.0,0.0
84129c7ffffffff,47.0,47.0,0.0,0.0
84129d9ffffffff,6.0,6.0,0.0,0.0
8412a21ffffffff,4.0,4.0,0.0,0.0
8412a23ffffffff,1.0,1.0,0.0,0.0
8412a25ffffffff,47.0,47.0,0.0,0.0
8412a2dffffffff,2.0,2.0,0.0,0.0
8412a33ffffffff,3.0,3.0,0.0,0.0
8412a37ffffffff,9.0,9.0,0.0,0.0
8412a87ffffffff,1.0,1.0,0.0,0.0
8412a8dffffffff,1.0,1.0,0.0,0.0
8412a97ffffffff,1.0,1.0,0.0,0.0
8412aa5ffffffff,2.0,2.0,0.0,0.0
8412aa7ffffffff,16.0,16.0,0.0,0.0
8412aabffffffff,1.0,1.0,0.0,0.0
8412ab3ffffffff,36.0,36.0,0.0,0.0
8412abdffffffff,2.0,2.0,0.0,0.0
8412ad7ffffffff,5.0,4.0,0.0,0.0
8412b01ffffffff,155.0,155.0,0.0,0.0
8412b03ffffffff,110.0,110.0,0.0,0.0
8412b07ffffffff,5.0,5.0,0.0,0.0
8412b0bffffffff,24.0,24.0,0.0,0.0
8412b15ffffffff,2.0,2.0,0.0,0.0
8412b17ffffffff,2.0,2.0,0.0,0.0
8412b27ffffffff,1.0,1.0,0.0,0.0
8412b33ffffffff,3.0,3.0,0.0,0.0
8412b35ffffffff,3.0,3.0,0.0,0.0
8412b41ffffffff,1.0,0.0,0.0,0.0
8412b43ffffffff,22.0,21.0,0.0,0.0
8412b47ffffffff,2.0,2.0,0.0,0.0
8412b49ffffffff,16.0,16.0,0.0,0.0
8412b4bffffffff,45.0,45.0,0.0,0.0
8412b4dffffffff,1.0,1.0,0.0,0.0
