cell_id,Larus michahellis,Larus michahellis atlantis,Larus michahellis michahellis
8408901ffffffff,2.0,0.0,0.0
8418411ffffffff,2.0,0.0,0.0
841843dffffffff,1.0,0.0,0.0
8418443ffffffff,9.0,0.0,0.0
8418447ffffffff,2.0,0.0,0.0
8418451ffffffff,6.0,0.0,0.0
8418455ffffffff,7.0,0.0,0.0
8418459ffffffff,5.0,0.0,0.0
841845bffffffff,4.0,0.0,0.0
841845dffffffff,16.0,0.0,0.0
8418469ffffffff,1.0,0.0,0.0
841846bffffffff,2.0,0.0,0.0
841846dffffffff,8.0,0.0,0.0
8418491ffffffff,17.0,0.0,0.0
8418495ffffffff,4573.0,0.0,4.0
8418497ffffffff,14.0,0.0,0.0
841849dffffffff,216.0,0.0,0.0
84184a3ffffffff,81.0,0.0,0.0
84184a7ffffffff,4.0,0.0,0.0
84184abffffffff,2.0,0.0,0.0
84184b1ffffffff,858.0,0.0,2.0
84184b3ffffffff,122.0,0.0,0.0
84184b5ffffffff,556.0,0.0,8.0
84184b7ffffffff,207.0,0.0,0.0
84184b9ffffffff,431.0,0.0,0.0
84184bbffffffff,1072.0,0.0,0.0
84184bdffffffff,973.0,0.0,6.0
84184c3ffffffff,20.0,0.0,0.0
84184c9ffffffff,2.0,0.0,0.0
84184d5ffffffff,31.0,0.0,0.0
84184ddffffffff,138.0,0.0,1.0
8418593ffffffff,148.0,0.0,0.0
8418595ffffffff,5.0,0.0,0.0
8418597ffffffff,254.0,0.0,0.0
84185b1ffffffff,77.0,0.0,0.0
84185b3ffffffff,6.0,0.0,0.0
84185b5ffffffff,1905.0,0.0,0.0
84185b7ffffffff,8.0,0.0,0.0
84185bbffffffff,1769.0,0.0,0.0
8418605ffffffff,2.0,0.0,0.0
8418607ffffffff,7.0,0.0,2.0
841860dffffffff,3.0,0.0,0.0
8418623ffffffff,4.0,0.0,0.0
8418627ffffffff,1.0,0.0,0.0
841862bffffffff,2.0,0.0,0.0
8418633ffffffff,2.0,0.0,2.0
841863dffffffff,1.0,0.0,0.0
841864bffffffff,1.0,0.0,0.0
8418655ffffffff,15.0,0.0,7.0
8418659ffffffff,1.0,0.0,0.0
841865dffffffff,4.0,0.0,1.0
8418661ffffffff,2.0,0.0,2.0
8418667ffffffff,2.0,0.0,0.0
84186a1ffffffff,19.0,0.0,0.0
84186a3ffffffff,19.0,0.0,0.0
84186a5ffffffff,41.0,0.0,0.0
84186a7ffffffff,20.0,0.0,1.0
84186abffffffff,2.0,0.0,0.0
84186adffffffff,5.0,0.0,0.0
84186b3ffffffff,1.0,0.0,0.0
84186b7ffffffff,6.0,0.0,0.0
84186c1ffffffff,28.0,0.0,0.0
84186c3ffffffff,28.0,0.0,1.0
84186c5ffffffff,29.0,0.0,0.0
84186c7ffffffff,4.0,0.0,0.0
84186c9ffffffff,105.0,0.0,0.0
84186cbffffffff,12.0,0.0,0.0
84186d5ffffffff,3.0,0.0,0.0
84186e1ffffffff,2.0,0.0,0.0
84186e3ffffffff,2.0,0.0,0.0
84186e9ffffffff,6.0,0.0,0.0
84186ebffffffff,9.0,0.0,0.0
84186edffffffff,26.0,0.0,4.0
841870dffffffff,41.0,0.0,0.0
8418711ffffffff,1.0,0.0,0.0
841871bffffffff,2.0,0.0,0.0
841873bffffffff,10.0,0.0,1.0
8418741ffffffff,2.0,0.0,0.0
8418747ffffffff,9.0,0.0,0.0
8418749ffffffff,1.0,0.0,0.0
841876bffffffff,3.0,0.0,0.0
8419401ffffffff,11.0,0.0,0.0
8419403ffffffff,5.0,0.0,1.0
8419405ffffffff,4.0,0.0,0.0
8419407ffffffff,13.0,0.0,0.0
841940dffffffff,7.0,0.0,0.0
8419411ffffffff,52.0,0.0,16.0
8419413ffffffff,49.0,0.0,13.0
8419415ffffffff,94.0,0.0,26.0
8419417ffffffff,7.0,0.0,5.0
841941bffffffff,3.0,0.0,2.0
841941dffffffff,2.0,0.0,2.0
8419421ffffffff,3.0,0.0,0.0
8419423ffffffff,4.0,0.0,0.0
8419427ffffffff,37.0,0.0,2.0
8419429ffffffff,8.0,0.0,0.0
841942bffffffff,8.0,0.0,4.0
8419431ffffffff,39.0,0.0,5.0
8419433ffffffff,46.0,0.0,11.0
8419435ffffffff,25.0,0.0,0.0
8419437ffffffff,324.0,0.0,16.0
841943bffffffff,24.0,0.0,22.0
841943dffffffff,12.0,0.0,6.0
8419467ffffffff,2.0,0.0,0.0
841946bffffffff,2.0,0.0,0.0
8419481ffffffff,16.0,0.0,4.0
8419483ffffffff,4.0,0.0,0.0
8419485ffffffff,58.0,0.0,10.0
841948bffffffff,4.0,0.0,0.0
841948dffffffff,50.0,0.0,9.0
84194a1ffffffff,4.0,0.0,0.0
84194a5ffffffff,7.0,0.0,2.0
84194a7ffffffff,5.0,0.0,0.0
84194a9ffffffff,4.0,0.0,0.0
84194abffffffff,6.0,0.0,0.0
84194adffffffff,30.0,0.0,0.0
84194b9ffffffff,25.0,0.0,0.0
84194bbffffffff,2.0,0.0,0.0
84194c5ffffffff,70.0,0.0,18.0
84194d3ffffffff,2.0,0.0,1.0
84194d5ffffffff,19.0,0.0,2.0
84194d9ffffffff,3.0,0.0,0.0
84194dbffffffff,2.0,0.0,0.0
84194ddffffffff,17.0,0.0,6.0
84194e1ffffffff,2.0,0.0,0.0
84194e3ffffffff,6.0,0.0,2.0
84194e5ffffffff,30.0,0.0,0.0
84194e7ffffffff,124.0,0.0,32.0
84194e9ffffffff,5.0,0.0,1.0
84194ebffffffff,1.0,0.0,0.0
84194edffffffff,13.0,0.0,7.0
8419511ffffffff,4.0,0.0,0.0
841951bffffffff,2.0,0.0,0.0
8419531ffffffff,2.0,0.0,0.0
8419581ffffffff,6.0,0.0,0.0
8419583ffffffff,11.0,0.0,0.0
8419587ffffffff,4.0,0.0,0.0
8419589ffffffff,4.0,0.0,0.0
8419591ffffffff,24.0,0.0,5.0
8419597ffffffff,18.0,0.0,0.0
841959bffffffff,20.0,0.0,3.0
84195a7ffffffff,1.0,0.0,0.0
84195b5ffffffff,1.0,0.0,0.0
84195bbffffffff,7.0,0.0,4.0
84195c1ffffffff,10.0,0.0,0.0
84195c3ffffffff,8.0,0.0,0.0
84195c5ffffffff,1.0,0.0,0.0
84195c7ffffffff,7.0,0.0,0.0
84195c9ffffffff,38.0,0.0,4.0
84195cdffffffff,2.0,0.0,0.0
84195d1ffffffff,4.0,0.0,1.0
84195d3ffffffff,1.0,0.0,0.0
84195d5ffffffff,37.0,0.0,0.0
84195d7ffffffff,5.0,0.0,0.0
84195d9ffffffff,3.0,0.0,3.0
84195ddffffffff,2.0,0.0,0.0
8419681ffffffff,3.0,0.0,0.0
8419683ffffffff,14.0,0.0,0.0
8419689ffffffff,19.0,0.0,0.0
8419691ffffffff,1.0,0.0,0.0
8419693ffffffff,14.0,0.0,0.0
8419695ffffffff,19.0,0.0,0.0
8419697ffffffff,19.0,0.0,1.0
8419699ffffffff,7.0,0.0,0.0
841969bffffffff,7.0,0.0,0.0
841969dffffffff,28.0,0.0,0.0
84196b1ffffffff,2.0,0.0,0.0
84196b3ffffffff,2.0,0.0,0.0
84196b7ffffffff,2.0,0.0,0.0
84196b9ffffffff,6.0,0.0,1.0
84196bbffffffff,4.0,0.0,0.0
84196d1ffffffff,2.0,0.0,0.0
84196d3ffffffff,9.0,0.0,0.0
84196d7ffffffff,2.0,0.0,0.0
84196d9ffffffff,5.0,0.0,0.0
84196ddffffffff,14.0,0.0,0.0
841e005ffffffff,2.0,0.0,0.0
841e009ffffffff,4.0,0.0,0.0
841e021ffffffff,43.0,0.0,0.0
841e023ffffffff,60.0,0.0,4.0
841e025ffffffff,84.0,0.0,5.0
841e029ffffffff,117.0,0.0,0.0
841e02bffffffff,4.0,0.0,0.0
841e02dffffffff,391.0,0.0,32.0
841e031ffffffff,22.0,0.0,2.0
841e035ffffffff,15.0,0.0,0.0
841e037ffffffff,71.0,0.0,13.0
841e041ffffffff,14.0,0.0,3.0
841e043ffffffff,2.0,0.0,0.0
841e045ffffffff,41.0,0.0,0.0
841e047ffffffff,8.0,0.0,1.0
841e04bffffffff,5.0,0.0,1.0
841e04dffffffff,4.0,0.0,0.0
841e051ffffffff,2.0,0.0,0.0
841e053ffffffff,1.0,0.0,0.0
841e059ffffffff,11.0,0.0,0.0
841e05bffffffff,5.0,0.0,0.0
841e05dffffffff,19.0,0.0,2.0
841e061ffffffff,63.0,0.0,0.0
841e063ffffffff,12.0,0.0,0.0
841e065ffffffff,7.0,0.0,0.0
841e067ffffffff,46.0,0.0,0.0
841e069ffffffff,25.0,0.0,0.0
841e06bffffffff,14.0,0.0,0.0
841e085ffffffff,43.0,0.0,0.0
841e08dffffffff,13.0,0.0,0.0
841e0a1ffffffff,10.0,0.0,0.0
841e0a5ffffffff,2.0,0.0,0.0
841e0a9ffffffff,373.0,0.0,5.0
841e0abffffffff,4.0,0.0,0.0
841e0adffffffff,16.0,0.0,2.0
841e0b1ffffffff,1.0,0.0,0.0
841e0b3ffffffff,20.0,0.0,0.0
841e0b7ffffffff,4.0,0.0,0.0
841e0bdffffffff,6.0,0.0,0.0
