cell_id,Ardea herodias,Ardea herodias [herodias Group],Ardea herodias occidentalis,Ardea herodias wardi x occidentalis
830741fffffffff,2.0,0.0,0.0,0.0
830c41fffffffff,85.0,0.0,0.0,0.0
830c51fffffffff,5.0,0.0,0.0,0.0
830c55fffffffff,3.0,0.0,0.0,0.0
830c5afffffffff,12.0,3.0,0.0,0.0
830c73fffffffff,20.0,0.0,0.0,0.0
830d58fffffffff,2.0,0.0,0.0,0.0
830e49fffffffff,3.0,0.0,0.0,0.0
830e80fffffffff,8.0,0.0,0.0,0.0
830e9afffffffff,2.0,2.0,0.0,0.0
830eeafffffffff,17.0,0.0,0.0,0.0
830eebfffffffff,1.0,0.0,0.0,0.0
83124dfffffffff,2.0,2.0,0.0,0.0
831259fffffffff,4.0,0.0,0.0,0.0
83125dfffffffff,2.0,0.0,0.0,0.0
831289fffffffff,8.0,0.0,0.0,0.0
8312c1fffffffff,2.0,0.0,0.0,0.0
8312c2fffffffff,1.0,0.0,0.0,0.0
8312c3fffffffff,21.0,2.0,0.0,0.0
8312cbfffffffff,4.0,1.0,0.0,0.0
8312ccfffffffff,29.0,2.0,0.0,0.0
8312d9fffffffff,4.0,4.0,0.0,0.0
8312dafffffffff,2.0,0.0,0.0,0.0
8312dbfffffffff,4.0,2.0,0.0,0.0
8312ddfffffffff,2.0,2.0,0.0,0.0
8312e8fffffffff,2.0,0.0,0.0,0.0
831380fffffffff,1.0,0.0,0.0,0.0
831382fffffffff,5.0,0.0,0.0,0.0
831383fffffffff,2.0,0.0,0.0,0.0
831386fffffffff,9.0,0.0,0.0,0.0
83139efffffffff,2.0,2.0,0.0,0.0
8313b5fffffffff,2.0,0.0,0.0,0.0
831876fffffffff,12.0,0.0,0.0,0.0
831aa0fffffffff,2.0,0.0,0.0,0.0
831aa2fffffffff,8.0,0.0,0.0,0.0
831aa3fffffffff,15.0,0.0,0.0,0.0
831ab0fffffffff,1.0,0.0,0.0,0.0
831ab4fffffffff,2.0,0.0,0.0,0.0
831b83fffffffff,1.0,0.0,0.0,0.0
831b98fffffffff,6.0,0.0,0.0,0.0
