cell_id,Grallaria guatimalensis,Grallaria guatimalensis [guatimalensis Group],Grallaria guatimalensis princeps/chocoensis,Grallaria guatimalensis aripoensis,Grallaria guatimalensis roraimae,Grallaria guatimalensis regulus/carmelitae,Grallaria guatimalensis sororia
834995fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8349a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8349b1fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
835f4afffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
835f58fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
836620fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b4fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c4fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d5fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e6fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8366f1fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
836d05fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
836d23fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
836d28fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
836d29fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
836d2afffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
836d2bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
836d2cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
836d2dfffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0
836d30fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
836d32fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
836d69fffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0
836d74fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838b69fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838b6cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
838b6efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838f0dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838f4bfffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
838f51fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
