cell_id,Microeca flavigaster,Microeca flavigaster [flavigaster Group],Microeca flavigaster tormenti
8472a2bffffffff,3.0,0.0,0.0
8472d19ffffffff,6.0,0.0,0.0
8472d23ffffffff,1.0,0.0,0.0
8472f23ffffffff,11.0,0.0,0.0
84944bdffffffff,3.0,0.0,0.0
8494501ffffffff,3.0,1.0,0.0
8494503ffffffff,47.0,3.0,0.0
8494507ffffffff,4.0,0.0,0.0
849450bffffffff,193.0,20.0,0.0
8494511ffffffff,426.0,43.0,0.0
8494513ffffffff,12.0,0.0,0.0
8494515ffffffff,78.0,6.0,0.0
8494517ffffffff,70.0,9.0,0.0
8494519ffffffff,2.0,0.0,0.0
849451bffffffff,2.0,0.0,0.0
849451dffffffff,1879.0,230.0,0.0
849452bffffffff,2.0,0.0,0.0
8494531ffffffff,7.0,0.0,0.0
8494533ffffffff,11.0,0.0,0.0
8494535ffffffff,11.0,0.0,0.0
8494537ffffffff,4.0,0.0,0.0
8494539ffffffff,54.0,11.0,0.0
849453bffffffff,13.0,0.0,0.0
8494557ffffffff,1.0,0.0,0.0
8494559ffffffff,9.0,0.0,0.0
849458dffffffff,4.0,0.0,0.0
8494593ffffffff,8.0,0.0,0.0
84945a1ffffffff,2.0,0.0,0.0
84945a5ffffffff,3.0,1.0,0.0
84945a7ffffffff,6.0,0.0,0.0
84945adffffffff,2.0,2.0,0.0
84945bbffffffff,3.0,0.0,0.0
84945c1ffffffff,2.0,0.0,0.0
84945c3ffffffff,27.0,3.0,0.0
84945c5ffffffff,84.0,17.0,0.0
84945c7ffffffff,245.0,22.0,0.0
84945cdffffffff,8.0,0.0,0.0
84945e1ffffffff,14.0,1.0,0.0
84945e3ffffffff,14.0,0.0,0.0
84945e5ffffffff,5.0,0.0,0.0
84945e7ffffffff,7.0,2.0,0.0
84945ebffffffff,222.0,31.0,0.0
8494803ffffffff,12.0,0.0,6.0
849480bffffffff,15.0,0.0,5.0
849485bffffffff,2.0,0.0,2.0
8494a87ffffffff,2.0,0.0,0.0
8494aa7ffffffff,16.0,0.0,6.0
8494ae3ffffffff,20.0,0.0,14.0
8494ae7ffffffff,6.0,0.0,4.0
8494c49ffffffff,2.0,0.0,0.0
8494e19ffffffff,1.0,0.0,0.0
8494e21ffffffff,2.0,0.0,0.0
8494e29ffffffff,3.0,0.0,0.0
8494e2bffffffff,14.0,0.0,0.0
8494ed1ffffffff,4.0,4.0,0.0
8494ed3ffffffff,23.0,3.0,0.0
8494ed5ffffffff,3.0,0.0,0.0
8494ed7ffffffff,4.0,2.0,0.0
8494edbffffffff,49.0,3.0,0.0
8494eddffffffff,2.0,2.0,0.0
849c003ffffffff,2.0,0.0,0.0
849c00bffffffff,7.0,0.0,0.0
849c013ffffffff,1.0,0.0,0.0
849c017ffffffff,6.0,0.0,0.0
849c01dffffffff,1.0,0.0,0.0
849c055ffffffff,9.0,0.0,0.0
849c059ffffffff,2.0,0.0,0.0
849c05dffffffff,10.0,0.0,0.0
849c0a5ffffffff,2.0,0.0,0.0
849c0a7ffffffff,2.0,0.0,0.0
849c0e7ffffffff,1.0,0.0,0.0
849c0e9ffffffff,29.0,0.0,0.0
849c0edffffffff,34.0,0.0,0.0
849c191ffffffff,241.0,0.0,0.0
849c193ffffffff,4.0,0.0,0.0
849c19bffffffff,10.0,0.0,0.0
849c19dffffffff,8.0,0.0,0.0
849c203ffffffff,13.0,0.0,0.0
849c20bffffffff,10.0,0.0,0.0
849c211ffffffff,3.0,0.0,0.0
849c215ffffffff,5.0,0.0,0.0
849c21dffffffff,2.0,0.0,0.0
849c231ffffffff,133.0,0.0,0.0
849c233ffffffff,156.0,0.0,0.0
849c237ffffffff,656.0,0.0,0.0
849c239ffffffff,33.0,0.0,0.0
849c23bffffffff,29.0,0.0,0.0
849c251ffffffff,5.0,0.0,0.0
849c255ffffffff,6.0,0.0,0.0
849c257ffffffff,4.0,0.0,0.0
849c259ffffffff,12.0,0.0,0.0
849c25dffffffff,6.0,0.0,0.0
849c2d3ffffffff,1.0,0.0,0.0
849c403ffffffff,1.0,0.0,0.0
849c40bffffffff,1.0,0.0,0.0
849c415ffffffff,2.0,0.0,0.0
849c417ffffffff,11.0,0.0,0.0
849c43bffffffff,8.0,0.0,0.0
849c455ffffffff,2.0,0.0,0.0
849c4adffffffff,2.0,0.0,0.0
849c4b3ffffffff,20.0,0.0,0.0
849c583ffffffff,1.0,0.0,0.0
849c587ffffffff,8.0,0.0,0.0
849c589ffffffff,6.0,0.0,0.0
849c599ffffffff,1.0,1.0,0.0
849c5a3ffffffff,2.0,0.0,0.0
849c5a7ffffffff,14.0,0.0,0.0
849c5b3ffffffff,6.0,0.0,0.0
849c5b5ffffffff,4.0,0.0,0.0
849c5bdffffffff,4.0,0.0,0.0
849c62dffffffff,3.0,0.0,0.0
849c747ffffffff,2.0,0.0,0.0
849c85bffffffff,125.0,16.0,0.0
849c993ffffffff,1.0,0.0,0.0
849c9d9ffffffff,2.0,0.0,0.0
849ca65ffffffff,25.0,0.0,0.0
849caa1ffffffff,3.0,2.0,0.0
849caa5ffffffff,5.0,0.0,0.0
849caadffffffff,3.0,0.0,0.0
849cae7ffffffff,2.0,0.0,0.0
849cc29ffffffff,1.0,0.0,0.0
849cd25ffffffff,2.0,0.0,0.0
849cd2dffffffff,3.0,0.0,0.0
849ce41ffffffff,1.0,0.0,0.0
849ce47ffffffff,25.0,0.0,0.0
849ce9bffffffff,61.0,0.0,0.0
849cf39ffffffff,1.0,0.0,0.0
849cf53ffffffff,11.0,0.0,0.0
849cf5bffffffff,1.0,0.0,0.0
849d013ffffffff,6.0,0.0,0.0
849d01bffffffff,6.0,0.0,0.0
849d08dffffffff,1.0,0.0,0.0
849d0abffffffff,2.0,0.0,0.0
849d0b1ffffffff,13.0,0.0,0.0
849d0b3ffffffff,15.0,0.0,0.0
849d0b5ffffffff,16.0,0.0,0.0
849d0b7ffffffff,13.0,0.0,0.0
849d0bdffffffff,14.0,0.0,0.0
849d0c1ffffffff,3.0,0.0,0.0
849d0c7ffffffff,2.0,0.0,0.0
849d0cdffffffff,4.0,0.0,0.0
849d2a5ffffffff,4.0,0.0,0.0
849d2adffffffff,1.0,0.0,0.0
