cell_id,Amazilia tzacatl,Amazilia tzacatl [tzacatl Group],Amazilia tzacatl handleyi
84450a5ffffffff,1.0,1.0,0.0
84450c5ffffffff,1.0,0.0,0.0
8445203ffffffff,1.0,1.0,0.0
8445205ffffffff,1.0,1.0,0.0
8445215ffffffff,15.0,11.0,0.0
8445225ffffffff,9.0,0.0,0.0
8445261ffffffff,2.0,0.0,0.0
8445263ffffffff,2.0,2.0,0.0
844526bffffffff,15.0,0.0,0.0
84452a5ffffffff,1.0,0.0,0.0
84452a9ffffffff,16.0,16.0,0.0
84452c9ffffffff,4.0,4.0,0.0
84452e1ffffffff,2.0,0.0,0.0
84452e5ffffffff,20.0,20.0,0.0
8466089ffffffff,1.0,0.0,0.0
84660c7ffffffff,4.0,0.0,0.0
84660d1ffffffff,2.0,0.0,0.0
84660dbffffffff,1.0,0.0,0.0
8466107ffffffff,2.0,0.0,0.0
846610bffffffff,1.0,0.0,0.0
8466131ffffffff,3.0,0.0,0.0
8466139ffffffff,2.0,0.0,0.0
8466163ffffffff,25.0,12.0,0.0
8466165ffffffff,4.0,4.0,0.0
8466167ffffffff,4.0,1.0,0.0
846619dffffffff,6.0,0.0,0.0
84661a5ffffffff,13.0,13.0,0.0
8466283ffffffff,1.0,1.0,0.0
8466293ffffffff,3.0,0.0,0.0
846629dffffffff,1.0,1.0,0.0
8466a29ffffffff,2.0,0.0,0.0
8466a2dffffffff,5.0,0.0,0.0
8466a5bffffffff,6.0,0.0,0.0
8466a65ffffffff,1.0,0.0,0.0
8466b01ffffffff,1.0,0.0,0.0
8466b09ffffffff,2.0,2.0,0.0
8466b0bffffffff,4.0,4.0,0.0
8466b1dffffffff,1.0,0.0,0.0
8466b45ffffffff,8.0,2.0,0.0
8466b47ffffffff,1.0,0.0,0.0
8466b49ffffffff,3.0,0.0,0.0
8466b4dffffffff,20.0,10.0,0.0
8466b51ffffffff,18.0,7.0,0.0
8466b53ffffffff,2.0,0.0,0.0
8466b55ffffffff,4.0,2.0,0.0
8466b57ffffffff,2.0,0.0,0.0
8466d31ffffffff,3.0,1.0,0.0
8466d35ffffffff,12.0,9.0,0.0
8466d57ffffffff,5.0,0.0,0.0
8466e41ffffffff,21.0,6.0,0.0
8466e65ffffffff,6.0,0.0,0.0
8466e6dffffffff,3.0,1.0,0.0
8466f03ffffffff,1.0,0.0,0.0
8466f1dffffffff,4.0,0.0,0.0
84675a5ffffffff,5.0,0.0,0.0
84679a1ffffffff,6.0,2.0,0.0
84679a5ffffffff,9.0,0.0,0.0
84679b7ffffffff,2.0,1.0,0.0
846d203ffffffff,4.0,4.0,0.0
846d20dffffffff,2.0,0.0,0.0
846d219ffffffff,1.0,1.0,0.0
846d21dffffffff,10.0,0.0,0.0
846d22bffffffff,2.0,2.0,0.0
846d23dffffffff,2.0,0.0,0.0
846d2d1ffffffff,10.0,10.0,0.0
846d2d9ffffffff,2.0,0.0,0.0
846d30dffffffff,2.0,2.0,0.0
846d319ffffffff,1.0,1.0,0.0
846d35dffffffff,1.0,1.0,0.0
846d36bffffffff,1.0,0.0,0.0
846d613ffffffff,4.0,0.0,0.0
846d617ffffffff,2.0,0.0,0.0
846d64bffffffff,2.0,0.0,0.0
846d681ffffffff,3.0,0.0,0.0
846d685ffffffff,1.0,0.0,0.0
846d689ffffffff,2.0,0.0,0.0
846d691ffffffff,1.0,1.0,0.0
846d693ffffffff,2.0,2.0,0.0
846d695ffffffff,1.0,0.0,0.0
846d697ffffffff,8.0,0.0,0.0
846d699ffffffff,2.0,2.0,0.0
846d69bffffffff,6.0,5.0,0.0
846d69dffffffff,23.0,13.0,0.0
846d6bbffffffff,2.0,0.0,0.0
846d6d1ffffffff,1.0,0.0,0.0
846d6d3ffffffff,3.0,0.0,0.0
846d6e9ffffffff,8.0,0.0,0.0
848f0d1ffffffff,14.0,7.0,0.0
848f0dbffffffff,9.0,0.0,0.0
