cell_id,Dumetia atriceps,Dumetia atriceps atriceps,Dumetia atriceps bourdilloni,Dumetia atriceps siccata,Dumetia atriceps nigrifrons
836002fffffffff,169.0,0.0,0.0,0.0,0.0
836006fffffffff,640.0,0.0,0.0,0.0,0.0
836011fffffffff,776.0,0.0,0.0,0.0,0.0
836013fffffffff,98.0,0.0,0.0,0.0,0.0
836015fffffffff,715.0,0.0,0.0,0.0,0.0
83601efffffffff,1254.0,0.0,0.0,0.0,0.0
836022fffffffff,222.0,0.0,0.0,0.0,0.0
836026fffffffff,387.0,0.0,0.0,0.0,0.0
836030fffffffff,4.0,0.0,0.0,0.0,0.0
836031fffffffff,1715.0,0.0,7.0,0.0,0.0
836033fffffffff,255.0,0.0,0.0,0.0,0.0
836035fffffffff,563.0,0.0,0.0,0.0,0.0
8360a8fffffffff,2.0,0.0,0.0,0.0,0.0
8360a9fffffffff,1081.0,0.0,0.0,0.0,0.0
8360adfffffffff,638.0,0.0,0.0,0.0,0.0
836100fffffffff,7.0,0.0,0.0,0.0,0.0
836102fffffffff,925.0,0.0,0.0,16.0,17.0
836103fffffffff,25.0,0.0,0.0,0.0,4.0
836106fffffffff,1.0,0.0,0.0,0.0,0.0
836111fffffffff,113.0,0.0,0.0,0.0,0.0
836115fffffffff,18.0,0.0,0.0,0.0,0.0
83611cfffffffff,34.0,0.0,0.0,0.0,0.0
83611efffffffff,39.0,0.0,0.0,3.0,0.0
