cell_id,Campephilus haematogaster,Campephilus haematogaster splendens,Campephilus haematogaster haematogaster
8466087ffffffff,4.0,0.0,0.0
84660a1ffffffff,2.0,0.0,0.0
8466113ffffffff,2.0,2.0,0.0
8466119ffffffff,3.0,0.0,0.0
84661cdffffffff,25.0,1.0,0.0
84661ebffffffff,1.0,0.0,0.0
8466a0bffffffff,7.0,0.0,0.0
8466a57ffffffff,31.0,0.0,0.0
8466b5bffffffff,2.0,0.0,0.0
8466c0dffffffff,24.0,0.0,0.0
8466d0bffffffff,14.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0
8466e39ffffffff,2.0,0.0,0.0
8466e51ffffffff,2.0,0.0,0.0
8466e59ffffffff,3.0,0.0,0.0
848f4b3ffffffff,3.0,0.0,0.0
