cell_id,Stactolaema leucotis,Stactolaema leucotis leucogrammica,Stactolaema leucotis leucotis/kilimensis
827a47fffffffff,40.0,0.0,0.0
827a67fffffffff,101.0,0.0,0.0
827a6ffffffffff,2.0,0.0,0.0
827b4ffffffffff,230.0,0.0,0.0
827b5ffffffffff,2.0,0.0,0.0
827b6ffffffffff,1.0,0.0,0.0
829697fffffffff,546.0,0.0,0.0
8296b7fffffffff,9.0,0.0,0.0
829707fffffffff,71.0,0.0,0.0
829717fffffffff,17.0,0.0,0.0
82971ffffffffff,69.0,0.0,0.0
82978ffffffffff,1.0,0.0,0.0
82979ffffffffff,3.0,0.0,0.0
8297affffffffff,46.0,0.0,0.0
82bc1ffffffffff,64.0,0.0,3.0
82bc8ffffffffff,62.0,0.0,3.0
82bcd7fffffffff,2.0,0.0,0.0
82bce7fffffffff,1.0,0.0,0.0
82bcf7fffffffff,1785.0,0.0,307.0
