cell_id,Cacicus chrysonotus,Cacicus chrysonotus leucoramphus/peruvianus,Cacicus chrysonotus chrysonotus
82660ffffffffff,383.0,7.0,0.0
82661ffffffffff,1916.0,101.0,0.0
82665ffffffffff,1.0,0.0,0.0
8266c7fffffffff,307.0,6.0,0.0
8266d7fffffffff,148.0,8.0,0.0
8266dffffffffff,2425.0,451.0,0.0
8266e7fffffffff,2097.0,92.0,0.0
8266effffffffff,4.0,0.0,0.0
8266f7fffffffff,399.0,8.0,0.0
828b2ffffffffff,87.0,0.0,13.0
828b67fffffffff,616.0,0.0,15.0
828b6ffffffffff,111.0,0.0,0.0
828b77fffffffff,13.0,0.0,0.0
828e67fffffffff,45.0,0.0,0.0
828e6ffffffffff,44.0,0.0,0.0
828f2ffffffffff,111.0,7.0,0.0
828f47fffffffff,56.0,11.0,0.0
828f4ffffffffff,6.0,0.0,0.0
828f57fffffffff,204.0,45.0,0.0
828f5ffffffffff,56.0,8.0,0.0
828f77fffffffff,256.0,54.0,0.0
82b327fffffffff,85.0,0.0,11.0
