cell_id,Galerida cristata,Galerida cristata [cristata Group],Galerida cristata macrorhyncha/randonii
840898bffffffff,2.0,0.0,0.0
8411269ffffffff,2.0,2.0,0.0
84119e9ffffffff,1.0,0.0,0.0
8418495ffffffff,8.0,0.0,0.0
84185b5ffffffff,188.0,0.0,0.0
8419485ffffffff,3.0,0.0,0.0
8419693ffffffff,1.0,0.0,0.0
841e041ffffffff,2.0,0.0,0.0
841e047ffffffff,2.0,0.0,0.0
841e04dffffffff,1.0,0.0,0.0
841e205ffffffff,2.0,0.0,0.0
841e209ffffffff,8.0,0.0,0.0
841e243ffffffff,9.0,0.0,0.0
841e249ffffffff,5.0,0.0,0.0
841e24bffffffff,7.0,0.0,0.0
841e25dffffffff,2.0,0.0,0.0
841e299ffffffff,2.0,0.0,0.0
841e29bffffffff,2.0,0.0,0.0
841e2c1ffffffff,1.0,0.0,0.0
841e5a5ffffffff,3.0,3.0,0.0
841ea09ffffffff,1.0,0.0,0.0
841ec1dffffffff,3.0,0.0,0.0
841ec2bffffffff,1.0,0.0,0.0
841ee91ffffffff,1.0,1.0,0.0
841ee99ffffffff,4.0,4.0,0.0
841eedbffffffff,4.0,4.0,0.0
841f051ffffffff,3.0,0.0,0.0
841f0b5ffffffff,2.0,0.0,0.0
841f0b7ffffffff,1.0,0.0,0.0
841f1a9ffffffff,1.0,0.0,0.0
841f1abffffffff,1.0,0.0,0.0
841f1bdffffffff,8.0,0.0,0.0
841f1dbffffffff,2.0,0.0,0.0
841f241ffffffff,4.0,1.0,0.0
841f5e1ffffffff,2.0,0.0,0.0
841f725ffffffff,10.0,0.0,0.0
841fa83ffffffff,3.0,0.0,0.0
841faadffffffff,2.0,0.0,0.0
84248abffffffff,1.0,0.0,0.0
8424c63ffffffff,2.0,0.0,0.0
842c0c1ffffffff,11.0,11.0,0.0
842c0c9ffffffff,9.0,9.0,0.0
842c285ffffffff,1.0,1.0,0.0
842c2a1ffffffff,7.0,7.0,0.0
842c2a3ffffffff,16.0,16.0,0.0
842c2abffffffff,3.0,3.0,0.0
842c2e7ffffffff,2.0,2.0,0.0
842cc03ffffffff,3.0,0.0,0.0
842cd4bffffffff,2.0,0.0,0.0
842cf07ffffffff,2.0,0.0,0.0
842d101ffffffff,2.0,0.0,0.0
842d103ffffffff,5.0,0.0,0.0
842d125ffffffff,34.0,0.0,0.0
842d127ffffffff,2.0,0.0,0.0
842d129ffffffff,7.0,0.0,0.0
842d311ffffffff,1.0,0.0,0.0
842d33bffffffff,2.0,0.0,0.0
842da13ffffffff,3.0,0.0,0.0
842da17ffffffff,2.0,0.0,0.0
842da19ffffffff,9.0,0.0,0.0
842da1bffffffff,4.0,0.0,0.0
842da5dffffffff,3.0,0.0,0.0
842dac5ffffffff,1.0,0.0,0.0
842dac9ffffffff,3.0,0.0,0.0
842db67ffffffff,2.0,0.0,0.0
8430e43ffffffff,1.0,0.0,0.0
84380ddffffffff,1.0,1.0,0.0
8438105ffffffff,2.0,1.0,1.0
843816dffffffff,3.0,0.0,2.0
843844dffffffff,1.0,1.0,0.0
8438559ffffffff,1.0,0.0,1.0
8438625ffffffff,36.0,35.0,0.0
8438631ffffffff,1.0,1.0,0.0
8438703ffffffff,2.0,2.0,0.0
8438707ffffffff,6.0,3.0,3.0
8438711ffffffff,1.0,1.0,0.0
8438717ffffffff,2.0,2.0,0.0
8438719ffffffff,2.0,2.0,0.0
843871bffffffff,5.0,3.0,0.0
8438731ffffffff,5.0,0.0,5.0
8438737ffffffff,3.0,0.0,3.0
8438739ffffffff,5.0,2.0,3.0
843875bffffffff,6.0,6.0,0.0
8439001ffffffff,2.0,0.0,0.0
8439003ffffffff,9.0,0.0,0.0
8439013ffffffff,2.0,0.0,0.0
8439015ffffffff,1.0,0.0,0.0
843901bffffffff,1.0,1.0,0.0
843901dffffffff,5.0,0.0,0.0
843902bffffffff,2.0,0.0,0.0
8439039ffffffff,2.0,0.0,0.0
8439043ffffffff,1.0,0.0,0.0
8439061ffffffff,6.0,0.0,0.0
843906dffffffff,2.0,0.0,0.0
8439089ffffffff,2.0,0.0,0.0
84390c7ffffffff,1.0,1.0,0.0
84390d3ffffffff,2.0,0.0,0.0
8439101ffffffff,2.0,0.0,0.0
843915dffffffff,2.0,0.0,0.0
843918bffffffff,2.0,0.0,0.0
84391a5ffffffff,2.0,2.0,0.0
843920dffffffff,2.0,0.0,0.0
8439221ffffffff,2.0,0.0,0.0
8439243ffffffff,1.0,0.0,0.0
8439253ffffffff,3.0,0.0,0.0
8439287ffffffff,2.0,0.0,0.0
84392adffffffff,3.0,0.0,0.0
84392c5ffffffff,2.0,0.0,0.0
8439337ffffffff,2.0,0.0,0.0
843933bffffffff,1.0,0.0,0.0
8439569ffffffff,2.0,0.0,0.0
8439721ffffffff,2.0,0.0,0.0
8439729ffffffff,1.0,0.0,0.0
8439739ffffffff,7.0,3.0,0.0
8439833ffffffff,1.0,0.0,0.0
8439883ffffffff,1.0,0.0,0.0
8439885ffffffff,7.0,0.0,0.0
8439887ffffffff,9.0,0.0,0.0
84398a1ffffffff,1.0,0.0,0.0
84398c7ffffffff,3.0,0.0,0.0
84398d3ffffffff,3.0,0.0,0.0
84398e5ffffffff,2.0,0.0,0.0
84398e7ffffffff,10.0,0.0,1.0
84399a7ffffffff,3.0,1.0,2.0
84399e5ffffffff,3.0,0.0,3.0
84399e7ffffffff,2.0,0.0,2.0
8439abdffffffff,5.0,5.0,0.0
843c1c3ffffffff,2.0,0.0,0.0
843c369ffffffff,2.0,0.0,0.0
843d137ffffffff,2.0,0.0,0.0
843d13dffffffff,4.0,0.0,0.0
843d845ffffffff,3.0,0.0,0.0
843d851ffffffff,1.0,0.0,0.0
843d8c1ffffffff,4.0,0.0,0.0
843d967ffffffff,2.0,0.0,0.0
843da1dffffffff,1.0,1.0,0.0
843e583ffffffff,1.0,0.0,0.0
843e6c3ffffffff,11.0,0.0,0.0
843e717ffffffff,1.0,0.0,0.0
843f613ffffffff,1.0,0.0,0.0
8442ca5ffffffff,10.0,0.0,0.0
8442ce9ffffffff,4.0,0.0,0.0
8442d95ffffffff,2.0,0.0,0.0
8442d99ffffffff,2.0,0.0,0.0
8442dd3ffffffff,19.0,0.0,0.0
8442dd7ffffffff,5.0,0.0,0.0
8443609ffffffff,1.0,0.0,0.0
8455103ffffffff,1.0,0.0,1.0
