cell_id,Thlypopsis sordida,Thlypopsis sordida chrysopis/orinocensis,Thlypopsis sordida sordida
826647fffffffff,33.0,0.0,0.0
826667fffffffff,1.0,0.0,0.0
826677fffffffff,3.0,0.0,0.0
8266c7fffffffff,3.0,0.0,0.0
8266cffffffffff,25.0,0.0,0.0
8266dffffffffff,259.0,0.0,0.0
828007fffffffff,6.0,0.0,0.0
828017fffffffff,98.0,0.0,0.0
828037fffffffff,133.0,0.0,0.0
828107fffffffff,45.0,0.0,1.0
828117fffffffff,6.0,0.0,0.0
82811ffffffffff,6.0,0.0,0.0
828127fffffffff,46.0,0.0,0.0
828137fffffffff,48.0,0.0,1.0
828147fffffffff,8.0,0.0,0.0
82814ffffffffff,3.0,0.0,0.0
82815ffffffffff,2.0,0.0,0.0
828167fffffffff,26.0,0.0,0.0
828177fffffffff,20.0,0.0,0.0
828187fffffffff,99.0,0.0,0.0
82818ffffffffff,44.0,0.0,0.0
82819ffffffffff,1.0,0.0,0.0
8281affffffffff,17.0,0.0,0.0
828a27fffffffff,7.0,0.0,0.0
828a47fffffffff,336.0,0.0,0.0
828a6ffffffffff,451.0,0.0,0.0
828a77fffffffff,2.0,0.0,0.0
828aaffffffffff,9.0,0.0,0.0
828af7fffffffff,15.0,0.0,0.0
828b07fffffffff,2.0,0.0,0.0
828b0ffffffffff,1.0,0.0,0.0
828b17fffffffff,8.0,0.0,0.0
828b1ffffffffff,7.0,0.0,0.0
828b27fffffffff,180.0,0.0,0.0
828b2ffffffffff,22.0,0.0,0.0
828b47fffffffff,29.0,0.0,0.0
828b57fffffffff,4.0,0.0,0.0
828b67fffffffff,52.0,0.0,0.0
828b6ffffffffff,34.0,0.0,0.0
828b77fffffffff,9.0,0.0,0.0
828e67fffffffff,6.0,0.0,0.0
828f47fffffffff,16.0,0.0,0.0
828f4ffffffffff,19.0,0.0,0.0
828f57fffffffff,4.0,0.0,0.0
828f5ffffffffff,7.0,0.0,0.0
828f67fffffffff,47.0,0.0,0.0
828f6ffffffffff,19.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0
82a597fffffffff,3.0,0.0,0.0
82a807fffffffff,42.0,0.0,0.0
82a80ffffffffff,7.0,0.0,0.0
82a817fffffffff,2017.0,0.0,0.0
82a81ffffffffff,1470.0,0.0,0.0
82a827fffffffff,8.0,0.0,0.0
82a82ffffffffff,2.0,0.0,0.0
82a837fffffffff,32.0,0.0,0.0
82a847fffffffff,30.0,0.0,0.0
82a85ffffffffff,136.0,0.0,0.0
82a867fffffffff,8.0,0.0,0.0
82a877fffffffff,1.0,0.0,0.0
82a887fffffffff,75.0,0.0,0.0
82a88ffffffffff,40.0,0.0,0.0
82a897fffffffff,3.0,0.0,0.0
82a8a7fffffffff,362.0,0.0,0.0
82a8affffffffff,152.0,0.0,0.0
82a8b7fffffffff,1.0,0.0,0.0
82a8c7fffffffff,14.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0
82a8d7fffffffff,87.0,0.0,0.0
82a8dffffffffff,31.0,0.0,0.0
82a8e7fffffffff,2.0,0.0,0.0
82a8f7fffffffff,18.0,0.0,0.0
82a91ffffffffff,13.0,0.0,0.0
82a947fffffffff,523.0,0.0,0.0
82a94ffffffffff,163.0,0.0,0.0
82a957fffffffff,2.0,0.0,0.0
82a95ffffffffff,18.0,0.0,0.0
82a967fffffffff,185.0,0.0,0.0
82a96ffffffffff,113.0,0.0,0.0
82b26ffffffffff,7.0,0.0,0.0
82b277fffffffff,18.0,0.0,0.0
82b327fffffffff,9.0,0.0,0.0
82b347fffffffff,581.0,0.0,0.0
82b357fffffffff,51.0,0.0,0.0
82b35ffffffffff,364.0,0.0,0.0
82b367fffffffff,35.0,0.0,0.0
82c2cffffffffff,15.0,0.0,0.0
