cell_id,Pycnonotus sinensis,Pycnonotus sinensis sinensis,Pycnonotus sinensis hainanus,Pycnonotus sinensis formosae/orii
8424c2bffffffff,2.0,0.0,0.0,0.0
8424d05ffffffff,2.0,0.0,0.0,0.0
8424d19ffffffff,5.0,0.0,0.0,0.0
8424d23ffffffff,2.0,0.0,0.0,0.0
843000dffffffff,3.0,0.0,0.0,0.0
8430055ffffffff,2.0,0.0,0.0,0.0
8430063ffffffff,8.0,0.0,0.0,0.0
8430067ffffffff,1.0,0.0,0.0,0.0
8430103ffffffff,2.0,0.0,0.0,0.0
843010bffffffff,5.0,0.0,0.0,0.0
8430111ffffffff,2.0,0.0,0.0,0.0
8430115ffffffff,24.0,0.0,0.0,0.0
843012dffffffff,6.0,0.0,0.0,0.0
843015bffffffff,18.0,0.0,0.0,0.0
843019bffffffff,7.0,0.0,0.0,0.0
84301ebffffffff,2.0,0.0,0.0,0.0
8430229ffffffff,2.0,0.0,0.0,0.0
843022dffffffff,1.0,0.0,0.0,0.0
8430259ffffffff,2.0,0.0,0.0,0.0
8430263ffffffff,1.0,0.0,0.0,0.0
84302b7ffffffff,97.0,0.0,0.0,0.0
8430305ffffffff,32.0,0.0,0.0,0.0
843030dffffffff,2.0,0.0,0.0,0.0
8430325ffffffff,36.0,0.0,0.0,0.0
8430329ffffffff,4.0,0.0,0.0,0.0
843032dffffffff,8.0,0.0,0.0,0.0
8430345ffffffff,1.0,0.0,0.0,0.0
8430363ffffffff,3.0,0.0,0.0,0.0
8430815ffffffff,40.0,7.0,0.0,0.0
8430827ffffffff,3.0,0.0,0.0,0.0
8430833ffffffff,143.0,25.0,0.0,0.0
8430839ffffffff,9.0,3.0,0.0,0.0
843083bffffffff,6.0,6.0,0.0,0.0
843084bffffffff,19.0,0.0,0.0,0.0
8430855ffffffff,7.0,0.0,0.0,0.0
8430857ffffffff,1.0,0.0,0.0,0.0
843085dffffffff,1.0,0.0,0.0,0.0
8430905ffffffff,2.0,1.0,0.0,0.0
8430911ffffffff,103.0,16.0,0.0,0.0
8430913ffffffff,2.0,0.0,0.0,0.0
8430915ffffffff,10.0,0.0,0.0,0.0
8430919ffffffff,6.0,0.0,0.0,0.0
843091bffffffff,4.0,0.0,0.0,0.0
843091dffffffff,26.0,0.0,0.0,0.0
8430921ffffffff,3.0,1.0,0.0,0.0
8430923ffffffff,7.0,0.0,0.0,0.0
8430929ffffffff,15.0,6.0,0.0,0.0
8430963ffffffff,17.0,4.0,0.0,0.0
8430981ffffffff,67.0,0.0,0.0,0.0
8430983ffffffff,12.0,0.0,0.0,0.0
8430985ffffffff,20.0,0.0,0.0,0.0
8430987ffffffff,41.0,13.0,0.0,0.0
8430989ffffffff,269.0,0.0,0.0,0.0
843098bffffffff,1.0,0.0,0.0,0.0
843098dffffffff,95.0,1.0,0.0,0.0
8430991ffffffff,128.0,8.0,0.0,0.0
8430995ffffffff,392.0,72.0,0.0,0.0
8430997ffffffff,13.0,0.0,0.0,0.0
843099dffffffff,8.0,0.0,0.0,0.0
84309a1ffffffff,8.0,6.0,0.0,0.0
84309a3ffffffff,40.0,22.0,0.0,0.0
84309a5ffffffff,416.0,296.0,0.0,0.0
84309a7ffffffff,15.0,13.0,0.0,0.0
84309a9ffffffff,2.0,2.0,0.0,0.0
84309abffffffff,7.0,7.0,0.0,0.0
84309adffffffff,36.0,24.0,0.0,0.0
84309b1ffffffff,24.0,11.0,0.0,0.0
84309b3ffffffff,62.0,0.0,0.0,0.0
84309b5ffffffff,28.0,11.0,0.0,0.0
84309b9ffffffff,281.0,110.0,0.0,0.0
84309bbffffffff,56.0,4.0,0.0,0.0
84309bdffffffff,41.0,29.0,0.0,0.0
84309c5ffffffff,1.0,0.0,0.0,0.0
84309c7ffffffff,2.0,0.0,0.0,0.0
84309d1ffffffff,4.0,2.0,0.0,0.0
84309d3ffffffff,25.0,2.0,0.0,0.0
84309d5ffffffff,9.0,0.0,0.0,0.0
84309d7ffffffff,2.0,0.0,0.0,0.0
84309d9ffffffff,266.0,32.0,0.0,0.0
84309e1ffffffff,11.0,8.0,0.0,0.0
84309e3ffffffff,6.0,2.0,0.0,0.0
84309e5ffffffff,5.0,4.0,0.0,0.0
84309e7ffffffff,24.0,8.0,0.0,0.0
84309ebffffffff,5.0,1.0,0.0,0.0
8430a13ffffffff,16.0,0.0,0.0,0.0
8430a27ffffffff,6.0,0.0,0.0,0.0
8430a31ffffffff,4.0,1.0,0.0,0.0
8430a3bffffffff,6.0,0.0,0.0,0.0
8430ac1ffffffff,3.0,0.0,0.0,0.0
8430ac5ffffffff,10.0,0.0,0.0,0.0
8430acdffffffff,25.0,0.0,0.0,0.0
8430b03ffffffff,2.0,0.0,0.0,0.0
8430b1bffffffff,2.0,0.0,0.0,0.0
8430b5dffffffff,3.0,0.0,0.0,0.0
8430c05ffffffff,11.0,0.0,0.0,0.0
8430c13ffffffff,7.0,7.0,0.0,0.0
8430c15ffffffff,9.0,0.0,0.0,0.0
8430c17ffffffff,6.0,0.0,0.0,0.0
8430c29ffffffff,1.0,0.0,0.0,0.0
8430c2bffffffff,2.0,0.0,0.0,0.0
8430c2dffffffff,2.0,0.0,0.0,0.0
8430c3bffffffff,3.0,0.0,0.0,0.0
8430c41ffffffff,2.0,0.0,0.0,0.0
8430c45ffffffff,1.0,1.0,0.0,0.0
8430c49ffffffff,4.0,0.0,0.0,0.0
8430c4bffffffff,1.0,0.0,0.0,0.0
8430c4dffffffff,3.0,0.0,0.0,0.0
8430c61ffffffff,2.0,0.0,0.0,0.0
8430c65ffffffff,2.0,0.0,0.0,0.0
8430d03ffffffff,20.0,0.0,0.0,0.0
8430d11ffffffff,32.0,0.0,0.0,0.0
8430d15ffffffff,11.0,0.0,0.0,0.0
8430d1dffffffff,7.0,0.0,0.0,0.0
8430d39ffffffff,4.0,0.0,0.0,0.0
8430d4bffffffff,2.0,0.0,0.0,0.0
8430d57ffffffff,1.0,0.0,0.0,0.0
8430d5bffffffff,2.0,0.0,0.0,0.0
8430e01ffffffff,7.0,0.0,0.0,0.0
8430e03ffffffff,2.0,0.0,0.0,0.0
8430e07ffffffff,3.0,0.0,0.0,0.0
8430e09ffffffff,8.0,0.0,0.0,0.0
8430e0bffffffff,10.0,0.0,0.0,0.0
8430e0dffffffff,6.0,0.0,0.0,0.0
8430e1dffffffff,9.0,0.0,0.0,0.0
8430e25ffffffff,81.0,0.0,0.0,0.0
8430e29ffffffff,11.0,0.0,0.0,0.0
8430e2bffffffff,2.0,0.0,0.0,0.0
8430e39ffffffff,1.0,0.0,0.0,0.0
8430e41ffffffff,11.0,0.0,0.0,0.0
8430e43ffffffff,1.0,0.0,0.0,0.0
8430e55ffffffff,5.0,0.0,0.0,0.0
