cell_id,Attila spadiceus,Attila spadiceus [flammulatus Group],Attila spadiceus spadiceus/uropygiatus
834501fffffffff,2.0,0.0,0.0
834526fffffffff,3.0,0.0,0.0
834528fffffffff,5.0,0.0,0.0
83452afffffffff,1.0,1.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,3.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0
834833fffffffff,3.0,0.0,0.0
834986fffffffff,7.0,6.0,0.0
83499efffffffff,2.0,0.0,0.0
8349a2fffffffff,2.0,0.0,0.0
8349b3fffffffff,20.0,1.0,0.0
83661efffffffff,3.0,0.0,0.0
836620fffffffff,9.0,5.0,0.0
836622fffffffff,2.0,2.0,0.0
836629fffffffff,5.0,0.0,0.0
8366b0fffffffff,6.0,4.0,0.0
8366b1fffffffff,1.0,0.0,0.0
8366b4fffffffff,8.0,6.0,0.0
8366b5fffffffff,2.0,2.0,0.0
8366c5fffffffff,3.0,0.0,0.0
8366dafffffffff,1.0,0.0,0.0
8366defffffffff,4.0,0.0,0.0
8366e0fffffffff,4.0,0.0,0.0
8366e5fffffffff,1.0,0.0,0.0
8366ecfffffffff,1.0,0.0,1.0
8366f0fffffffff,2.0,0.0,0.0
8366f1fffffffff,3.0,0.0,0.0
83674cfffffffff,9.0,0.0,0.0
836751fffffffff,1.0,0.0,0.0
83675afffffffff,1.0,0.0,0.0
83679afffffffff,11.0,3.0,0.0
836d05fffffffff,3.0,3.0,0.0
836d06fffffffff,2.0,0.0,0.0
836d15fffffffff,2.0,2.0,0.0
836d20fffffffff,2.0,0.0,0.0
836d21fffffffff,2.0,0.0,0.0
836d22fffffffff,2.0,2.0,0.0
836d29fffffffff,6.0,0.0,0.0
836d2bfffffffff,6.0,0.0,0.0
836d2cfffffffff,11.0,3.0,0.0
836d2efffffffff,4.0,0.0,0.0
836d30fffffffff,2.0,0.0,0.0
836d31fffffffff,2.0,0.0,0.0
836d33fffffffff,8.0,1.0,0.0
836d34fffffffff,2.0,2.0,0.0
836d35fffffffff,6.0,3.0,0.0
836d68fffffffff,3.0,0.0,0.0
836d69fffffffff,6.0,3.0,0.0
836d76fffffffff,2.0,0.0,0.0
838136fffffffff,3.0,0.0,3.0
838b61fffffffff,2.0,0.0,2.0
838b71fffffffff,2.0,0.0,2.0
838f29fffffffff,8.0,0.0,0.0
83a596fffffffff,7.0,0.0,7.0
