cell_id,Amazilia rutila,Amazilia rutila graysoni,Amazilia rutila [rutila Group]
8444249ffffffff,293.0,0.0,1.0
844424dffffffff,57.0,0.0,9.0
8445011ffffffff,42.0,0.0,0.0
8445013ffffffff,9.0,0.0,0.0
8445017ffffffff,2.0,0.0,0.0
8445019ffffffff,321.0,0.0,0.0
844501bffffffff,160.0,0.0,6.0
8445043ffffffff,69.0,0.0,0.0
8445051ffffffff,3.0,0.0,0.0
8445053ffffffff,975.0,0.0,0.0
8445055ffffffff,2.0,0.0,0.0
8445057ffffffff,101.0,0.0,0.0
8445059ffffffff,117.0,0.0,0.0
844505bffffffff,921.0,0.0,0.0
844505dffffffff,54.0,0.0,0.0
8445081ffffffff,8.0,0.0,0.0
8445083ffffffff,257.0,0.0,12.0
8445085ffffffff,287.0,0.0,18.0
8445087ffffffff,515.0,0.0,12.0
8445089ffffffff,5.0,0.0,0.0
844508bffffffff,7.0,0.0,0.0
844508dffffffff,122.0,0.0,4.0
8445091ffffffff,101.0,0.0,26.0
8445093ffffffff,102.0,0.0,18.0
8445095ffffffff,12.0,0.0,4.0
8445097ffffffff,73.0,0.0,17.0
8445099ffffffff,235.0,0.0,1.0
844509bffffffff,3166.0,0.0,637.0
844509dffffffff,50.0,0.0,0.0
84450a1ffffffff,198.0,0.0,1.0
84450a3ffffffff,188.0,0.0,14.0
84450a5ffffffff,278.0,0.0,9.0
84450a7ffffffff,293.0,0.0,20.0
84450a9ffffffff,203.0,0.0,12.0
84450abffffffff,81.0,0.0,2.0
84450adffffffff,101.0,0.0,0.0
84450b1ffffffff,996.0,0.0,44.0
84450b5ffffffff,426.0,0.0,23.0
84450b9ffffffff,128.0,0.0,0.0
84450bdffffffff,145.0,0.0,8.0
84450c1ffffffff,2.0,0.0,0.0
84450c3ffffffff,5.0,0.0,2.0
84450c5ffffffff,45.0,0.0,3.0
84450c7ffffffff,8.0,0.0,0.0
84450cdffffffff,35.0,0.0,0.0
84450d1ffffffff,8.0,0.0,0.0
84450d3ffffffff,182.0,0.0,36.0
84450d5ffffffff,95.0,0.0,18.0
84450d7ffffffff,61.0,0.0,0.0
84450dbffffffff,6.0,0.0,0.0
84450ddffffffff,12.0,0.0,0.0
84450e1ffffffff,177.0,0.0,0.0
84450e3ffffffff,379.0,0.0,6.0
84450e7ffffffff,16.0,0.0,3.0
84450ebffffffff,213.0,0.0,10.0
84450edffffffff,2.0,0.0,0.0
844519bffffffff,322.0,0.0,32.0
8445201ffffffff,2.0,0.0,0.0
8445203ffffffff,15.0,0.0,8.0
8445205ffffffff,490.0,0.0,0.0
8445207ffffffff,120.0,0.0,0.0
8445209ffffffff,102.0,0.0,0.0
844520bffffffff,4.0,0.0,0.0
844520dffffffff,294.0,0.0,0.0
8445215ffffffff,897.0,0.0,0.0
8445217ffffffff,4.0,0.0,0.0
844521dffffffff,37.0,0.0,3.0
8445221ffffffff,19.0,0.0,0.0
8445225ffffffff,167.0,0.0,0.0
8445229ffffffff,5.0,0.0,0.0
844522bffffffff,57.0,0.0,0.0
8445231ffffffff,126.0,0.0,0.0
8445233ffffffff,422.0,0.0,0.0
8445237ffffffff,57.0,0.0,0.0
8445239ffffffff,4.0,0.0,0.0
844523bffffffff,108.0,0.0,0.0
8445241ffffffff,17.0,0.0,0.0
8445243ffffffff,251.0,0.0,0.0
8445245ffffffff,8.0,0.0,0.0
8445247ffffffff,747.0,0.0,0.0
8445249ffffffff,342.0,0.0,0.0
844524bffffffff,69.0,0.0,0.0
844524dffffffff,20.0,0.0,0.0
8445251ffffffff,151.0,0.0,31.0
8445255ffffffff,327.0,0.0,0.0
8445257ffffffff,38.0,0.0,6.0
844525bffffffff,340.0,0.0,83.0
844525dffffffff,17.0,0.0,5.0
8445261ffffffff,56.0,0.0,0.0
8445263ffffffff,419.0,0.0,0.0
8445267ffffffff,16.0,0.0,0.0
8445269ffffffff,74.0,0.0,0.0
844526bffffffff,571.0,0.0,0.0
844526dffffffff,17.0,0.0,0.0
8445285ffffffff,2.0,0.0,0.0
8445287ffffffff,14.0,0.0,2.0
8445291ffffffff,3.0,0.0,0.0
8445295ffffffff,6.0,0.0,3.0
8445297ffffffff,12.0,0.0,0.0
844529bffffffff,8.0,0.0,0.0
84452a1ffffffff,12.0,0.0,0.0
84452a3ffffffff,15.0,0.0,4.0
84452a5ffffffff,432.0,0.0,0.0
84452a7ffffffff,60.0,0.0,2.0
84452a9ffffffff,22.0,0.0,0.0
84452abffffffff,2.0,0.0,0.0
84452adffffffff,164.0,0.0,0.0
84452b3ffffffff,2.0,0.0,0.0
84452b9ffffffff,20.0,0.0,3.0
84452bdffffffff,49.0,0.0,2.0
84452e5ffffffff,29.0,0.0,0.0
8445303ffffffff,6.0,0.0,0.0
8445307ffffffff,3.0,0.0,0.0
8445309ffffffff,16.0,0.0,0.0
8445319ffffffff,3.0,0.0,0.0
8445321ffffffff,10.0,0.0,0.0
844532bffffffff,10.0,0.0,0.0
8445343ffffffff,109.0,0.0,0.0
8445347ffffffff,4.0,0.0,0.0
8445349ffffffff,9.0,0.0,0.0
8445351ffffffff,27.0,0.0,0.0
8445353ffffffff,179.0,0.0,0.0
8445355ffffffff,3.0,0.0,0.0
8445357ffffffff,12.0,0.0,0.0
8445359ffffffff,2.0,0.0,0.0
844535dffffffff,11.0,0.0,0.0
8445365ffffffff,7.0,0.0,0.0
8445367ffffffff,4.0,0.0,0.0
844554dffffffff,2.0,0.0,0.0
8445721ffffffff,783.0,0.0,95.0
8445723ffffffff,38.0,0.0,8.0
8445725ffffffff,411.0,0.0,16.0
8445727ffffffff,542.0,0.0,206.0
8445729ffffffff,15.0,0.0,0.0
844572dffffffff,11.0,0.0,3.0
8445749ffffffff,4.0,0.0,0.0
844574dffffffff,7.0,0.0,0.0
8445761ffffffff,84.0,0.0,0.0
8445765ffffffff,10.0,0.0,0.0
8445767ffffffff,59.0,0.0,11.0
8445769ffffffff,10.0,0.0,2.0
8448005ffffffff,4.0,0.0,0.0
8448021ffffffff,6.0,0.0,0.0
844802bffffffff,212.0,0.0,0.0
8448061ffffffff,6.0,0.0,0.0
8448065ffffffff,68.0,0.0,0.0
8448067ffffffff,8.0,0.0,0.0
844806dffffffff,16.0,0.0,0.0
8448159ffffffff,1.0,0.0,0.0
844815bffffffff,43.0,0.0,0.0
8448309ffffffff,19.0,19.0,0.0
8448329ffffffff,17.0,0.0,2.0
844832bffffffff,18.0,0.0,0.0
8448331ffffffff,114.0,0.0,0.0
8448333ffffffff,118.0,0.0,3.0
8448337ffffffff,194.0,0.0,4.0
844833bffffffff,328.0,0.0,7.0
844833dffffffff,11.0,0.0,0.0
8448347ffffffff,2.0,0.0,0.0
8448361ffffffff,1704.0,0.0,19.0
8448363ffffffff,1711.0,0.0,35.0
8448365ffffffff,92.0,0.0,3.0
8448367ffffffff,149.0,0.0,4.0
8448369ffffffff,1850.0,0.0,27.0
844836dffffffff,90.0,0.0,0.0
8449809ffffffff,2.0,0.0,0.0
8449855ffffffff,1.0,0.0,0.0
8449a17ffffffff,1.0,0.0,0.0
8449a21ffffffff,22.0,0.0,0.0
8449a23ffffffff,19.0,0.0,0.0
8449a2bffffffff,124.0,0.0,0.0
8449a31ffffffff,6.0,0.0,0.0
8449a39ffffffff,3.0,0.0,0.0
8449a3dffffffff,63.0,0.0,0.0
8449a81ffffffff,47.0,0.0,0.0
8449a83ffffffff,13.0,0.0,0.0
8449a85ffffffff,163.0,0.0,0.0
8449a87ffffffff,2.0,0.0,2.0
8449a89ffffffff,132.0,0.0,6.0
8449a8bffffffff,67.0,0.0,3.0
8449a8dffffffff,707.0,0.0,3.0
8449a91ffffffff,996.0,0.0,76.0
8449a93ffffffff,712.0,0.0,25.0
8449a95ffffffff,3.0,0.0,0.0
8449a97ffffffff,482.0,0.0,3.0
8449a99ffffffff,1.0,0.0,0.0
8449a9bffffffff,43.0,0.0,1.0
8449a9dffffffff,1.0,0.0,0.0
8449aa9ffffffff,1.0,0.0,0.0
8449ac7ffffffff,5.0,0.0,0.0
8449ad5ffffffff,67.0,0.0,2.0
8449ad7ffffffff,34.0,0.0,4.0
8449ae1ffffffff,1.0,0.0,0.0
8449ae3ffffffff,55.0,0.0,6.0
8449aebffffffff,5.0,0.0,0.0
8449b0bffffffff,15.0,0.0,0.0
8449b0dffffffff,2.0,0.0,0.0
8449b43ffffffff,3.0,0.0,0.0
8449b47ffffffff,8.0,0.0,0.0
8449b51ffffffff,8.0,0.0,0.0
8449b53ffffffff,43.0,0.0,0.0
8449b55ffffffff,71.0,0.0,0.0
8449b57ffffffff,30.0,0.0,0.0
8449b67ffffffff,6.0,0.0,0.0
8449b6bffffffff,4.0,0.0,0.0
8449b6dffffffff,14.0,0.0,0.0
8466b4dffffffff,2.0,0.0,0.0
8466b69ffffffff,11.0,0.0,0.0
8467903ffffffff,2.0,0.0,0.0
8467909ffffffff,5.0,0.0,0.0
846790bffffffff,8.0,0.0,0.0
846790dffffffff,18.0,0.0,0.0
8467915ffffffff,2.0,0.0,0.0
846791dffffffff,2.0,0.0,0.0
8467921ffffffff,12.0,0.0,0.0
8467925ffffffff,19.0,0.0,0.0
8467927ffffffff,2.0,0.0,0.0
846792dffffffff,2.0,0.0,0.0
8467933ffffffff,2.0,0.0,0.0
8467937ffffffff,2.0,0.0,0.0
846793bffffffff,16.0,0.0,0.0
8467943ffffffff,1.0,0.0,0.0
8467945ffffffff,3.0,0.0,0.0
8467947ffffffff,5.0,0.0,0.0
8467949ffffffff,4.0,0.0,0.0
