cell_id,Coeligena violifer,Coeligena violifer dichroura,Coeligena violifer albicaudata,Coeligena violifer osculans,Coeligena violifer violifer
838b20fffffffff,2.0,0.0,0.0,0.0,2.0
838b21fffffffff,7.0,0.0,0.0,0.0,7.0
838b2cfffffffff,6.0,0.0,0.0,0.0,6.0
838b61fffffffff,4.0,0.0,0.0,4.0,0.0
838b6cfffffffff,7.0,0.0,0.0,7.0,0.0
838e61fffffffff,3.0,2.0,0.0,0.0,0.0
838e65fffffffff,19.0,19.0,0.0,0.0,0.0
838e6dfffffffff,1.0,0.0,1.0,0.0,0.0
838f4afffffffff,4.0,4.0,0.0,0.0,0.0
838f55fffffffff,1.0,1.0,0.0,0.0,0.0
838f59fffffffff,16.0,16.0,0.0,0.0,0.0
