cell_id,Nystalus maculatus,Nystalus maculatus maculatus,Nystalus maculatus striatipectus
828007fffffffff,2.0,2.0,0.0
828027fffffffff,2.0,0.0,0.0
828b27fffffffff,4.0,0.0,1.0
82a81ffffffffff,4.0,1.0,0.0
82a96ffffffffff,23.0,0.0,0.0
82b247fffffffff,17.0,0.0,1.0
82b25ffffffffff,23.0,0.0,2.0
82b267fffffffff,20.0,0.0,0.0
82b26ffffffffff,1.0,0.0,0.0
82b277fffffffff,2.0,0.0,2.0
82b2effffffffff,12.0,0.0,0.0
82b32ffffffffff,2.0,0.0,2.0
82b357fffffffff,5.0,0.0,1.0
82b35ffffffffff,6.0,0.0,2.0
82b367fffffffff,6.0,0.0,5.0
82b36ffffffffff,3.0,0.0,3.0
