cell_id,Astur bicolor,Astur bicolor bicolor/fidens,Astur bicolor pileatus/guttifer
824507fffffffff,3.0,0.0,0.0
82450ffffffffff,61.0,0.0,0.0
824527fffffffff,14.0,0.0,0.0
82452ffffffffff,357.0,23.0,0.0
824577fffffffff,5.0,0.0,0.0
825f07fffffffff,2.0,0.0,0.0
825f17fffffffff,1.0,0.0,0.0
825f2ffffffffff,17.0,0.0,0.0
825f47fffffffff,1.0,0.0,0.0
825f4ffffffffff,2.0,0.0,0.0
825f77fffffffff,3.0,1.0,0.0
826607fffffffff,17.0,0.0,0.0
82660ffffffffff,20.0,0.0,0.0
826617fffffffff,58.0,0.0,0.0
82661ffffffffff,31.0,0.0,0.0
826627fffffffff,135.0,14.0,0.0
82662ffffffffff,11.0,2.0,0.0
826637fffffffff,14.0,1.0,0.0
826647fffffffff,2.0,0.0,0.0
82665ffffffffff,14.0,1.0,0.0
826667fffffffff,3.0,0.0,0.0
826687fffffffff,1.0,0.0,0.0
8266a7fffffffff,23.0,0.0,0.0
8266b7fffffffff,1072.0,0.0,0.0
8266c7fffffffff,29.0,0.0,0.0
8266d7fffffffff,187.0,29.0,0.0
8266dffffffffff,100.0,3.0,0.0
8266e7fffffffff,66.0,0.0,0.0
8266effffffffff,5.0,0.0,0.0
8266f7fffffffff,13.0,0.0,0.0
826747fffffffff,16.0,0.0,0.0
82674ffffffffff,162.0,0.0,0.0
826757fffffffff,27.0,0.0,0.0
82675ffffffffff,36.0,0.0,0.0
826797fffffffff,5.0,0.0,0.0
82679ffffffffff,44.0,0.0,0.0
826d27fffffffff,3.0,0.0,0.0
826d2ffffffffff,8.0,0.0,0.0
826d37fffffffff,5.0,0.0,0.0
826d67fffffffff,4.0,4.0,0.0
826d6ffffffffff,639.0,0.0,0.0
828007fffffffff,3.0,0.0,0.0
828017fffffffff,13.0,0.0,0.0
828037fffffffff,5.0,0.0,0.0
828067fffffffff,2.0,0.0,0.0
828107fffffffff,23.0,0.0,0.0
82811ffffffffff,1.0,0.0,0.0
828127fffffffff,27.0,0.0,0.0
828137fffffffff,1.0,0.0,0.0
82814ffffffffff,9.0,0.0,0.0
82815ffffffffff,1.0,0.0,0.0
82818ffffffffff,7.0,0.0,0.0
8281affffffffff,1.0,0.0,0.0
828a07fffffffff,9.0,0.0,0.0
828a17fffffffff,2.0,0.0,0.0
828a6ffffffffff,8.0,0.0,0.0
828a9ffffffffff,10.0,0.0,0.0
828af7fffffffff,16.0,0.0,0.0
828b27fffffffff,55.0,0.0,0.0
828b2ffffffffff,11.0,0.0,0.0
828b37fffffffff,2.0,0.0,0.0
828b47fffffffff,21.0,0.0,0.0
828b67fffffffff,40.0,0.0,0.0
828b6ffffffffff,10.0,0.0,0.0
828b77fffffffff,16.0,0.0,0.0
828b9ffffffffff,8.0,0.0,0.0
828ba7fffffffff,10.0,0.0,0.0
828bb7fffffffff,7.0,0.0,0.0
828e67fffffffff,2.0,0.0,0.0
828f0ffffffffff,74.0,9.0,0.0
828f2ffffffffff,128.0,9.0,0.0
828f47fffffffff,11.0,0.0,0.0
828f57fffffffff,53.0,0.0,0.0
828f6ffffffffff,2.0,0.0,0.0
828f77fffffffff,16.0,5.0,0.0
82a597fffffffff,2.0,0.0,0.0
82a807fffffffff,58.0,0.0,0.0
82a817fffffffff,121.0,0.0,0.0
82a81ffffffffff,1.0,0.0,0.0
82a827fffffffff,13.0,0.0,0.0
82a837fffffffff,45.0,0.0,0.0
82a847fffffffff,22.0,0.0,0.0
82a85ffffffffff,97.0,0.0,0.0
82a867fffffffff,13.0,0.0,0.0
82a86ffffffffff,7.0,0.0,0.0
82a887fffffffff,32.0,0.0,0.0
82a88ffffffffff,7.0,0.0,0.0
82a8a7fffffffff,65.0,0.0,0.0
82a8affffffffff,20.0,0.0,0.0
82a8c7fffffffff,15.0,0.0,0.0
82a8d7fffffffff,19.0,0.0,0.0
82a8dffffffffff,10.0,0.0,0.0
82a8effffffffff,1.0,0.0,0.0
82a8f7fffffffff,2.0,0.0,0.0
82a90ffffffffff,2.0,0.0,0.0
82a91ffffffffff,6.0,0.0,0.0
82a92ffffffffff,33.0,0.0,0.0
82a947fffffffff,34.0,0.0,0.0
82a94ffffffffff,20.0,0.0,0.0
82a957fffffffff,37.0,0.0,0.0
82a95ffffffffff,6.0,0.0,0.0
82a967fffffffff,54.0,0.0,0.0
82a96ffffffffff,50.0,0.0,0.0
82a977fffffffff,8.0,0.0,0.0
82b277fffffffff,54.0,0.0,0.0
82b327fffffffff,5.0,0.0,0.0
82b347fffffffff,201.0,0.0,0.0
82b34ffffffffff,8.0,0.0,0.0
82b357fffffffff,64.0,0.0,0.0
82b35ffffffffff,324.0,0.0,0.0
82b367fffffffff,6.0,0.0,0.0
82b377fffffffff,9.0,0.0,0.0
82c2c7fffffffff,109.0,0.0,4.0
82c2cffffffffff,174.0,0.0,0.0
82c2dffffffffff,7.0,0.0,0.0
