cell_id,Atlapetes latinuchus,Atlapetes latinuchus nigrifrons,Atlapetes latinuchus [latinuchus Group]
836601fffffffff,4.0,0.0,1.0
836608fffffffff,17.0,0.0,0.0
836609fffffffff,4.0,0.0,0.0
83660afffffffff,4.0,0.0,0.0
83660bfffffffff,192.0,0.0,0.0
83660cfffffffff,8.0,0.0,0.0
836618fffffffff,473.0,0.0,0.0
836619fffffffff,386.0,0.0,0.0
83661bfffffffff,29.0,0.0,0.0
83661dfffffffff,169.0,0.0,0.0
836621fffffffff,1258.0,675.0,0.0
83662efffffffff,15.0,1.0,0.0
8366c2fffffffff,128.0,0.0,6.0
8366c6fffffffff,667.0,0.0,1.0
8366d0fffffffff,6.0,0.0,0.0
8366d1fffffffff,114.0,0.0,0.0
8366d3fffffffff,3476.0,0.0,387.0
8366d5fffffffff,196.0,0.0,0.0
8366dafffffffff,2.0,0.0,0.0
8366defffffffff,389.0,0.0,57.0
8366e0fffffffff,66.0,0.0,4.0
8366e2fffffffff,2.0,0.0,0.0
8366e4fffffffff,49.0,0.0,0.0
8366e5fffffffff,6.0,0.0,0.0
8366e6fffffffff,132.0,0.0,1.0
8366f0fffffffff,4.0,0.0,0.0
8366f1fffffffff,445.0,0.0,1.0
8366f3fffffffff,16.0,0.0,0.0
8366f5fffffffff,169.0,0.0,0.0
838f0dfffffffff,29.0,0.0,0.0
838f29fffffffff,33.0,0.0,0.0
838f2bfffffffff,21.0,0.0,0.0
838f2dfffffffff,46.0,0.0,4.0
838f42fffffffff,146.0,0.0,13.0
838f46fffffffff,159.0,0.0,10.0
838f4afffffffff,7.0,0.0,0.0
838f50fffffffff,49.0,0.0,0.0
838f51fffffffff,257.0,0.0,0.0
838f54fffffffff,183.0,0.0,0.0
838f55fffffffff,827.0,0.0,85.0
838f58fffffffff,7.0,0.0,0.0
838f59fffffffff,3.0,0.0,0.0
838f5cfffffffff,34.0,0.0,0.0
838f5dfffffffff,13.0,0.0,0.0
838f72fffffffff,1000.0,0.0,136.0
838f73fffffffff,459.0,0.0,40.0
838f74fffffffff,18.0,0.0,0.0
838f76fffffffff,767.0,0.0,60.0
