cell_id,Terpsiphone cinnamomea,Terpsiphone cinnamomea unirufa,Terpsiphone cinnamomea cinnamomea/talautensis
8468193ffffffff,2.0,0.0,0.0
8468401ffffffff,20.0,0.0,4.0
8468421ffffffff,1.0,0.0,0.0
846842bffffffff,3.0,0.0,1.0
846843dffffffff,3.0,0.0,0.0
84684e5ffffffff,213.0,0.0,53.0
846855bffffffff,1.0,0.0,0.0
846856bffffffff,16.0,0.0,6.0
8468583ffffffff,4.0,0.0,2.0
846858bffffffff,8.0,0.0,5.0
84685c3ffffffff,33.0,0.0,19.0
84685c7ffffffff,3.0,0.0,0.0
84685d7ffffffff,4.0,0.0,3.0
84685d9ffffffff,1.0,0.0,1.0
84685dbffffffff,1.0,0.0,1.0
84685e1ffffffff,2.0,0.0,0.0
84685e9ffffffff,34.0,0.0,11.0
84686e9ffffffff,18.0,0.0,0.0
8468e45ffffffff,1.0,0.0,0.0
846941dffffffff,1.0,0.0,0.0
8469433ffffffff,1.0,0.0,0.0
8469439ffffffff,4.0,0.0,0.0
846948dffffffff,2.0,0.0,0.0
84694a9ffffffff,5.0,2.0,0.0
84694cdffffffff,5.0,3.0,0.0
84694e1ffffffff,23.0,3.0,0.0
84694e3ffffffff,1.0,0.0,0.0
84694e5ffffffff,12.0,2.0,0.0
84694e7ffffffff,7.0,0.0,0.0
84694ebffffffff,1.0,0.0,0.0
84694edffffffff,13.0,0.0,0.0
8469583ffffffff,2.0,0.0,0.0
846958bffffffff,10.0,0.0,0.0
8469593ffffffff,17.0,2.0,0.0
8469597ffffffff,1.0,0.0,0.0
846959dffffffff,2.0,0.0,0.0
84695d1ffffffff,5.0,0.0,0.0
8469683ffffffff,1.0,0.0,0.0
84696a9ffffffff,1.0,0.0,0.0
84696cbffffffff,2.0,2.0,0.0
84696d7ffffffff,6.0,0.0,0.0
8473b09ffffffff,31.0,0.0,0.0
8473b43ffffffff,1.0,0.0,0.0
8473b55ffffffff,1.0,0.0,0.0
