cell_id,Pomatorhinus phayrei,Pomatorhinus phayrei phayrei/stanfordi,Pomatorhinus phayrei [albogularis Group]
843c5bdffffffff,2.0,2.0,0.0
843cc0bffffffff,1.0,0.0,0.0
843cea1ffffffff,4.0,0.0,0.0
843cea5ffffffff,1.0,0.0,0.0
843cebdffffffff,2.0,0.0,0.0
84404ddffffffff,2.0,2.0,0.0
8464911ffffffff,1.0,1.0,0.0
8464b03ffffffff,1.0,0.0,0.0
8469341ffffffff,1.0,0.0,1.0
