cell_id,Prinia bairdii,Prinia bairdii bairdii/heinrichi,Prinia bairdii melanops/obscura
8458c8bffffffff,1.0,0.0,0.0
8458d1dffffffff,1.0,0.0,0.0
8458d33ffffffff,38.0,37.0,0.0
8458d37ffffffff,10.0,10.0,0.0
8458db5ffffffff,8.0,0.0,0.0
8458de5ffffffff,7.0,7.0,0.0
846ac03ffffffff,25.0,6.0,1.0
846ac0bffffffff,26.0,5.0,3.0
846ac15ffffffff,10.0,0.0,0.0
846ac5bffffffff,5.0,0.0,4.0
846ad1bffffffff,1.0,0.0,0.0
846ada1ffffffff,4.0,0.0,0.0
846adc1ffffffff,525.0,19.0,73.0
846adc5ffffffff,53.0,2.0,2.0
846ade3ffffffff,1.0,0.0,0.0
846ade5ffffffff,1.0,0.0,0.0
846ade7ffffffff,105.0,0.0,31.0
846adebffffffff,3.0,0.0,0.0
846aea1ffffffff,1.0,0.0,0.0
846aea5ffffffff,1.0,0.0,0.0
847a49dffffffff,3.0,0.0,0.0
847a4c9ffffffff,1.0,0.0,0.0
847a4cbffffffff,112.0,0.0,18.0
847a4ddffffffff,95.0,0.0,6.0
847a6a3ffffffff,2.0,0.0,0.0
847a6b5ffffffff,1.0,0.0,0.0
847a6b7ffffffff,1.0,0.0,0.0
847a6bdffffffff,3.0,0.0,0.0
8482125ffffffff,6.0,0.0,0.0
8482187ffffffff,3.0,0.0,0.0
848218dffffffff,1.0,0.0,0.0
84821b1ffffffff,1.0,0.0,0.0
8482819ffffffff,2.0,0.0,0.0
848284dffffffff,2.0,0.0,0.0
8482853ffffffff,5.0,0.0,0.0
8482855ffffffff,2.0,0.0,0.0
84828b5ffffffff,7.0,0.0,0.0
84828bdffffffff,1.0,0.0,0.0
84828d1ffffffff,77.0,42.0,0.0
848290bffffffff,4.0,0.0,0.0
8482951ffffffff,1.0,0.0,0.0
848295dffffffff,1.0,0.0,0.0
8482a17ffffffff,1.0,0.0,0.0
8482a37ffffffff,2.0,0.0,0.0
8482a81ffffffff,2.0,0.0,0.0
8482aadffffffff,5.0,0.0,0.0
8482ab7ffffffff,4.0,4.0,0.0
8482ae9ffffffff,2.0,0.0,0.0
8482d07ffffffff,2.0,0.0,0.0
8482d27ffffffff,12.0,0.0,0.0
8482d2bffffffff,3.0,3.0,0.0
8482d3dffffffff,42.0,27.0,0.0
8483a89ffffffff,6.0,0.0,0.0
8483ac3ffffffff,13.0,1.0,0.0
8483ac7ffffffff,1.0,1.0,0.0
