cell_id,Pachycephala pectoralis,Pachycephala pectoralis fuliginosa/occidentalis,Pachycephala pectoralis [pectoralis Group]
829c07fffffffff,33.0,0.0,33.0
829c27fffffffff,2329.0,0.0,2329.0
829d07fffffffff,16.0,0.0,16.0
829d0ffffffffff,162.0,0.0,162.0
829d27fffffffff,128.0,0.0,128.0
829d2ffffffffff,2.0,0.0,2.0
82a707fffffffff,19.0,19.0,0.0
82a717fffffffff,5.0,5.0,0.0
82a71ffffffffff,3.0,3.0,0.0
82a727fffffffff,130.0,129.0,0.0
82a737fffffffff,43.0,43.0,0.0
82b82ffffffffff,5.0,5.0,0.0
82b867fffffffff,24.0,24.0,0.0
82b86ffffffffff,26.0,26.0,0.0
82b917fffffffff,612.0,611.0,0.0
82b937fffffffff,7.0,5.0,1.0
82b95ffffffffff,2.0,2.0,0.0
82b9a7fffffffff,46.0,46.0,0.0
82b9affffffffff,65.0,65.0,0.0
82ba6ffffffffff,187.0,0.0,187.0
82be0ffffffffff,10397.0,0.0,10396.0
82be1ffffffffff,2167.0,0.0,2165.0
82be2ffffffffff,165.0,0.0,164.0
82be47fffffffff,1413.0,159.0,1241.0
82be4ffffffffff,819.0,590.0,225.0
82be57fffffffff,198.0,0.0,198.0
82be5ffffffffff,2.0,0.0,2.0
82be67fffffffff,5476.0,0.0,5467.0
82be6ffffffffff,856.0,107.0,738.0
82be77fffffffff,5264.0,0.0,5260.0
82be8ffffffffff,9117.0,0.0,9116.0
82beaffffffffff,3029.0,0.0,3023.0
82bec7fffffffff,15.0,0.0,15.0
82becffffffffff,2.0,0.0,2.0
82bed7fffffffff,34.0,0.0,34.0
82bedffffffffff,33.0,0.0,33.0
82bee7fffffffff,238.0,0.0,238.0
82beeffffffffff,5.0,0.0,5.0
82bef7fffffffff,1793.0,0.0,1793.0
82bf4ffffffffff,2111.0,0.0,2110.0
82bf5ffffffffff,37.0,0.0,37.0
82bf6ffffffffff,355.0,0.0,355.0
82bf8ffffffffff,201.0,0.0,201.0
82c987fffffffff,896.0,896.0,0.0
82c997fffffffff,1218.0,1218.0,0.0
82c99ffffffffff,170.0,170.0,0.0
82c9b7fffffffff,463.0,463.0,0.0
82d897fffffffff,77.0,0.0,77.0
82d8b7fffffffff,12.0,0.0,12.0
