cell_id,Petroica pusilla,Petroica pusilla [similis Group],Petroica pusilla pusilla
839a02fffffffff,23.0,0.0,0.0
839a15fffffffff,20.0,0.0,0.0
839b41fffffffff,37.0,0.0,0.0
839b43fffffffff,14.0,0.0,0.0
839b4cfffffffff,26.0,0.0,0.0
839b4efffffffff,6.0,0.0,0.0
839b5dfffffffff,8.0,0.0,0.0
839b6afffffffff,36.0,0.0,0.0
839b6bfffffffff,34.0,0.0,0.0
839b6efffffffff,1.0,0.0,0.0
839e02fffffffff,12.0,0.0,0.0
839e06fffffffff,8.0,0.0,0.0
839e10fffffffff,4.0,0.0,0.0
839e13fffffffff,3.0,0.0,0.0
839e22fffffffff,6.0,0.0,0.0
839e24fffffffff,38.0,0.0,0.0
