cell_id,Peucaea ruficauda,Peucaea ruficauda acuminata,Peucaea ruficauda [ruficauda Group]
834524fffffffff,266.0,0.0,0.0
834525fffffffff,399.0,0.0,0.0
834526fffffffff,95.0,0.0,0.0
834534fffffffff,2.0,0.0,0.0
834535fffffffff,2.0,0.0,0.0
834536fffffffff,1.0,0.0,0.0
834814fffffffff,1.0,0.0,0.0
834830fffffffff,4.0,0.0,0.0
834832fffffffff,22.0,0.0,0.0
834836fffffffff,2391.0,0.0,0.0
834980fffffffff,139.0,0.0,0.0
834982fffffffff,2.0,0.0,0.0
834984fffffffff,2.0,0.0,0.0
834985fffffffff,34.0,0.0,0.0
834986fffffffff,196.0,0.0,0.0
83498cfffffffff,56.0,0.0,0.0
83498dfffffffff,1.0,0.0,0.0
834994fffffffff,35.0,0.0,0.0
8349a2fffffffff,57.0,0.0,0.0
8349a3fffffffff,18.0,0.0,0.0
8349a8fffffffff,908.0,0.0,0.0
8349a9fffffffff,1353.0,0.0,0.0
8349aafffffffff,725.0,0.0,0.0
8349abfffffffff,367.0,0.0,0.0
8349adfffffffff,37.0,0.0,0.0
8349aefffffffff,33.0,0.0,0.0
8349b0fffffffff,33.0,0.0,0.0
8349b1fffffffff,9.0,0.0,0.0
8349b2fffffffff,16.0,0.0,0.0
8349b3fffffffff,1531.0,0.0,0.0
8349b5fffffffff,15.0,0.0,0.0
8349b6fffffffff,4.0,0.0,0.0
8366b4fffffffff,2.0,0.0,0.0
8366b6fffffffff,3.0,0.0,0.0
836792fffffffff,6.0,0.0,0.0
836d04fffffffff,418.0,0.0,0.0
836d05fffffffff,14.0,0.0,0.0
836d06fffffffff,41.0,0.0,0.0
836d14fffffffff,3.0,0.0,0.0
836d29fffffffff,75.0,0.0,0.0
836d2afffffffff,19.0,0.0,0.0
836d2bfffffffff,82.0,0.0,0.0
836d2dfffffffff,6.0,0.0,0.0
836d31fffffffff,1078.0,0.0,0.0
836d33fffffffff,2.0,0.0,0.0
836d60fffffffff,1177.0,0.0,0.0
836d61fffffffff,750.0,0.0,0.0
836d63fffffffff,135.0,0.0,0.0
836d64fffffffff,1068.0,0.0,0.0
836d65fffffffff,467.0,0.0,0.0
836d66fffffffff,790.0,0.0,0.0
836d68fffffffff,2855.0,0.0,0.0
836d69fffffffff,5145.0,0.0,0.0
836d6afffffffff,86.0,0.0,0.0
836d6bfffffffff,1148.0,0.0,0.0
836d6cfffffffff,33.0,0.0,0.0
836d6efffffffff,257.0,0.0,0.0
836d74fffffffff,343.0,0.0,0.0
836d75fffffffff,259.0,0.0,0.0
836d76fffffffff,135.0,0.0,0.0
