cell_id,Orthorhyncus cristatus,Orthorhyncus cristatus exilis,Orthorhyncus cristatus ornatus,Orthorhyncus cristatus cristatus,Orthorhyncus cristatus emigrans
844cc53ffffffff,2.0,0.0,0.0,0.0,0.0
844ce81ffffffff,74.0,0.0,0.0,0.0,0.0
844ce85ffffffff,131.0,0.0,0.0,0.0,0.0
844ce8bffffffff,167.0,0.0,0.0,0.0,0.0
844ce95ffffffff,47.0,2.0,0.0,0.0,0.0
844cea9ffffffff,132.0,0.0,0.0,0.0,0.0
844ceadffffffff,544.0,0.0,0.0,0.0,0.0
844ceb9ffffffff,53.0,2.0,0.0,0.0,0.0
844ced5ffffffff,16.0,0.0,0.0,0.0,0.0
844ced7ffffffff,8.0,0.0,0.0,0.0,0.0
844cee3ffffffff,205.0,0.0,0.0,0.0,0.0
844cee7ffffffff,23.0,0.0,0.0,0.0,0.0
844d497ffffffff,92.0,0.0,0.0,0.0,0.0
844d4bbffffffff,98.0,0.0,0.0,0.0,0.0
845e405ffffffff,4.0,0.0,0.0,0.0,0.0
845e423ffffffff,1.0,0.0,0.0,0.0,0.0
845e42bffffffff,53.0,0.0,0.0,0.0,0.0
845e431ffffffff,25.0,0.0,0.0,0.0,0.0
845e433ffffffff,22.0,0.0,0.0,0.0,0.0
845e435ffffffff,14.0,0.0,0.0,0.0,0.0
845e437ffffffff,418.0,0.0,0.0,0.0,0.0
845e43dffffffff,289.0,0.0,0.0,0.0,0.0
845e461ffffffff,25.0,0.0,0.0,0.0,0.0
845e463ffffffff,118.0,0.0,0.0,0.0,0.0
845e467ffffffff,61.0,0.0,0.0,0.0,0.0
845e469ffffffff,532.0,141.0,0.0,0.0,0.0
845e4a1ffffffff,34.0,0.0,0.0,0.0,0.0
845e4a3ffffffff,85.0,1.0,0.0,0.0,0.0
845e4adffffffff,130.0,0.0,0.0,0.0,0.0
845e4b1ffffffff,29.0,0.0,0.0,0.0,0.0
845e4b5ffffffff,34.0,0.0,0.0,0.0,0.0
845e4b7ffffffff,49.0,0.0,0.0,0.0,0.0
845e591ffffffff,13.0,9.0,0.0,0.0,0.0
845e599ffffffff,4.0,0.0,0.0,0.0,0.0
845e59bffffffff,44.0,11.0,0.0,0.0,0.0
845e5cbffffffff,293.0,0.0,0.0,0.0,0.0
845e5d3ffffffff,253.0,29.0,0.0,0.0,0.0
845e5d7ffffffff,14.0,0.0,0.0,0.0,0.0
845e5d9ffffffff,136.0,0.0,0.0,0.0,0.0
845e5ddffffffff,202.0,0.0,0.0,0.0,0.0
845e62dffffffff,130.0,0.0,0.0,0.0,7.0
845e667ffffffff,1470.0,0.0,0.0,0.0,67.0
845e705ffffffff,210.0,0.0,0.0,0.0,0.0
845e713ffffffff,10.0,2.0,0.0,0.0,0.0
845e717ffffffff,43.0,13.0,0.0,0.0,0.0
845e719ffffffff,63.0,0.0,18.0,0.0,4.0
845e71bffffffff,391.0,0.0,119.0,0.0,0.0
845e729ffffffff,17.0,0.0,0.0,0.0,0.0
845e72bffffffff,145.0,0.0,0.0,0.0,0.0
845e753ffffffff,34.0,0.0,0.0,0.0,4.0
