cell_id,Rhopospina fruticeti,Rhopospina fruticeti fruticeti/peruviana,Rhopospina fruticeti coracina
848b259ffffffff,1.0,0.0,1.0
848b611ffffffff,1.0,1.0,0.0
848b61bffffffff,1.0,1.0,0.0
848e663ffffffff,3.0,0.0,0.0
848e759ffffffff,1.0,0.0,0.0
848f5e9ffffffff,2.0,2.0,0.0
84a91b5ffffffff,2.0,0.0,0.0
84b20a5ffffffff,4.0,0.0,0.0
84b2191ffffffff,2.0,0.0,0.0
84b2197ffffffff,5.0,0.0,0.0
84b255dffffffff,3.0,0.0,0.0
84b258bffffffff,1.0,0.0,0.0
84b25cdffffffff,2.0,0.0,0.0
84b25d9ffffffff,7.0,0.0,0.0
84b2c11ffffffff,2.0,0.0,0.0
84b2c43ffffffff,2.0,0.0,0.0
84b2c51ffffffff,16.0,8.0,0.0
84b2c55ffffffff,1.0,0.0,0.0
84b2c5dffffffff,3.0,0.0,0.0
84b2cc7ffffffff,3.0,0.0,0.0
84b2d93ffffffff,2.0,0.0,0.0
84b2e13ffffffff,1.0,0.0,0.0
84b2e3dffffffff,5.0,0.0,0.0
84b2e67ffffffff,1.0,1.0,0.0
84b2e69ffffffff,2.0,0.0,0.0
84b2e6dffffffff,4.0,0.0,0.0
84b2e9bffffffff,1.0,0.0,0.0
84b2eb9ffffffff,3.0,0.0,0.0
84b2ebbffffffff,1.0,0.0,0.0
84b2ec1ffffffff,4.0,0.0,0.0
84b2ec7ffffffff,2.0,0.0,0.0
84b2ec9ffffffff,2.0,0.0,0.0
84b2ee7ffffffff,1.0,0.0,0.0
84b3019ffffffff,4.0,0.0,4.0
84b305dffffffff,8.0,0.0,6.0
84b30d7ffffffff,3.0,0.0,0.0
84b3235ffffffff,1.0,0.0,1.0
84b3237ffffffff,1.0,0.0,1.0
84b3239ffffffff,1.0,0.0,1.0
84b3355ffffffff,2.0,2.0,0.0
84b342dffffffff,6.0,0.0,0.0
84b3551ffffffff,2.0,0.0,0.0
84b3553ffffffff,8.0,0.0,0.0
84b355dffffffff,1.0,0.0,0.0
84b35e1ffffffff,2.0,0.0,0.0
84b3731ffffffff,7.0,0.0,0.0
84c2ce3ffffffff,1.0,0.0,0.0
84c2e31ffffffff,5.0,0.0,0.0
84c2ea1ffffffff,2.0,0.0,0.0
84c2ed5ffffffff,1.0,0.0,0.0
84c2f11ffffffff,2.0,0.0,0.0
84c2f15ffffffff,25.0,0.0,0.0
84c2f2bffffffff,2.0,0.0,0.0
84c2f3dffffffff,6.0,0.0,0.0
84c3201ffffffff,3.0,0.0,0.0
84c3203ffffffff,3.0,3.0,0.0
84c320dffffffff,4.0,0.0,0.0
84c3215ffffffff,3.0,3.0,0.0
84c3217ffffffff,3.0,3.0,0.0
84c3241ffffffff,2.0,0.0,0.0
84c3243ffffffff,31.0,0.0,0.0
84c3255ffffffff,7.0,0.0,0.0
84c3297ffffffff,1.0,0.0,0.0
84c32adffffffff,3.0,3.0,0.0
84c32e1ffffffff,6.0,2.0,0.0
84c32e3ffffffff,4.0,0.0,0.0
84c3487ffffffff,2.0,0.0,0.0
84c350dffffffff,1.0,0.0,0.0
84c356bffffffff,2.0,0.0,0.0
84c364bffffffff,2.0,0.0,0.0
84c364dffffffff,6.0,0.0,0.0
84c3659ffffffff,2.0,0.0,0.0
84c376dffffffff,3.0,3.0,0.0
84ce8c1ffffffff,2.0,0.0,0.0
84ce8c3ffffffff,3.0,0.0,0.0
84ce917ffffffff,3.0,0.0,0.0
84ce931ffffffff,60.0,0.0,0.0
84ce933ffffffff,15.0,0.0,0.0
84ce937ffffffff,18.0,0.0,0.0
84ce93bffffffff,11.0,0.0,0.0
84ce989ffffffff,2.0,0.0,0.0
84ce997ffffffff,4.0,0.0,0.0
84ce9a9ffffffff,2.0,0.0,0.0
84ce9adffffffff,2.0,0.0,0.0
84ce9c3ffffffff,2.0,0.0,0.0
84ce9c7ffffffff,10.0,0.0,0.0
84ce9e1ffffffff,2.0,0.0,0.0
84ce9e3ffffffff,2.0,0.0,0.0
84ce9e5ffffffff,5.0,0.0,0.0
84ce9e9ffffffff,3.0,0.0,0.0
84ce9ebffffffff,5.0,0.0,0.0
84ce9edffffffff,12.0,0.0,0.0
84cea07ffffffff,3.0,0.0,0.0
84cf127ffffffff,2.0,2.0,0.0
84cf887ffffffff,2.0,0.0,0.0
84cf88dffffffff,8.0,0.0,0.0
84cf8a3ffffffff,2.0,0.0,0.0
84cf8c3ffffffff,2.0,0.0,0.0
84cf8c7ffffffff,11.0,0.0,0.0
84cf8edffffffff,6.0,0.0,0.0
84cf98dffffffff,4.0,0.0,0.0
84cf9e1ffffffff,2.0,0.0,0.0
84cf9e9ffffffff,2.0,0.0,0.0
84cf9ebffffffff,2.0,0.0,0.0
84cfa05ffffffff,5.0,0.0,0.0
84cfa21ffffffff,2.0,0.0,0.0
84cfa2bffffffff,2.0,0.0,0.0
84df457ffffffff,1.0,0.0,0.0
84df683ffffffff,5.0,0.0,0.0
84df687ffffffff,6.0,0.0,0.0
84df68bffffffff,3.0,0.0,0.0
84df699ffffffff,2.0,0.0,0.0
84df6a7ffffffff,2.0,0.0,0.0
84df6b5ffffffff,1.0,0.0,0.0
84df6b7ffffffff,12.0,0.0,0.0
