cell_id,Aegolius acadicus,Aegolius acadicus acadicus,Aegolius acadicus brooksi
820c47fffffffff,39.0,0.0,0.0
820c57fffffffff,41.0,0.0,0.0
820c77fffffffff,136.0,0.0,0.0
820e4ffffffffff,6.0,0.0,0.0
820e5ffffffffff,8.0,0.0,0.0
820ecffffffffff,17.0,0.0,0.0
820edffffffffff,5.0,0.0,0.0
82120ffffffffff,4.0,0.0,0.0
82121ffffffffff,3.0,0.0,0.0
821247fffffffff,4.0,0.0,0.0
82124ffffffffff,16.0,0.0,0.0
821257fffffffff,68.0,0.0,0.0
82125ffffffffff,25.0,0.0,0.0
82126ffffffffff,2.0,0.0,0.0
821277fffffffff,2.0,0.0,0.0
821287fffffffff,5.0,0.0,0.0
82128ffffffffff,124.0,0.0,0.0
821297fffffffff,24.0,0.0,0.0
82129ffffffffff,2.0,0.0,0.0
8212affffffffff,60.0,0.0,0.0
8212b7fffffffff,9.0,0.0,0.0
8212c7fffffffff,55.0,0.0,0.0
8212cffffffffff,217.0,0.0,0.0
8212d7fffffffff,185.0,0.0,0.0
8212dffffffffff,226.0,0.0,0.0
8212e7fffffffff,24.0,0.0,0.0
8212effffffffff,442.0,0.0,0.0
8212f7fffffffff,61.0,0.0,0.0
821397fffffffff,12.0,0.0,0.0
82139ffffffffff,13.0,0.0,0.0
822607fffffffff,23.0,0.0,0.0
82260ffffffffff,18.0,0.0,0.0
822617fffffffff,22.0,0.0,0.0
822627fffffffff,146.0,0.0,0.0
82262ffffffffff,111.0,0.0,0.0
822637fffffffff,8.0,0.0,0.0
822647fffffffff,12.0,0.0,0.0
822667fffffffff,420.0,0.0,0.0
82266ffffffffff,14.0,0.0,0.0
822677fffffffff,81.0,0.0,0.0
822687fffffffff,388.0,0.0,0.0
82268ffffffffff,431.0,0.0,0.0
822697fffffffff,358.0,0.0,0.0
82269ffffffffff,138.0,0.0,0.0
8226a7fffffffff,6.0,0.0,0.0
8226affffffffff,1.0,0.0,0.0
8226b7fffffffff,48.0,0.0,0.0
822707fffffffff,116.0,0.0,0.0
82270ffffffffff,104.0,0.0,0.0
822717fffffffff,27.0,0.0,0.0
82271ffffffffff,47.0,0.0,0.0
822747fffffffff,159.0,0.0,0.0
82274ffffffffff,243.0,0.0,0.0
822757fffffffff,330.0,0.0,0.0
82275ffffffffff,460.0,0.0,0.0
822767fffffffff,179.0,0.0,0.0
82276ffffffffff,112.0,0.0,0.0
822777fffffffff,60.0,0.0,0.0
822787fffffffff,7.0,0.0,0.0
82278ffffffffff,29.0,0.0,0.0
822797fffffffff,25.0,0.0,0.0
82279ffffffffff,6.0,0.0,0.0
8227a7fffffffff,4.0,0.0,0.0
8227affffffffff,47.0,0.0,0.0
8227b7fffffffff,22.0,0.0,0.0
822807fffffffff,140.0,0.0,0.0
822817fffffffff,152.0,0.0,0.0
82281ffffffffff,190.0,0.0,0.0
822837fffffffff,1301.0,7.0,0.0
822887fffffffff,384.0,0.0,0.0
82288ffffffffff,359.0,0.0,0.0
822897fffffffff,141.0,0.0,0.0
82289ffffffffff,127.0,0.0,0.0
8228a7fffffffff,6.0,0.0,0.0
8228affffffffff,204.0,0.0,0.0
8228b7fffffffff,155.0,0.0,0.0
8228c7fffffffff,44.0,0.0,0.0
8228d7fffffffff,1580.0,0.0,0.0
8228dffffffffff,856.0,0.0,0.0
8228f7fffffffff,427.0,0.0,0.0
822917fffffffff,28.0,0.0,0.0
82291ffffffffff,207.0,0.0,0.0
822987fffffffff,6.0,0.0,0.0
82298ffffffffff,121.0,0.0,0.0
822997fffffffff,44.0,0.0,0.0
82299ffffffffff,23.0,0.0,0.0
8229a7fffffffff,629.0,0.0,0.0
8229affffffffff,201.0,0.0,0.0
8229b7fffffffff,32.0,0.0,0.0
822a07fffffffff,87.0,0.0,0.0
822a17fffffffff,836.0,0.0,0.0
822a37fffffffff,1008.0,0.0,0.0
822a87fffffffff,102.0,0.0,0.0
822a97fffffffff,102.0,0.0,0.0
822a9ffffffffff,2.0,0.0,0.0
822aa7fffffffff,364.0,0.0,0.0
822aaffffffffff,569.0,1.0,0.0
822ab7fffffffff,665.0,0.0,0.0
822b07fffffffff,106.0,0.0,0.0
822b0ffffffffff,177.0,0.0,0.0
822b17fffffffff,273.0,0.0,0.0
822b1ffffffffff,244.0,0.0,0.0
822b27fffffffff,17.0,0.0,0.0
822b2ffffffffff,15.0,0.0,0.0
822b37fffffffff,109.0,0.0,0.0
822b87fffffffff,542.0,0.0,0.0
822b8ffffffffff,382.0,0.0,0.0
822b97fffffffff,378.0,0.0,0.0
822b9ffffffffff,1452.0,0.0,0.0
822ba7fffffffff,114.0,0.0,0.0
822baffffffffff,1854.0,0.0,0.0
822bb7fffffffff,125.0,0.0,0.0
8244cffffffffff,23.0,0.0,0.0
8244dffffffffff,23.0,0.0,0.0
824817fffffffff,39.0,0.0,0.0
824837fffffffff,11.0,0.0,0.0
8248a7fffffffff,36.0,0.0,0.0
8248c7fffffffff,40.0,0.0,0.0
8248cffffffffff,52.0,0.0,0.0
8248d7fffffffff,13.0,0.0,0.0
8248dffffffffff,181.0,0.0,0.0
8248e7fffffffff,4.0,0.0,0.0
8248effffffffff,15.0,0.0,0.0
824987fffffffff,18.0,0.0,0.0
824997fffffffff,9.0,0.0,0.0
82499ffffffffff,3.0,0.0,0.0
8249affffffffff,18.0,0.0,0.0
