cell_id,Oxyura ferruginea,Oxyura ferruginea andina,Oxyura ferruginea ferruginea
82660ffffffffff,210.0,5.0,0.0
82661ffffffffff,143.0,0.0,0.0
8266c7fffffffff,13.0,1.0,0.0
8266d7fffffffff,567.0,3.0,113.0
8266dffffffffff,1108.0,0.0,314.0
8266e7fffffffff,4908.0,632.0,11.0
8266f7fffffffff,2.0,0.0,0.0
828b27fffffffff,16.0,0.0,0.0
828b2ffffffffff,264.0,0.0,0.0
828b67fffffffff,1489.0,0.0,227.0
828b6ffffffffff,11.0,0.0,0.0
828b77fffffffff,1.0,0.0,0.0
828e47fffffffff,18.0,0.0,0.0
828e67fffffffff,2002.0,0.0,253.0
828e6ffffffffff,72.0,0.0,22.0
828e77fffffffff,41.0,0.0,1.0
828f0ffffffffff,67.0,0.0,0.0
828f2ffffffffff,672.0,0.0,183.0
828f57fffffffff,228.0,0.0,17.0
828f5ffffffffff,246.0,0.0,59.0
828f77fffffffff,5.0,0.0,3.0
82b22ffffffffff,14.0,0.0,0.0
82b277fffffffff,10.0,0.0,2.0
82b2cffffffffff,13.0,0.0,2.0
82b2dffffffffff,2.0,0.0,0.0
82b307fffffffff,431.0,0.0,97.0
82b30ffffffffff,3.0,0.0,0.0
82b327fffffffff,536.0,0.0,23.0
82b32ffffffffff,76.0,0.0,0.0
82b337fffffffff,197.0,0.0,2.0
82b357fffffffff,344.0,0.0,6.0
82b35ffffffffff,365.0,0.0,42.0
82b367fffffffff,40.0,0.0,0.0
82b377fffffffff,1.0,0.0,0.0
82c32ffffffffff,6.0,0.0,0.0
82c367fffffffff,2.0,0.0,0.0
82ce87fffffffff,64.0,0.0,2.0
82ce8ffffffffff,17.0,0.0,0.0
82ce97fffffffff,2.0,0.0,0.0
82ce9ffffffffff,481.0,0.0,8.0
82cea7fffffffff,18.0,0.0,0.0
82cf17fffffffff,287.0,0.0,82.0
82cf87fffffffff,52.0,0.0,8.0
82cf8ffffffffff,44.0,0.0,28.0
82cfa7fffffffff,9.0,0.0,4.0
82cfaffffffffff,398.0,0.0,76.0
82df6ffffffffff,34.0,0.0,12.0
