cell_id,Momotus subrufescens,Momotus subrufescens [subrufescens Group],Momotus subrufescens argenticinctus
836600fffffffff,5.0,0.0,0.0
836602fffffffff,174.0,0.0,0.0
836603fffffffff,6.0,0.0,0.0
836604fffffffff,81.0,0.0,0.0
836605fffffffff,1.0,0.0,0.0
836606fffffffff,45.0,0.0,0.0
836608fffffffff,243.0,0.0,0.0
83660afffffffff,49.0,0.0,0.0
83660cfffffffff,8.0,0.0,0.0
83660efffffffff,173.0,0.0,0.0
836610fffffffff,1202.0,195.0,0.0
836611fffffffff,82.0,0.0,0.0
836612fffffffff,21.0,0.0,0.0
836613fffffffff,361.0,40.0,0.0
836615fffffffff,21.0,0.0,0.0
836616fffffffff,879.0,113.0,0.0
836618fffffffff,6.0,0.0,0.0
836619fffffffff,145.0,0.0,0.0
83661afffffffff,12.0,0.0,0.0
83661bfffffffff,15.0,0.0,0.0
83661cfffffffff,22.0,0.0,0.0
83661dfffffffff,4.0,0.0,0.0
83661efffffffff,171.0,0.0,0.0
836620fffffffff,1032.0,127.0,0.0
836621fffffffff,197.0,0.0,0.0
836622fffffffff,1119.0,124.0,0.0
836623fffffffff,18.0,0.0,0.0
836625fffffffff,1.0,0.0,0.0
83662bfffffffff,1.0,0.0,0.0
83662cfffffffff,3.0,0.0,0.0
83662dfffffffff,4.0,0.0,0.0
83662efffffffff,16.0,0.0,0.0
836631fffffffff,347.0,3.0,0.0
8366a5fffffffff,4610.0,580.0,0.0
8366c4fffffffff,25.0,0.0,0.0
8366c6fffffffff,6.0,0.0,0.0
8366d2fffffffff,32.0,0.0,0.0
8366e0fffffffff,207.0,6.0,0.0
8366e2fffffffff,38.0,0.0,0.0
8366e4fffffffff,296.0,3.0,0.0
8366e6fffffffff,146.0,0.0,0.0
8366f1fffffffff,1.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0
836743fffffffff,3.0,0.0,0.0
836753fffffffff,89.0,0.0,0.0
836756fffffffff,7.0,1.0,0.0
83675cfffffffff,21.0,0.0,0.0
838f08fffffffff,25.0,0.0,3.0
838f09fffffffff,21.0,0.0,0.0
838f0dfffffffff,718.0,0.0,81.0
838f28fffffffff,113.0,0.0,9.0
838f29fffffffff,42.0,0.0,5.0
838f2afffffffff,268.0,0.0,10.0
838f2bfffffffff,194.0,0.0,7.0
838f2cfffffffff,92.0,0.0,0.0
838f2dfffffffff,3.0,0.0,1.0
838f2efffffffff,162.0,0.0,12.0
838f50fffffffff,61.0,0.0,0.0
838f54fffffffff,91.0,0.0,26.0
838f72fffffffff,45.0,0.0,8.0
838f76fffffffff,1.0,0.0,0.0
