cell_id,Colaptes rivolii,Colaptes rivolii [rivolii Group],Colaptes rivolii atriceps
826607fffffffff,5.0,0.0,0.0
82660ffffffffff,869.0,0.0,0.0
82661ffffffffff,1089.0,10.0,0.0
826627fffffffff,382.0,0.0,0.0
82662ffffffffff,65.0,0.0,0.0
8266c7fffffffff,692.0,0.0,0.0
8266d7fffffffff,2503.0,64.0,0.0
8266dffffffffff,690.0,33.0,0.0
8266e7fffffffff,5346.0,45.0,0.0
8266f7fffffffff,327.0,1.0,0.0
82675ffffffffff,12.0,0.0,0.0
828b27fffffffff,5.0,0.0,0.0
828b2ffffffffff,80.0,0.0,0.0
828b67fffffffff,382.0,0.0,8.0
828b6ffffffffff,133.0,0.0,1.0
828b77fffffffff,2.0,0.0,0.0
828e67fffffffff,126.0,0.0,0.0
828e6ffffffffff,127.0,0.0,0.0
828f0ffffffffff,38.0,4.0,0.0
828f27fffffffff,2.0,0.0,0.0
828f2ffffffffff,178.0,9.0,0.0
828f47fffffffff,45.0,0.0,0.0
828f4ffffffffff,14.0,0.0,0.0
828f57fffffffff,191.0,2.0,0.0
828f5ffffffffff,70.0,7.0,0.0
828f77fffffffff,875.0,38.0,0.0
82b327fffffffff,81.0,0.0,0.0
