cell_id,Lyncornis macrotis,Lyncornis macrotis cerviniceps/bourdilloni,Lyncornis macrotis jacobsoni,Lyncornis macrotis macrotis,Lyncornis macrotis macropterus
843c5a9ffffffff,5.0,0.0,0.0,0.0,0.0
843c5abffffffff,2.0,0.0,0.0,0.0,0.0
843ccc3ffffffff,4.0,0.0,0.0,0.0,0.0
843cd8bffffffff,2.0,0.0,0.0,0.0,0.0
843cebbffffffff,1.0,0.0,0.0,0.0,0.0
84404ddffffffff,2.0,0.0,0.0,0.0,0.0
8460069ffffffff,4.0,0.0,0.0,0.0,0.0
846022dffffffff,10.0,0.0,0.0,0.0,0.0
8460261ffffffff,9.0,0.0,0.0,0.0,0.0
8460267ffffffff,128.0,0.0,0.0,0.0,0.0
8460311ffffffff,103.0,0.0,0.0,0.0,0.0
8460313ffffffff,38.0,0.0,0.0,0.0,0.0
8460319ffffffff,55.0,0.0,0.0,0.0,0.0
846031bffffffff,313.0,0.0,0.0,0.0,0.0
846031dffffffff,1.0,0.0,0.0,0.0,0.0
8460351ffffffff,3.0,0.0,0.0,0.0,0.0
8460353ffffffff,2.0,0.0,0.0,0.0,0.0
846035bffffffff,12.0,0.0,0.0,0.0,0.0
846414dffffffff,2.0,0.0,0.0,0.0,0.0
8464161ffffffff,2.0,0.0,0.0,0.0,0.0
846416dffffffff,61.0,0.0,0.0,0.0,0.0
846422dffffffff,2.0,0.0,0.0,0.0,0.0
8464265ffffffff,1.0,0.0,0.0,0.0,0.0
8464267ffffffff,4.0,0.0,0.0,0.0,0.0
8464319ffffffff,13.0,1.0,0.0,0.0,0.0
846434bffffffff,4.0,0.0,0.0,0.0,0.0
8464359ffffffff,13.0,0.0,0.0,0.0,0.0
846435bffffffff,6.0,0.0,0.0,0.0,0.0
8464821ffffffff,1.0,0.0,0.0,0.0,0.0
8464825ffffffff,3.0,0.0,0.0,0.0,0.0
8464845ffffffff,3.0,0.0,0.0,0.0,0.0
8464911ffffffff,7.0,0.0,0.0,0.0,0.0
8464a03ffffffff,4.0,0.0,0.0,0.0,0.0
8464a07ffffffff,1.0,0.0,0.0,0.0,0.0
8464a15ffffffff,1.0,0.0,0.0,0.0,0.0
8464a3dffffffff,4.0,0.0,0.0,0.0,0.0
8464b03ffffffff,1.0,0.0,0.0,0.0,0.0
8464b55ffffffff,6.0,0.0,0.0,0.0,0.0
8465183ffffffff,1.0,0.0,0.0,0.0,0.0
846518bffffffff,1.0,0.0,0.0,0.0,0.0
84651d9ffffffff,21.0,0.0,0.0,0.0,0.0
8465731ffffffff,13.0,0.0,0.0,0.0,0.0
8465801ffffffff,5.0,0.0,0.0,0.0,0.0
8465803ffffffff,4.0,0.0,0.0,0.0,0.0
8465815ffffffff,2.0,0.0,0.0,0.0,0.0
8465817ffffffff,2.0,0.0,0.0,0.0,0.0
8465819ffffffff,4.0,0.0,0.0,0.0,0.0
8465851ffffffff,16.0,0.0,0.0,0.0,0.0
