cell_id,Turdus torquatus,Turdus torquatus torquatus,Turdus torquatus alpestris,Turdus torquatus amicorum
820127fffffffff,13.0,1.0,0.0,0.0
820137fffffffff,53.0,9.0,0.0,0.0
820807fffffffff,5.0,0.0,0.0,0.0
820817fffffffff,32.0,3.0,0.0,0.0
82081ffffffffff,2.0,0.0,0.0,0.0
82082ffffffffff,1.0,0.0,0.0,0.0
820837fffffffff,6.0,0.0,0.0,0.0
820887fffffffff,10.0,0.0,0.0,0.0
82088ffffffffff,11.0,0.0,0.0,0.0
820897fffffffff,6.0,0.0,0.0,0.0
82089ffffffffff,7.0,0.0,0.0,0.0
8208a7fffffffff,4.0,0.0,0.0,0.0
8208affffffffff,2.0,0.0,0.0,0.0
8208b7fffffffff,2.0,0.0,0.0,0.0
8208d7fffffffff,6.0,0.0,0.0,0.0
8208e7fffffffff,6.0,0.0,0.0,0.0
8208effffffffff,20.0,1.0,0.0,0.0
8208f7fffffffff,3.0,0.0,0.0,0.0
82094ffffffffff,2.0,0.0,0.0,0.0
82095ffffffffff,16.0,2.0,0.0,0.0
820987fffffffff,17.0,2.0,0.0,0.0
82098ffffffffff,45.0,8.0,0.0,0.0
820997fffffffff,2.0,0.0,0.0,0.0
82099ffffffffff,10.0,2.0,0.0,0.0
8209a7fffffffff,31.0,0.0,0.0,0.0
8209affffffffff,25.0,0.0,0.0,0.0
821847fffffffff,30.0,3.0,0.0,0.0
82184ffffffffff,60.0,1.0,2.0,0.0
82185ffffffffff,20.0,0.0,0.0,0.0
82186ffffffffff,2.0,0.0,0.0,0.0
821877fffffffff,59.0,0.0,0.0,0.0
82190ffffffffff,172.0,24.0,0.0,0.0
82192ffffffffff,7.0,0.0,0.0,0.0
821947fffffffff,287.0,54.0,0.0,0.0
82194ffffffffff,191.0,26.0,0.0,0.0
821957fffffffff,50.0,13.0,0.0,0.0
82195ffffffffff,84.0,2.0,0.0,0.0
82196ffffffffff,81.0,0.0,0.0,0.0
821977fffffffff,100.0,3.0,0.0,0.0
821e07fffffffff,47.0,0.0,5.0,0.0
821e0ffffffffff,25.0,0.0,0.0,0.0
821e17fffffffff,97.0,0.0,7.0,0.0
821e1ffffffffff,4.0,0.0,0.0,0.0
821e27fffffffff,51.0,0.0,12.0,0.0
821e37fffffffff,27.0,0.0,0.0,0.0
821e57fffffffff,16.0,0.0,1.0,0.0
821e77fffffffff,1.0,0.0,0.0,0.0
821ea7fffffffff,6.0,0.0,0.0,0.0
821eaffffffffff,7.0,0.0,2.0,0.0
821ec7fffffffff,153.0,0.0,19.0,0.0
821ecffffffffff,6.0,0.0,0.0,0.0
821ed7fffffffff,3.0,0.0,0.0,0.0
821edffffffffff,6.0,0.0,0.0,0.0
821ee7fffffffff,1.0,0.0,0.0,0.0
821eeffffffffff,3.0,0.0,0.0,0.0
821ef7fffffffff,17.0,0.0,0.0,0.0
821f07fffffffff,23.0,4.0,0.0,0.0
821f17fffffffff,19.0,1.0,0.0,0.0
821f1ffffffffff,4.0,2.0,0.0,0.0
821f27fffffffff,21.0,0.0,0.0,0.0
821f2ffffffffff,46.0,37.0,0.0,0.0
821f37fffffffff,113.0,17.0,0.0,0.0
821f77fffffffff,4.0,0.0,0.0,0.0
821f87fffffffff,52.0,0.0,9.0,0.0
821f8ffffffffff,213.0,0.0,18.0,0.0
821f97fffffffff,74.0,0.0,43.0,0.0
821f9ffffffffff,203.0,0.0,34.0,0.0
821fa7fffffffff,22.0,0.0,0.0,0.0
821faffffffffff,14.0,0.0,0.0,0.0
821fb7fffffffff,2.0,0.0,0.0,0.0
822c07fffffffff,107.0,0.0,0.0,44.0
822c0ffffffffff,58.0,0.0,0.0,22.0
822c17fffffffff,4.0,0.0,0.0,0.0
822c1ffffffffff,24.0,0.0,0.0,7.0
822c27fffffffff,113.0,0.0,0.0,12.0
822c2ffffffffff,268.0,0.0,0.0,263.0
822c37fffffffff,35.0,0.0,0.0,0.0
822c8ffffffffff,1.0,0.0,0.0,0.0
822cc7fffffffff,2.0,0.0,0.0,0.0
822ccffffffffff,9.0,0.0,0.0,0.0
822cd7fffffffff,22.0,0.0,0.0,0.0
822ce7fffffffff,5.0,0.0,0.0,0.0
822d07fffffffff,3.0,0.0,0.0,0.0
822d17fffffffff,71.0,0.0,0.0,3.0
822d1ffffffffff,9.0,0.0,0.0,0.0
822d37fffffffff,16.0,0.0,1.0,0.0
822d57fffffffff,4.0,0.0,0.0,2.0
822daffffffffff,3.0,0.0,0.0,0.0
82344ffffffffff,3.0,0.0,0.0,0.0
82346ffffffffff,8.0,0.0,0.0,0.0
823827fffffffff,95.0,1.0,2.0,0.0
823837fffffffff,6.0,0.0,0.0,0.0
823847fffffffff,2.0,0.0,0.0,0.0
823907fffffffff,46.0,1.0,3.0,0.0
82390ffffffffff,105.0,4.0,2.0,0.0
823917fffffffff,289.0,0.0,2.0,0.0
82391ffffffffff,328.0,1.0,4.0,0.0
823927fffffffff,4.0,0.0,0.0,0.0
82392ffffffffff,134.0,7.0,5.0,0.0
823937fffffffff,16.0,0.0,2.0,0.0
823947fffffffff,16.0,0.0,0.0,0.0
823957fffffffff,122.0,1.0,2.0,0.0
823967fffffffff,334.0,5.0,28.0,0.0
82396ffffffffff,17.0,0.0,1.0,0.0
823977fffffffff,427.0,3.0,49.0,0.0
823987fffffffff,28.0,0.0,0.0,0.0
82398ffffffffff,20.0,0.0,0.0,0.0
823f67fffffffff,1.0,0.0,0.0,0.0
823f6ffffffffff,10.0,0.0,0.0,0.0
