cell_id,Leucosticte arctoa,Leucosticte arctoa [arctoa Group],Leucosticte arctoa brunneonucha/gigliolii
82058ffffffffff,3.0,0.0,0.0
821597fffffffff,2.0,0.0,0.0
82159ffffffffff,11.0,0.0,0.0
821617fffffffff,1.0,0.0,0.0
821747fffffffff,2.0,0.0,0.0
821757fffffffff,6.0,0.0,0.0
82175ffffffffff,10.0,0.0,0.0
82204ffffffffff,4.0,0.0,0.0
82206ffffffffff,2.0,0.0,0.0
822407fffffffff,3.0,0.0,0.0
822427fffffffff,31.0,0.0,0.0
82246ffffffffff,2.0,0.0,0.0
822517fffffffff,9.0,0.0,0.0
822537fffffffff,1.0,0.0,0.0
822547fffffffff,2.0,0.0,0.0
82255ffffffffff,10.0,0.0,0.0
8225a7fffffffff,1.0,0.0,0.0
822e17fffffffff,85.0,0.0,0.0
822e1ffffffffff,16.0,0.0,0.0
822e67fffffffff,5.0,0.0,0.0
822e77fffffffff,11.0,0.0,0.0
822eaffffffffff,79.0,0.0,0.0
822ee7fffffffff,1.0,0.0,0.0
822f5ffffffffff,1.0,0.0,0.0
8230effffffffff,7.0,0.0,0.0
82316ffffffffff,1.0,0.0,0.0
