cell_id,Rallus obsoletus,Rallus obsoletus obsoletus,Rallus obsoletus levipes,Rallus obsoletus beldingi,Rallus obsoletus yumanensis
832830fffffffff,127.0,38.0,0.0,0.0,0.0
832834fffffffff,2.0,0.0,0.0,0.0,0.0
832912fffffffff,23.0,0.0,15.0,0.0,0.0
832980fffffffff,4.0,0.0,0.0,0.0,0.0
832986fffffffff,57.0,0.0,0.0,0.0,16.0
8329a1fffffffff,23.0,0.0,0.0,0.0,0.0
8329a4fffffffff,81.0,0.0,15.0,0.0,0.0
8329a5fffffffff,67.0,0.0,8.0,0.0,0.0
8329a6fffffffff,129.0,0.0,0.0,0.0,40.0
8329b0fffffffff,13.0,0.0,0.0,0.0,3.0
8329b1fffffffff,2.0,0.0,0.0,0.0,2.0
8329b5fffffffff,16.0,0.0,0.0,0.0,5.0
83480dfffffffff,1.0,0.0,0.0,0.0,0.0
83482afffffffff,2.0,0.0,0.0,2.0,0.0
83484afffffffff,13.0,0.0,9.0,0.0,0.0
834858fffffffff,2.0,0.0,0.0,0.0,2.0
83485bfffffffff,15.0,0.0,0.0,0.0,10.0
834870fffffffff,1.0,0.0,0.0,0.0,0.0
834873fffffffff,1.0,0.0,0.0,0.0,0.0
8348e9fffffffff,251.0,0.0,0.0,0.0,127.0
8348ebfffffffff,20.0,0.0,0.0,0.0,2.0
8349a2fffffffff,1.0,0.0,0.0,0.0,0.0
8349a8fffffffff,5.0,0.0,0.0,0.0,0.0
