cell_id,Chlidonias niger,Chlidonias niger niger,Chlidonias niger surinamensis
830746fffffffff,5.0,5.0,0.0
83075dfffffffff,2.0,0.0,1.0
830773fffffffff,55.0,6.0,0.0
8308d4fffffffff,2.0,0.0,0.0
830991fffffffff,1.0,0.0,0.0
830999fffffffff,4.0,2.0,0.0
830c64fffffffff,2.0,0.0,0.0
830e4dfffffffff,4.0,0.0,0.0
830e5bfffffffff,3.0,0.0,0.0
830e80fffffffff,13.0,0.0,0.0
830ec1fffffffff,4.0,0.0,0.0
830ec9fffffffff,8.0,0.0,0.0
830ecbfffffffff,1.0,0.0,0.0
830eccfffffffff,27.0,0.0,0.0
830ee8fffffffff,1.0,0.0,0.0
830eeafffffffff,97.0,0.0,1.0
830eebfffffffff,8.0,0.0,0.0
830ef3fffffffff,1.0,0.0,0.0
83118cfffffffff,5.0,4.0,0.0
8311aefffffffff,4.0,0.0,0.0
831218fffffffff,5.0,0.0,0.0
83121afffffffff,2.0,0.0,0.0
83121efffffffff,2.0,0.0,0.0
831251fffffffff,4.0,0.0,4.0
831253fffffffff,3.0,0.0,2.0
831259fffffffff,3.0,0.0,3.0
83125dfffffffff,1.0,0.0,0.0
831288fffffffff,3.0,0.0,3.0
83128efffffffff,1.0,0.0,1.0
8312abfffffffff,3.0,0.0,0.0
8312c1fffffffff,1.0,0.0,1.0
8312c3fffffffff,3.0,0.0,0.0
8312c4fffffffff,3.0,0.0,0.0
8312cafffffffff,3.0,0.0,0.0
8312cbfffffffff,22.0,0.0,0.0
8312ccfffffffff,4.0,0.0,0.0
8312cefffffffff,5.0,0.0,0.0
8312d0fffffffff,21.0,0.0,0.0
8312d1fffffffff,11.0,0.0,0.0
8312d3fffffffff,6.0,0.0,0.0
8312d9fffffffff,2.0,0.0,0.0
8312dafffffffff,2.0,0.0,0.0
8312ddfffffffff,42.0,0.0,0.0
8312defffffffff,17.0,0.0,0.0
8312eafffffffff,5.0,0.0,0.0
8312ebfffffffff,2.0,0.0,2.0
8312ecfffffffff,3.0,0.0,3.0
831382fffffffff,4.0,0.0,0.0
83138cfffffffff,4.0,0.0,2.0
831391fffffffff,2.0,0.0,0.0
831801fffffffff,4.0,4.0,0.0
831805fffffffff,48.0,42.0,0.0
831828fffffffff,3.0,1.0,0.0
83182afffffffff,1.0,0.0,0.0
83182cfffffffff,24.0,24.0,0.0
83182efffffffff,12.0,0.0,12.0
831849fffffffff,18.0,3.0,0.0
