cell_id,Tangara arthus,Tangara arthus arthus,Tangara arthus [aurulenta Group],Tangara arthus [pulchra Group]
846601bffffffff,64.0,0.0,4.0,0.0
8466081ffffffff,5.0,0.0,0.0,0.0
8466083ffffffff,1.0,0.0,0.0,0.0
8466085ffffffff,19.0,0.0,0.0,0.0
8466087ffffffff,50.0,0.0,0.0,0.0
8466089ffffffff,163.0,0.0,2.0,0.0
846608dffffffff,557.0,0.0,9.0,0.0
8466097ffffffff,2.0,0.0,0.0,0.0
84660a7ffffffff,11.0,0.0,0.0,0.0
84660b3ffffffff,12.0,0.0,0.0,0.0
84660b5ffffffff,1.0,0.0,0.0,0.0
84660b9ffffffff,66.0,0.0,0.0,0.0
84660bbffffffff,27.0,0.0,0.0,0.0
84660bdffffffff,117.0,0.0,0.0,0.0
84660c7ffffffff,5.0,0.0,0.0,0.0
84660cbffffffff,1.0,0.0,0.0,0.0
84660cdffffffff,1.0,0.0,0.0,0.0
84660ddffffffff,6.0,0.0,0.0,0.0
8466181ffffffff,22.0,0.0,1.0,0.0
8466183ffffffff,805.0,0.0,11.0,0.0
8466185ffffffff,8.0,0.0,0.0,0.0
8466187ffffffff,7.0,0.0,0.0,0.0
8466189ffffffff,11.0,0.0,0.0,0.0
846618bffffffff,54.0,0.0,1.0,0.0
846618dffffffff,16.0,0.0,0.0,0.0
8466191ffffffff,13.0,0.0,0.0,0.0
8466193ffffffff,199.0,0.0,0.0,0.0
8466195ffffffff,97.0,0.0,0.0,0.0
8466197ffffffff,392.0,0.0,0.0,0.0
8466199ffffffff,30.0,0.0,0.0,0.0
846619dffffffff,202.0,0.0,0.0,0.0
84661adffffffff,2.0,0.0,0.0,0.0
84661b1ffffffff,1875.0,0.0,199.0,0.0
84661b3ffffffff,476.0,0.0,5.0,0.0
84661b7ffffffff,34.0,0.0,0.0,0.0
84661b9ffffffff,1606.0,0.0,9.0,0.0
84661bbffffffff,1714.0,0.0,27.0,0.0
84661bdffffffff,24.0,0.0,0.0,0.0
84661c3ffffffff,14.0,0.0,0.0,0.0
84661d1ffffffff,975.0,0.0,5.0,0.0
84661d5ffffffff,75.0,0.0,0.0,0.0
84661d7ffffffff,6.0,0.0,0.0,0.0
84661ddffffffff,21.0,0.0,0.0,0.0
8466213ffffffff,6.0,0.0,0.0,0.0
8466291ffffffff,2.0,1.0,0.0,0.0
8466299ffffffff,4.0,0.0,0.0,0.0
846629dffffffff,28.0,6.0,0.0,0.0
846656dffffffff,1.0,0.0,0.0,0.0
8466c0dffffffff,366.0,0.0,0.0,0.0
8466c21ffffffff,173.0,0.0,0.0,0.0
8466c25ffffffff,2.0,0.0,0.0,0.0
8466c27ffffffff,2.0,0.0,0.0,0.0
8466c29ffffffff,60.0,0.0,0.0,0.0
8466c2dffffffff,119.0,0.0,0.0,0.0
8466c45ffffffff,23.0,0.0,0.0,0.0
8466c47ffffffff,72.0,0.0,0.0,0.0
8466c4bffffffff,1.0,0.0,0.0,0.0
8466c4dffffffff,43.0,0.0,0.0,0.0
8466c61ffffffff,26.0,0.0,0.0,0.0
8466c63ffffffff,376.0,0.0,0.0,0.0
8466c65ffffffff,19.0,0.0,0.0,0.0
8466c67ffffffff,63.0,0.0,0.0,0.0
8466c69ffffffff,25.0,0.0,0.0,0.0
8466c6bffffffff,55.0,0.0,0.0,0.0
8466c6dffffffff,512.0,0.0,4.0,0.0
8466d01ffffffff,1.0,0.0,0.0,0.0
8466d03ffffffff,151.0,0.0,0.0,0.0
8466d07ffffffff,1.0,0.0,0.0,0.0
8466d0bffffffff,533.0,0.0,49.0,0.0
8466d11ffffffff,4.0,0.0,0.0,0.0
8466d19ffffffff,1.0,0.0,0.0,0.0
8466d1bffffffff,34.0,0.0,0.0,0.0
8466d1dffffffff,16.0,0.0,0.0,0.0
8466d31ffffffff,12013.0,0.0,883.0,0.0
8466d33ffffffff,3.0,0.0,0.0,0.0
8466d35ffffffff,1488.0,0.0,133.0,0.0
8466d37ffffffff,310.0,0.0,15.0,0.0
8466d39ffffffff,82.0,0.0,0.0,0.0
8466d3bffffffff,2.0,0.0,0.0,0.0
8466d3dffffffff,77.0,0.0,4.0,0.0
8466d51ffffffff,9.0,0.0,0.0,0.0
8466d53ffffffff,6.0,0.0,0.0,0.0
8466da1ffffffff,2.0,0.0,0.0,0.0
