cell_id,Motacilla citreola,Motacilla citreola citreola/werae,Motacilla citreola calcarata
83089afffffffff,35.0,0.0,0.0
83089bfffffffff,3.0,0.0,0.0
830a33fffffffff,2.0,0.0,0.0
830b93fffffffff,4.0,0.0,0.0
830bb0fffffffff,1.0,0.0,0.0
830bb1fffffffff,2.0,0.0,0.0
831016fffffffff,4.0,0.0,0.0
8310a1fffffffff,10.0,0.0,0.0
8310c2fffffffff,29.0,0.0,0.0
8310c3fffffffff,5.0,0.0,0.0
8310c6fffffffff,2.0,0.0,0.0
8310d2fffffffff,1.0,0.0,0.0
8310dcfffffffff,59.0,0.0,0.0
8310f0fffffffff,1.0,0.0,0.0
8310f2fffffffff,1.0,0.0,0.0
831106fffffffff,39.0,0.0,0.0
831135fffffffff,2.0,0.0,0.0
831136fffffffff,3.0,0.0,0.0
831181fffffffff,14.0,1.0,0.0
831185fffffffff,9.0,0.0,0.0
83118afffffffff,27.0,0.0,0.0
83118cfffffffff,100.0,2.0,0.0
83118efffffffff,37.0,1.0,0.0
8311aafffffffff,61.0,5.0,0.0
8311abfffffffff,13.0,3.0,0.0
8311aefffffffff,148.0,37.0,0.0
83158afffffffff,2.0,0.0,0.0
831590fffffffff,16.0,0.0,0.0
831591fffffffff,2.0,0.0,0.0
831592fffffffff,40.0,5.0,0.0
831593fffffffff,2.0,0.0,0.0
831598fffffffff,11.0,0.0,0.0
831599fffffffff,2.0,0.0,0.0
83159efffffffff,2.0,0.0,0.0
8315b3fffffffff,28.0,0.0,0.0
8315b6fffffffff,3.0,0.0,0.0
831e29fffffffff,4.0,0.0,0.0
831e43fffffffff,3.0,0.0,0.0
831e4afffffffff,6.0,0.0,0.0
831e4bfffffffff,3.0,0.0,0.0
831e4cfffffffff,2.0,0.0,0.0
831e58fffffffff,2.0,0.0,0.0
831e5afffffffff,5.0,0.0,0.0
831e5dfffffffff,3.0,0.0,0.0
831e64fffffffff,3.0,0.0,0.0
831e69fffffffff,8.0,0.0,0.0
831e6afffffffff,2.0,0.0,0.0
831e6bfffffffff,6.0,0.0,0.0
831e6dfffffffff,2.0,0.0,0.0
831e6efffffffff,3.0,0.0,0.0
831e74fffffffff,1.0,0.0,0.0
831ec2fffffffff,3.0,0.0,0.0
831ec8fffffffff,2.0,0.0,0.0
831ec9fffffffff,26.0,0.0,0.0
831ecafffffffff,5.0,0.0,0.0
831eccfffffffff,1.0,0.0,0.0
831ecefffffffff,7.0,0.0,0.0
831ed9fffffffff,23.0,0.0,0.0
831edafffffffff,2.0,0.0,0.0
831ee9fffffffff,4.0,0.0,0.0
831eebfffffffff,12.0,1.0,0.0
831f0dfffffffff,4.0,0.0,0.0
831f40fffffffff,3.0,0.0,0.0
831f41fffffffff,2.0,0.0,0.0
831f42fffffffff,4.0,0.0,0.0
831f48fffffffff,3.0,0.0,0.0
831f4cfffffffff,4.0,0.0,0.0
831f4efffffffff,24.0,0.0,0.0
831f51fffffffff,37.0,0.0,0.0
831f58fffffffff,17.0,0.0,0.0
831f59fffffffff,11.0,0.0,0.0
831f5afffffffff,4.0,0.0,0.0
831f5cfffffffff,36.0,0.0,0.0
831f5dfffffffff,5.0,0.0,0.0
831f5efffffffff,3.0,0.0,0.0
831f65fffffffff,9.0,0.0,0.0
831f6afffffffff,3.0,0.0,0.0
831f71fffffffff,25.0,0.0,0.0
831f72fffffffff,24.0,0.0,0.0
831f75fffffffff,1.0,0.0,0.0
83200afffffffff,6.0,0.0,2.0
83200efffffffff,8.0,5.0,0.0
832012fffffffff,4.0,0.0,1.0
832016fffffffff,2.0,0.0,1.0
832018fffffffff,5.0,3.0,2.0
832019fffffffff,6.0,1.0,2.0
83201afffffffff,15.0,0.0,0.0
83201bfffffffff,4.0,3.0,0.0
83201dfffffffff,12.0,6.0,4.0
832033fffffffff,4.0,0.0,0.0
832036fffffffff,2.0,0.0,0.0
832048fffffffff,2.0,0.0,0.0
832049fffffffff,9.0,0.0,0.0
83204afffffffff,5.0,1.0,0.0
83204bfffffffff,13.0,0.0,0.0
83204dfffffffff,3.0,0.0,0.0
832059fffffffff,7.0,0.0,0.0
83205bfffffffff,6.0,0.0,0.0
83206afffffffff,1.0,0.0,0.0
832080fffffffff,6.0,0.0,0.0
832083fffffffff,8.0,0.0,0.0
832085fffffffff,2.0,0.0,0.0
832088fffffffff,8.0,0.0,1.0
83208afffffffff,2.0,0.0,0.0
83208cfffffffff,2.0,0.0,0.0
83208dfffffffff,1.0,0.0,0.0
83208efffffffff,9.0,0.0,2.0
832098fffffffff,6.0,0.0,0.0
832099fffffffff,12.0,0.0,1.0
83209afffffffff,3.0,0.0,0.0
83209bfffffffff,38.0,0.0,0.0
83209cfffffffff,7.0,0.0,0.0
8320a2fffffffff,3.0,0.0,0.0
8320a6fffffffff,3.0,0.0,3.0
8320adfffffffff,1.0,1.0,0.0
8320b1fffffffff,10.0,0.0,2.0
8320c4fffffffff,4.0,0.0,0.0
8320c9fffffffff,2.0,0.0,0.0
8320e1fffffffff,11.0,5.0,0.0
8320e2fffffffff,22.0,10.0,3.0
8320e3fffffffff,17.0,5.0,5.0
8320e6fffffffff,2.0,0.0,0.0
8320e8fffffffff,2.0,0.0,0.0
8320ebfffffffff,1.0,0.0,0.0
8320f0fffffffff,4.0,0.0,2.0
8320f4fffffffff,14.0,0.0,2.0
8320f5fffffffff,15.0,0.0,1.0
8320f6fffffffff,6.0,0.0,2.0
832111fffffffff,2.0,0.0,0.0
832123fffffffff,5.0,0.0,0.0
832125fffffffff,1.0,0.0,0.0
832148fffffffff,1.0,0.0,0.0
83214afffffffff,6.0,0.0,0.0
832150fffffffff,9.0,0.0,0.0
832152fffffffff,23.0,10.0,0.0
832153fffffffff,17.0,7.0,0.0
832171fffffffff,1.0,0.0,0.0
83218afffffffff,1.0,0.0,0.0
832198fffffffff,31.0,0.0,14.0
83219cfffffffff,10.0,0.0,8.0
83219dfffffffff,5.0,2.0,2.0
832400fffffffff,5.0,1.0,0.0
832403fffffffff,5.0,0.0,0.0
832404fffffffff,14.0,0.0,0.0
832405fffffffff,15.0,0.0,0.0
832406fffffffff,5.0,0.0,0.0
832409fffffffff,2.0,0.0,0.0
83240afffffffff,16.0,1.0,0.0
83240efffffffff,1.0,0.0,0.0
83241dfffffffff,4.0,0.0,0.0
832420fffffffff,5.0,0.0,0.0
832421fffffffff,2.0,0.0,0.0
832426fffffffff,46.0,0.0,0.0
832428fffffffff,1.0,0.0,0.0
832429fffffffff,1.0,0.0,0.0
83242afffffffff,2.0,0.0,0.0
83242bfffffffff,3.0,0.0,0.0
83242cfffffffff,22.0,0.0,0.0
83242dfffffffff,29.0,2.0,4.0
83242efffffffff,14.0,1.0,0.0
832431fffffffff,21.0,0.0,0.0
832434fffffffff,1.0,0.0,0.0
832435fffffffff,1.0,0.0,0.0
832436fffffffff,2.0,0.0,0.0
832442fffffffff,2.0,0.0,0.0
832446fffffffff,15.0,0.0,0.0
83244bfffffffff,9.0,0.0,0.0
83244cfffffffff,11.0,0.0,0.0
832450fffffffff,9.0,0.0,0.0
832451fffffffff,17.0,0.0,0.0
832452fffffffff,128.0,10.0,7.0
832456fffffffff,20.0,6.0,0.0
832460fffffffff,84.0,0.0,0.0
832461fffffffff,1.0,0.0,0.0
832462fffffffff,10.0,0.0,0.0
832463fffffffff,7.0,0.0,0.0
832464fffffffff,1.0,0.0,0.0
832466fffffffff,12.0,3.0,0.0
83246afffffffff,1.0,0.0,0.0
83246cfffffffff,8.0,0.0,0.0
83246dfffffffff,8.0,0.0,0.0
832470fffffffff,3.0,0.0,0.0
832475fffffffff,42.0,9.0,0.0
832476fffffffff,6.0,0.0,0.0
832483fffffffff,15.0,0.0,0.0
832488fffffffff,15.0,0.0,0.0
83248afffffffff,27.0,0.0,0.0
83248bfffffffff,13.0,0.0,0.0
83248efffffffff,5.0,0.0,0.0
832494fffffffff,5.0,0.0,0.0
83249dfffffffff,16.0,0.0,0.0
8324d2fffffffff,2.0,0.0,0.0
8324d6fffffffff,2.0,0.0,0.0
8324e5fffffffff,31.0,3.0,3.0
83250dfffffffff,1.0,0.0,0.0
832510fffffffff,12.0,0.0,0.0
832511fffffffff,4.0,0.0,0.0
832512fffffffff,25.0,2.0,0.0
832513fffffffff,27.0,0.0,0.0
832514fffffffff,3.0,0.0,0.0
832515fffffffff,4.0,0.0,0.0
832516fffffffff,10.0,0.0,0.0
83251afffffffff,4.0,0.0,0.0
83251bfffffffff,5.0,0.0,0.0
832540fffffffff,69.0,0.0,0.0
832546fffffffff,11.0,2.0,0.0
83255afffffffff,54.0,0.0,0.0
83255bfffffffff,22.0,1.0,0.0
83256efffffffff,2.0,0.0,0.0
832571fffffffff,12.0,2.0,0.0
832573fffffffff,8.0,0.0,0.0
832592fffffffff,2.0,0.0,0.0
