cell_id,Aerodramus fuciphagus,Aerodramus fuciphagus germani/amechanus,Aerodramus fuciphagus [fuciphagus Group]
8441421ffffffff,1.0,1.0,0.0
8441425ffffffff,2.0,2.0,0.0
844142bffffffff,3.0,3.0,0.0
8441431ffffffff,2.0,2.0,0.0
84414d3ffffffff,3.0,3.0,0.0
84414d9ffffffff,9.0,9.0,0.0
84414dbffffffff,6.0,6.0,0.0
844159dffffffff,2.0,2.0,0.0
84415cbffffffff,4.0,4.0,0.0
8441609ffffffff,4.0,4.0,0.0
844160bffffffff,11.0,11.0,0.0
8441615ffffffff,3.0,3.0,0.0
8441643ffffffff,76.0,76.0,0.0
844164bffffffff,1.0,1.0,0.0
8441655ffffffff,7.0,7.0,0.0
844165dffffffff,1.0,1.0,0.0
8441681ffffffff,2.0,2.0,0.0
8441687ffffffff,1.0,1.0,0.0
844168bffffffff,4.0,4.0,0.0
844169bffffffff,5.0,5.0,0.0
844169dffffffff,1.0,1.0,0.0
84416b1ffffffff,2.0,2.0,0.0
84416b7ffffffff,10.0,10.0,0.0
84416b9ffffffff,3.0,3.0,0.0
84416c3ffffffff,5.0,5.0,0.0
84416cbffffffff,3.0,3.0,0.0
84416d1ffffffff,2.0,2.0,0.0
84416d3ffffffff,2.0,2.0,0.0
84416d7ffffffff,2.0,2.0,0.0
84416d9ffffffff,3.0,3.0,0.0
84416dbffffffff,12.0,12.0,0.0
84416ddffffffff,4.0,4.0,0.0
84416e1ffffffff,6.0,6.0,0.0
84416e5ffffffff,2.0,2.0,0.0
84416edffffffff,3.0,3.0,0.0
8441719ffffffff,6.0,6.0,0.0
8441721ffffffff,2.0,2.0,0.0
8441739ffffffff,7.0,7.0,0.0
8441751ffffffff,1.0,1.0,0.0
8441755ffffffff,1.0,1.0,0.0
84640a7ffffffff,8.0,0.0,8.0
84640b9ffffffff,42.0,0.0,41.0
84640bdffffffff,11.0,0.0,11.0
8464125ffffffff,2.0,2.0,0.0
8464127ffffffff,7.0,7.0,0.0
846414dffffffff,2.0,2.0,0.0
8464161ffffffff,2.0,2.0,0.0
8464165ffffffff,50.0,50.0,0.0
846416dffffffff,716.0,716.0,0.0
84641bdffffffff,6.0,0.0,6.0
8464225ffffffff,63.0,63.0,0.0
8464227ffffffff,1.0,1.0,0.0
846422dffffffff,65.0,65.0,0.0
8464261ffffffff,12.0,12.0,0.0
8464265ffffffff,21.0,21.0,0.0
8464267ffffffff,54.0,54.0,0.0
846426dffffffff,27.0,27.0,0.0
846428bffffffff,71.0,0.0,71.0
846429dffffffff,32.0,0.0,32.0
84642b1ffffffff,3.0,0.0,3.0
84642d7ffffffff,3.0,0.0,3.0
8464303ffffffff,4.0,4.0,0.0
8464307ffffffff,6.0,6.0,0.0
8464309ffffffff,9.0,9.0,0.0
846430bffffffff,21.0,21.0,0.0
8464313ffffffff,6.0,6.0,0.0
8464315ffffffff,4.0,4.0,0.0
8464319ffffffff,408.0,408.0,0.0
846431dffffffff,65.0,65.0,0.0
8464323ffffffff,482.0,482.0,0.0
8464327ffffffff,53.0,53.0,0.0
846432bffffffff,198.0,198.0,0.0
8464331ffffffff,1.0,1.0,0.0
8464339ffffffff,15.0,15.0,0.0
846433dffffffff,42.0,42.0,0.0
8464341ffffffff,8.0,8.0,0.0
8464343ffffffff,233.0,233.0,0.0
8464347ffffffff,42.0,42.0,0.0
8464349ffffffff,51.0,51.0,0.0
846434bffffffff,66.0,66.0,0.0
8464351ffffffff,2.0,2.0,0.0
8464353ffffffff,108.0,108.0,0.0
8464355ffffffff,8.0,8.0,0.0
8464357ffffffff,38.0,38.0,0.0
8464359ffffffff,169.0,169.0,0.0
846435bffffffff,138.0,138.0,0.0
846435dffffffff,2.0,2.0,0.0
8464363ffffffff,7.0,7.0,0.0
846436bffffffff,9.0,9.0,0.0
846480dffffffff,2.0,2.0,0.0
8464811ffffffff,2.0,2.0,0.0
8464821ffffffff,3.0,3.0,0.0
8464825ffffffff,14.0,14.0,0.0
8464827ffffffff,1.0,1.0,0.0
8464829ffffffff,78.0,78.0,0.0
846482bffffffff,10.0,10.0,0.0
846482dffffffff,15.0,15.0,0.0
8464839ffffffff,6.0,6.0,0.0
8464841ffffffff,9.0,9.0,0.0
8464843ffffffff,4.0,4.0,0.0
8464845ffffffff,1.0,1.0,0.0
8464849ffffffff,5.0,5.0,0.0
846484bffffffff,2.0,2.0,0.0
846484dffffffff,16.0,16.0,0.0
8464855ffffffff,2.0,2.0,0.0
846485dffffffff,2.0,2.0,0.0
84648c1ffffffff,9.0,9.0,0.0
84648c9ffffffff,21.0,21.0,0.0
84648d3ffffffff,2.0,2.0,0.0
