cell_id,Empidonax difficilis,Empidonax difficilis [difficilis Group],Empidonax difficilis occidentalis/hellmayri,Empidonax difficilis difficilis x hellmayri
830c69fffffffff,2.0,2.0,0.0,0.0
830d03fffffffff,3.0,1.0,0.0,0.0
830d4dfffffffff,4.0,4.0,0.0,0.0
831280fffffffff,2.0,2.0,0.0,0.0
83128bfffffffff,9.0,9.0,0.0,0.0
83128dfffffffff,3.0,3.0,0.0,0.0
8312b0fffffffff,9.0,9.0,0.0,0.0
8312b1fffffffff,2.0,2.0,0.0,0.0
8312b4fffffffff,2.0,2.0,0.0,0.0
8312c1fffffffff,4.0,2.0,2.0,0.0
8312cafffffffff,19.0,6.0,2.0,0.0
8312cbfffffffff,4.0,0.0,3.0,0.0
8312ccfffffffff,22.0,19.0,0.0,0.0
8312d1fffffffff,4.0,4.0,0.0,0.0
8312d3fffffffff,1.0,1.0,0.0,0.0
8312d4fffffffff,3.0,3.0,0.0,0.0
8312d8fffffffff,2.0,2.0,0.0,0.0
8312d9fffffffff,2.0,0.0,2.0,0.0
8312dbfffffffff,8.0,5.0,0.0,0.0
8312ddfffffffff,6.0,6.0,0.0,0.0
8312eafffffffff,2.0,2.0,0.0,0.0
8312ecfffffffff,2.0,0.0,0.0,0.0
8312f1fffffffff,1.0,0.0,0.0,0.0
831382fffffffff,2.0,2.0,0.0,0.0
831383fffffffff,7.0,5.0,0.0,0.0
831386fffffffff,16.0,16.0,0.0,0.0
832612fffffffff,8.0,0.0,8.0,0.0
832636fffffffff,1.0,0.0,0.0,0.0
83264efffffffff,1.0,1.0,0.0,0.0
832680fffffffff,7.0,0.0,7.0,0.0
832681fffffffff,86.0,0.0,86.0,0.0
832683fffffffff,4.0,0.0,4.0,0.0
832685fffffffff,10.0,0.0,10.0,0.0
832688fffffffff,97.0,0.0,85.0,0.0
832689fffffffff,2.0,0.0,0.0,0.0
83268afffffffff,8.0,0.0,8.0,0.0
83268bfffffffff,2.0,0.0,2.0,0.0
83268cfffffffff,64.0,0.0,62.0,0.0
83268dfffffffff,37.0,0.0,37.0,0.0
83268efffffffff,9.0,0.0,9.0,0.0
832690fffffffff,2.0,0.0,2.0,0.0
832691fffffffff,2.0,0.0,2.0,0.0
832692fffffffff,2.0,0.0,2.0,0.0
832696fffffffff,101.0,0.0,83.0,0.0
832698fffffffff,23.0,0.0,17.0,0.0
832699fffffffff,5.0,0.0,5.0,0.0
83269afffffffff,4.0,0.0,4.0,0.0
83269bfffffffff,2.0,0.0,2.0,0.0
83269cfffffffff,38.0,0.0,38.0,0.0
83269dfffffffff,17.0,0.0,12.0,0.0
83269efffffffff,5.0,0.0,4.0,0.0
8326a1fffffffff,9.0,0.0,9.0,0.0
8326a2fffffffff,2.0,0.0,2.0,0.0
8326a4fffffffff,2.0,0.0,2.0,0.0
8326a5fffffffff,2.0,0.0,2.0,0.0
8326a8fffffffff,25.0,0.0,25.0,0.0
8326a9fffffffff,14.0,0.0,14.0,0.0
8326aafffffffff,18.0,0.0,16.0,0.0
8326abfffffffff,22.0,0.0,19.0,0.0
8326acfffffffff,3.0,0.0,2.0,0.0
8326aefffffffff,19.0,0.0,17.0,0.0
8326b3fffffffff,4.0,0.0,4.0,0.0
8326b4fffffffff,2.0,0.0,2.0,0.0
