cell_id,Turdus plumbeus,Turdus plumbeus plumbeus,Turdus plumbeus [rubripes Group],Turdus plumbeus ardosiaceus/albiventris
844416bffffffff,181.0,0.0,85.0,0.0
8444305ffffffff,6.0,0.0,6.0,0.0
844430dffffffff,6.0,0.0,5.0,0.0
8444325ffffffff,5.0,0.0,0.0,0.0
844480dffffffff,1.0,0.0,0.0,0.0
8444843ffffffff,6.0,2.0,0.0,0.0
8444847ffffffff,31.0,0.0,0.0,0.0
844484bffffffff,60.0,1.0,0.0,0.0
8444869ffffffff,2.0,0.0,0.0,0.0
844486bffffffff,1.0,0.0,0.0,0.0
8444a11ffffffff,36.0,4.0,0.0,0.0
8444a37ffffffff,31.0,24.0,0.0,0.0
8444ae9ffffffff,12.0,2.0,0.0,0.0
8445833ffffffff,2.0,0.0,0.0,0.0
8445847ffffffff,2.0,0.0,0.0,0.0
8445889ffffffff,2.0,0.0,2.0,0.0
84458e1ffffffff,4.0,0.0,0.0,0.0
8445981ffffffff,2.0,0.0,2.0,0.0
84459e9ffffffff,2.0,0.0,0.0,0.0
844c9adffffffff,1.0,0.0,0.0,0.0
844cc51ffffffff,4.0,0.0,0.0,0.0
844cc55ffffffff,3.0,0.0,0.0,2.0
844cd29ffffffff,2.0,0.0,0.0,0.0
844cd43ffffffff,5.0,0.0,0.0,0.0
844cea9ffffffff,2.0,0.0,0.0,2.0
844cee3ffffffff,1.0,0.0,0.0,1.0
844cee7ffffffff,2.0,0.0,0.0,2.0
844cf27ffffffff,6.0,0.0,0.0,0.0
846725bffffffff,7.0,0.0,0.0,0.0
8467267ffffffff,1.0,0.0,0.0,0.0
