cell_id,Apalis nigriceps,Apalis nigriceps nigriceps,Apalis nigriceps collaris
825887fffffffff,1.0,0.0,0.0
8258d7fffffffff,1.0,0.0,0.0
826ac7fffffffff,5.0,0.0,0.0
826acffffffffff,4.0,0.0,0.0
826adffffffffff,8.0,0.0,0.0
826aeffffffffff,17.0,0.0,0.0
82750ffffffffff,121.0,4.0,0.0
82751ffffffffff,2.0,0.0,0.0
827527fffffffff,4.0,0.0,0.0
82752ffffffffff,191.0,19.0,0.0
827587fffffffff,1.0,0.0,0.0
8275a7fffffffff,4.0,0.0,0.0
8275affffffffff,3.0,0.0,0.0
8275b7fffffffff,1.0,0.0,0.0
828287fffffffff,7.0,0.0,0.0
82828ffffffffff,2.0,0.0,0.0
8282a7fffffffff,2.0,0.0,0.0
8282affffffffff,1.0,0.0,0.0
8282d7fffffffff,34.0,10.0,0.0
