cell_id,Locustella montis,Locustella montis montis,Locustella montis timorensis
848d81bffffffff,3.0,2.0,0.0
848d84bffffffff,8.0,3.0,0.0
848d855ffffffff,11.0,6.0,0.0
848d85dffffffff,7.0,5.0,0.0
848d889ffffffff,3.0,2.0,0.0
848d8c1ffffffff,3.0,3.0,0.0
848d8c3ffffffff,2.0,1.0,0.0
848d8c7ffffffff,1.0,1.0,0.0
848d8cbffffffff,1.0,0.0,0.0
848da25ffffffff,86.0,54.0,0.0
848db53ffffffff,1.0,0.0,0.0
848db59ffffffff,58.0,26.0,0.0
8494219ffffffff,1.0,0.0,1.0
849421bffffffff,29.0,0.0,23.0
84942c5ffffffff,4.0,0.0,4.0
84942c7ffffffff,2.0,0.0,2.0
8495a49ffffffff,20.0,20.0,0.0
8495a4dffffffff,1.0,0.0,0.0
