cell_id,Schiffornis turdina,Schiffornis turdina amazonum,Schiffornis turdina [turdina Group]
826647fffffffff,110.0,23.0,0.0
82664ffffffffff,4.0,0.0,0.0
82665ffffffffff,133.0,25.0,0.0
82666ffffffffff,23.0,0.0,0.0
8266c7fffffffff,29.0,9.0,0.0
8266cffffffffff,8.0,5.0,0.0
8266dffffffffff,40.0,9.0,0.0
8266e7fffffffff,5.0,5.0,0.0
8266effffffffff,17.0,2.0,0.0
828047fffffffff,55.0,1.0,18.0
828067fffffffff,7.0,0.0,3.0
828077fffffffff,17.0,1.0,0.0
828117fffffffff,6.0,0.0,2.0
828137fffffffff,110.0,0.0,39.0
828147fffffffff,26.0,0.0,0.0
82814ffffffffff,81.0,5.0,30.0
82815ffffffffff,59.0,0.0,26.0
828167fffffffff,30.0,0.0,0.0
828187fffffffff,200.0,0.0,92.0
828a07fffffffff,78.0,25.0,12.0
828a17fffffffff,90.0,9.0,1.0
828a1ffffffffff,11.0,3.0,0.0
828a27fffffffff,11.0,1.0,0.0
828a2ffffffffff,3.0,2.0,0.0
828a37fffffffff,25.0,4.0,2.0
828a47fffffffff,58.0,2.0,0.0
828a4ffffffffff,3.0,0.0,0.0
828a5ffffffffff,2.0,0.0,0.0
828a6ffffffffff,39.0,0.0,0.0
828a87fffffffff,36.0,5.0,1.0
828a97fffffffff,4.0,0.0,0.0
828a9ffffffffff,4.0,1.0,0.0
828aa7fffffffff,1.0,0.0,0.0
828aaffffffffff,66.0,0.0,0.0
828ab7fffffffff,1.0,0.0,1.0
828ae7fffffffff,1.0,0.0,0.0
828af7fffffffff,46.0,27.0,0.0
828b0ffffffffff,20.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0
828b27fffffffff,14.0,0.0,6.0
828b2ffffffffff,14.0,0.0,0.0
828b47fffffffff,124.0,16.0,0.0
828b57fffffffff,7.0,0.0,0.0
828b67fffffffff,35.0,0.0,0.0
828b6ffffffffff,12.0,0.0,0.0
828b77fffffffff,73.0,0.0,1.0
828b87fffffffff,23.0,3.0,0.0
828b8ffffffffff,15.0,4.0,0.0
828b9ffffffffff,490.0,95.0,5.0
828baffffffffff,5.0,0.0,0.0
828e67fffffffff,2.0,0.0,0.0
828f47fffffffff,4.0,2.0,0.0
828f4ffffffffff,19.0,4.0,0.0
828f67fffffffff,110.0,0.0,0.0
828f6ffffffffff,7.0,3.0,0.0
828f77fffffffff,3.0,0.0,0.0
82a597fffffffff,261.0,0.0,90.0
82a85ffffffffff,3.0,0.0,0.0
82a887fffffffff,12.0,0.0,9.0
82a897fffffffff,175.0,0.0,60.0
82a89ffffffffff,1.0,0.0,0.0
82a8a7fffffffff,103.0,0.0,44.0
82a8b7fffffffff,8.0,0.0,2.0
82a8cffffffffff,16.0,0.0,0.0
82b327fffffffff,10.0,0.0,0.0
