cell_id,Fregata ariel,Fregata ariel ariel/iredalei,Fregata ariel trinitatis
832802fffffffff,2.0,0.0,0.0
832e13fffffffff,2.0,0.0,0.0
832f5afffffffff,1.0,0.0,0.0
83309bfffffffff,4.0,0.0,0.0
8330e2fffffffff,2.0,0.0,0.0
833185fffffffff,2.0,0.0,0.0
83411cfffffffff,10.0,0.0,0.0
83416cfffffffff,2.0,0.0,0.0
8341a4fffffffff,5.0,0.0,0.0
8341a5fffffffff,2.0,0.0,0.0
8342dcfffffffff,2.0,0.0,0.0
834608fffffffff,1.0,0.0,0.0
834633fffffffff,1.0,0.0,0.0
834654fffffffff,2.0,0.0,0.0
83490bfffffffff,2.0,0.0,0.0
834b56fffffffff,2.0,0.0,0.0
834ba8fffffffff,2.0,0.0,0.0
834f49fffffffff,3.0,0.0,0.0
836002fffffffff,6.0,0.0,0.0
83601efffffffff,6.0,0.0,0.0
836022fffffffff,5.0,0.0,0.0
836026fffffffff,4.0,0.0,0.0
83608bfffffffff,7.0,0.0,0.0
8360a2fffffffff,2.0,0.0,0.0
83611cfffffffff,5.0,0.0,0.0
8361a9fffffffff,1.0,0.0,0.0
836426fffffffff,11.0,8.0,0.0
8364a2fffffffff,2.0,0.0,0.0
8364e4fffffffff,2.0,0.0,0.0
836526fffffffff,6.0,0.0,0.0
83658bfffffffff,3.0,0.0,0.0
83658efffffffff,6.0,0.0,0.0
83682bfffffffff,11.0,0.0,0.0
836846fffffffff,3.0,0.0,0.0
836876fffffffff,2.0,0.0,0.0
837065fffffffff,2.0,0.0,0.0
8372aefffffffff,3.0,0.0,0.0
8372c9fffffffff,2.0,0.0,0.0
83739afffffffff,2.0,0.0,0.0
837683fffffffff,1.0,0.0,0.0
83769dfffffffff,3.0,0.0,0.0
837731fffffffff,2.0,0.0,0.0
837795fffffffff,1.0,0.0,0.0
837798fffffffff,2.0,0.0,0.0
837b2dfffffffff,2.0,0.0,0.0
837b59fffffffff,3.0,1.0,0.0
83845afffffffff,10.0,0.0,0.0
83845cfffffffff,8.0,0.0,0.0
838c13fffffffff,2.0,0.0,0.0
839413fffffffff,3.0,0.0,0.0
839454fffffffff,4.0,0.0,0.0
839485fffffffff,10.0,0.0,0.0
8394acfffffffff,5.0,0.0,0.0
839545fffffffff,1.0,1.0,0.0
839561fffffffff,2.0,0.0,0.0
839a15fffffffff,5.0,0.0,0.0
839a16fffffffff,4.0,0.0,0.0
839b0afffffffff,2.0,0.0,0.0
839b0cfffffffff,2.0,0.0,0.0
839b45fffffffff,4.0,0.0,0.0
839c5dfffffffff,2.0,0.0,0.0
839c9cfffffffff,2.0,0.0,0.0
839caafffffffff,1.0,0.0,0.0
839d0bfffffffff,1.0,0.0,0.0
839d9bfffffffff,2.0,0.0,0.0
839e06fffffffff,1.0,0.0,0.0
839e24fffffffff,2.0,0.0,0.0
839e26fffffffff,3.0,0.0,0.0
839edafffffffff,2.0,0.0,0.0
839edefffffffff,4.0,0.0,0.0
83a116fffffffff,2.0,0.0,0.0
83a1a4fffffffff,2.0,0.0,0.0
83a305fffffffff,1.0,0.0,0.0
83a32bfffffffff,1.0,0.0,0.0
83a391fffffffff,1.0,0.0,0.0
83a726fffffffff,5.0,0.0,0.0
83a79afffffffff,4.0,0.0,0.0
83bb50fffffffff,2.0,0.0,0.0
83bc89fffffffff,3.0,0.0,0.0
83bcf6fffffffff,8.0,0.0,0.0
83be0cfffffffff,4.0,0.0,0.0
83be88fffffffff,7.0,0.0,0.0
83be8cfffffffff,2.0,0.0,0.0
83be8dfffffffff,1.0,0.0,0.0
83beabfffffffff,2.0,0.0,0.0
