cell_id,Prioniturus discurus,Prioniturus discurus whiteheadi,Prioniturus discurus discurus
8468415ffffffff,1.0,0.0,0.0
846842bffffffff,1.0,0.0,0.0
8468439ffffffff,7.0,0.0,7.0
8468447ffffffff,24.0,0.0,0.0
8468449ffffffff,8.0,0.0,0.0
8468451ffffffff,1.0,0.0,0.0
8468459ffffffff,1.0,0.0,0.0
846846dffffffff,51.0,2.0,0.0
84684e5ffffffff,140.0,0.0,23.0
846856bffffffff,31.0,0.0,6.0
8468583ffffffff,1.0,0.0,0.0
846858bffffffff,2.0,0.0,2.0
84685c7ffffffff,2.0,0.0,0.0
84685d7ffffffff,6.0,0.0,0.0
84685d9ffffffff,2.0,0.0,0.0
84685dbffffffff,3.0,0.0,1.0
84685e9ffffffff,42.0,0.0,15.0
84685edffffffff,3.0,0.0,0.0
8468625ffffffff,3.0,0.0,0.0
8468665ffffffff,1.0,0.0,0.0
846866dffffffff,11.0,0.0,0.0
84686e9ffffffff,3.0,0.0,0.0
846871bffffffff,13.0,0.0,0.0
8468751ffffffff,18.0,2.0,0.0
8469593ffffffff,1.0,0.0,0.0
