cell_id,Phaethornis longirostris,Phaethornis longirostris [longirostris Group],Phaethornis longirostris baroni
824507fffffffff,3.0,0.0,0.0
824527fffffffff,4884.0,106.0,0.0
82452ffffffffff,6543.0,400.0,0.0
824537fffffffff,1394.0,0.0,0.0
824997fffffffff,6.0,4.0,0.0
826607fffffffff,29.0,0.0,0.0
82660ffffffffff,467.0,11.0,0.0
826617fffffffff,1276.0,137.0,0.0
82661ffffffffff,755.0,10.0,0.0
826627fffffffff,695.0,37.0,0.0
82662ffffffffff,37.0,0.0,0.0
826637fffffffff,10.0,0.0,0.0
8266a7fffffffff,5856.0,599.0,0.0
8266affffffffff,3.0,0.0,0.0
8266b7fffffffff,4991.0,5.0,0.0
8266d7fffffffff,34.0,0.0,1.0
8266e7fffffffff,268.0,0.0,0.0
826797fffffffff,246.0,0.0,0.0
82679ffffffffff,3385.0,0.0,0.0
8267b7fffffffff,3.0,0.0,0.0
826d27fffffffff,574.0,76.0,0.0
826d2ffffffffff,733.0,107.0,0.0
826d37fffffffff,409.0,54.0,0.0
826d67fffffffff,1837.0,27.0,0.0
826d6ffffffffff,10313.0,0.0,0.0
828f0ffffffffff,184.0,0.0,72.0
828f27fffffffff,6.0,0.0,2.0
828f2ffffffffff,1202.0,0.0,483.0
828f57fffffffff,3.0,0.0,0.0
828f77fffffffff,14.0,0.0,12.0
