cell_id,Tangara vassorii,Tangara vassorii vassorii/branickii,Tangara vassorii atrocoerulea
8466185ffffffff,1.0,0.0,0.0
8466299ffffffff,2.0,2.0,0.0
8466d31ffffffff,10.0,6.0,0.0
8466d53ffffffff,11.0,5.0,0.0
8466de1ffffffff,6.0,6.0,0.0
8466dedffffffff,5.0,4.0,0.0
8466e03ffffffff,1.0,0.0,0.0
8466e67ffffffff,2.0,1.0,0.0
8466f1dffffffff,15.0,0.0,0.0
84675a5ffffffff,1.0,0.0,0.0
848b617ffffffff,3.0,0.0,3.0
848b6cdffffffff,7.0,0.0,7.0
848f4a5ffffffff,2.0,0.0,2.0
848f547ffffffff,5.0,0.0,0.0
848f721ffffffff,1.0,1.0,0.0
848f727ffffffff,3.0,3.0,0.0
