cell_id,Tangara velia,Tangara velia [velia Group],Tangara velia cyanomelas
825f07fffffffff,50.0,4.0,0.0
825f0ffffffffff,5.0,0.0,0.0
825f17fffffffff,20.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0
825f2ffffffffff,9.0,0.0,0.0
825f47fffffffff,8.0,0.0,0.0
825f57fffffffff,2.0,0.0,0.0
825f77fffffffff,59.0,0.0,0.0
826647fffffffff,151.0,2.0,0.0
82664ffffffffff,8.0,0.0,0.0
82665ffffffffff,253.0,6.0,0.0
82666ffffffffff,2.0,0.0,0.0
8266c7fffffffff,241.0,0.0,0.0
8266cffffffffff,11.0,0.0,0.0
8266d7fffffffff,55.0,0.0,0.0
8266dffffffffff,1075.0,96.0,0.0
8266e7fffffffff,5.0,0.0,0.0
8266effffffffff,212.0,0.0,0.0
828047fffffffff,149.0,12.0,0.0
82804ffffffffff,8.0,1.0,0.0
828067fffffffff,10.0,0.0,0.0
828077fffffffff,12.0,0.0,0.0
828117fffffffff,3.0,0.0,0.0
828127fffffffff,1.0,0.0,0.0
828137fffffffff,191.0,0.0,139.0
82814ffffffffff,13.0,3.0,0.0
828187fffffffff,62.0,0.0,41.0
828a07fffffffff,56.0,21.0,0.0
828a17fffffffff,24.0,0.0,0.0
828a1ffffffffff,4.0,0.0,0.0
828a27fffffffff,16.0,6.0,0.0
828a37fffffffff,3.0,0.0,0.0
828a47fffffffff,69.0,3.0,0.0
828a4ffffffffff,3.0,0.0,0.0
828a57fffffffff,1.0,0.0,0.0
828a6ffffffffff,184.0,0.0,0.0
828a87fffffffff,2.0,0.0,0.0
828a8ffffffffff,6.0,0.0,0.0
828a97fffffffff,17.0,0.0,0.0
828a9ffffffffff,6.0,0.0,0.0
828aaffffffffff,40.0,0.0,0.0
828adffffffffff,2.0,2.0,0.0
828af7fffffffff,222.0,43.0,0.0
828b0ffffffffff,2.0,0.0,0.0
828b47fffffffff,147.0,0.0,0.0
828b57fffffffff,1.0,0.0,0.0
828b5ffffffffff,8.0,0.0,0.0
828b67fffffffff,87.0,0.0,0.0
828b6ffffffffff,36.0,0.0,0.0
828b77fffffffff,13.0,0.0,0.0
828b87fffffffff,2.0,0.0,0.0
828b8ffffffffff,3.0,1.0,0.0
828b9ffffffffff,224.0,14.0,0.0
828f47fffffffff,38.0,0.0,0.0
828f4ffffffffff,23.0,0.0,0.0
828f67fffffffff,19.0,0.0,0.0
828f6ffffffffff,32.0,4.0,0.0
828f77fffffffff,84.0,15.0,0.0
82a597fffffffff,194.0,0.0,165.0
82a897fffffffff,15.0,0.0,15.0
