cell_id,Phyllastrephus cabanisi,Phyllastrephus cabanisi placidus,Phyllastrephus cabanisi [cabanisi Group]
846ac03ffffffff,3.0,0.0,2.0
846ac07ffffffff,1.0,0.0,1.0
846ac0bffffffff,8.0,0.0,3.0
846ac15ffffffff,2.0,0.0,0.0
846ac1dffffffff,1.0,0.0,0.0
846ac3dffffffff,2.0,0.0,0.0
846ac93ffffffff,11.0,0.0,0.0
846acadffffffff,2.0,0.0,0.0
846ace5ffffffff,4.0,0.0,0.0
846ad8dffffffff,2.0,0.0,2.0
846adc1ffffffff,239.0,0.0,40.0
846adc5ffffffff,99.0,0.0,0.0
846adcbffffffff,1.0,0.0,0.0
846ade7ffffffff,21.0,0.0,6.0
846aea1ffffffff,2.0,0.0,0.0
847a409ffffffff,3.0,2.0,0.0
847a40bffffffff,1.0,0.0,0.0
847a451ffffffff,1.0,0.0,0.0
847a453ffffffff,1.0,1.0,0.0
847a455ffffffff,87.0,33.0,0.0
847a457ffffffff,37.0,20.0,0.0
847a459ffffffff,3.0,0.0,0.0
847a45bffffffff,58.0,17.0,0.0
847a489ffffffff,21.0,0.0,0.0
847a48bffffffff,3.0,0.0,1.0
847a4b5ffffffff,2.0,0.0,0.0
847a4c1ffffffff,2.0,0.0,0.0
847a4c3ffffffff,1.0,0.0,0.0
847a4c5ffffffff,9.0,0.0,0.0
847a4c7ffffffff,2.0,0.0,0.0
847a4c9ffffffff,3.0,0.0,0.0
847a4cbffffffff,132.0,0.0,25.0
847a4cdffffffff,10.0,0.0,2.0
847a4d5ffffffff,1.0,0.0,0.0
847a4ddffffffff,159.0,0.0,26.0
847a60bffffffff,2.0,2.0,0.0
847a613ffffffff,2.0,0.0,0.0
847a619ffffffff,2.0,0.0,0.0
847a643ffffffff,48.0,17.0,0.0
847a653ffffffff,7.0,7.0,0.0
847a657ffffffff,2.0,1.0,0.0
847a683ffffffff,39.0,0.0,3.0
847a6bbffffffff,2.0,0.0,0.0
847a6bdffffffff,2.0,0.0,0.0
847a6e1ffffffff,2.0,0.0,0.0
847a6e5ffffffff,189.0,66.0,0.0
847a6e7ffffffff,16.0,0.0,0.0
847b487ffffffff,39.0,19.0,0.0
847b4b3ffffffff,5.0,2.0,0.0
847b4b7ffffffff,3.0,3.0,0.0
847b4b9ffffffff,55.0,24.0,0.0
847b4bdffffffff,1.0,1.0,0.0
847b4dbffffffff,9.0,3.0,0.0
8483125ffffffff,16.0,0.0,1.0
8483337ffffffff,3.0,0.0,0.0
848333dffffffff,1.0,0.0,0.0
8483a89ffffffff,3.0,0.0,3.0
8496009ffffffff,7.0,0.0,5.0
8496015ffffffff,2.0,0.0,2.0
8496019ffffffff,3.0,0.0,0.0
849602dffffffff,15.0,0.0,5.0
8496039ffffffff,1.0,0.0,1.0
849603bffffffff,4.0,0.0,0.0
8496093ffffffff,2.0,0.0,0.0
8496097ffffffff,16.0,0.0,4.0
8496099ffffffff,1.0,0.0,0.0
84960bbffffffff,7.0,0.0,5.0
8496105ffffffff,1.0,0.0,0.0
849615bffffffff,5.0,0.0,0.0
849615dffffffff,13.0,0.0,8.0
8496569ffffffff,9.0,0.0,0.0
849656bffffffff,1.0,0.0,0.0
84966c5ffffffff,1.0,0.0,0.0
8496707ffffffff,3.0,0.0,0.0
8496727ffffffff,1.0,0.0,0.0
849672dffffffff,1.0,0.0,0.0
84968d3ffffffff,1.0,0.0,0.0
8496903ffffffff,2.0,1.0,0.0
8496925ffffffff,101.0,60.0,0.0
8496935ffffffff,7.0,4.0,0.0
849693dffffffff,1.0,0.0,0.0
8496a03ffffffff,5.0,1.0,0.0
8496b09ffffffff,8.0,6.0,0.0
8496b21ffffffff,6.0,0.0,0.0
8496b2bffffffff,3.0,2.0,0.0
8496b55ffffffff,10.0,9.0,0.0
8496b67ffffffff,5.0,4.0,0.0
8497895ffffffff,4.0,0.0,0.0
84978ebffffffff,11.0,5.0,0.0
8497a85ffffffff,17.0,5.0,0.0
8497a89ffffffff,11.0,10.0,0.0
8497ac7ffffffff,6.0,5.0,0.0
