cell_id,Lamprotornis chloropterus,Lamprotornis chloropterus chloropterus,Lamprotornis chloropterus elisabeth
835280fffffffff,2.0,0.0,0.0
835283fffffffff,2.0,0.0,0.0
835284fffffffff,2.0,0.0,0.0
835285fffffffff,2.0,0.0,0.0
835298fffffffff,6.0,3.0,0.0
835299fffffffff,4.0,0.0,0.0
83529bfffffffff,31.0,12.0,0.0
8352b1fffffffff,1.0,0.0,0.0
835402fffffffff,1.0,1.0,0.0
835418fffffffff,2.0,0.0,0.0
835419fffffffff,9.0,2.0,0.0
83541afffffffff,141.0,23.0,0.0
83541bfffffffff,57.0,7.0,0.0
83541efffffffff,5.0,0.0,0.0
835444fffffffff,2.0,0.0,0.0
8354a9fffffffff,159.0,25.0,0.0
8354adfffffffff,14.0,2.0,0.0
8354c5fffffffff,2.0,0.0,0.0
8354e0fffffffff,1.0,0.0,0.0
8354e4fffffffff,13.0,4.0,0.0
8354e5fffffffff,7.0,0.0,0.0
8354f4fffffffff,30.0,10.0,0.0
8354f5fffffffff,4.0,3.0,0.0
835851fffffffff,1.0,0.0,0.0
835858fffffffff,1.0,0.0,0.0
835896fffffffff,11.0,3.0,0.0
8358a6fffffffff,2.0,0.0,0.0
8358c8fffffffff,6.0,2.0,0.0
8358cdfffffffff,1.0,1.0,0.0
8358e2fffffffff,22.0,14.0,0.0
8358e3fffffffff,1.0,1.0,0.0
8358e6fffffffff,1.0,0.0,0.0
8358f5fffffffff,12.0,5.0,0.0
835982fffffffff,2.0,0.0,0.0
835993fffffffff,2.0,0.0,0.0
835998fffffffff,2.0,1.0,0.0
83599efffffffff,9.0,2.0,0.0
836a45fffffffff,13.0,0.0,0.0
836a49fffffffff,4.0,0.0,0.0
836a4afffffffff,2.0,0.0,0.0
836a4bfffffffff,2.0,0.0,0.0
836a5afffffffff,55.0,1.0,0.0
836a61fffffffff,2.0,0.0,0.0
836a69fffffffff,23.0,6.0,0.0
836ac0fffffffff,2.0,0.0,0.0
836ac3fffffffff,4.0,0.0,0.0
836ac8fffffffff,11.0,0.0,0.0
836accfffffffff,5.0,0.0,0.0
836acdfffffffff,4.0,3.0,0.0
836acefffffffff,39.0,2.0,0.0
836ae0fffffffff,3.0,0.0,0.0
836ae1fffffffff,2.0,0.0,0.0
836ae8fffffffff,31.0,7.0,0.0
836aeafffffffff,170.0,42.0,0.0
836aebfffffffff,49.0,6.0,0.0
836aeefffffffff,26.0,4.0,0.0
836b12fffffffff,4.0,0.0,0.0
836bb6fffffffff,1.0,0.0,0.0
837506fffffffff,1.0,0.0,0.0
837520fffffffff,78.0,10.0,0.0
837529fffffffff,17.0,2.0,0.0
837531fffffffff,4.0,0.0,0.0
837574fffffffff,10.0,0.0,0.0
837576fffffffff,2.0,0.0,0.0
837a48fffffffff,126.0,8.0,0.0
837a49fffffffff,2.0,0.0,0.0
837a4bfffffffff,4.0,0.0,0.0
837ac8fffffffff,8.0,0.0,0.0
837acafffffffff,4.0,0.0,0.0
837accfffffffff,4.0,0.0,0.0
837acdfffffffff,14.0,2.0,0.0
837ad9fffffffff,11.0,1.0,0.0
837ae8fffffffff,2.0,0.0,0.0
837ae9fffffffff,5.0,0.0,0.0
837aedfffffffff,4.0,0.0,0.0
837b4dfffffffff,1.0,0.0,1.0
837b5bfffffffff,1.0,0.0,1.0
837b6bfffffffff,12.0,0.0,5.0
839600fffffffff,11.0,0.0,11.0
839602fffffffff,14.0,0.0,8.0
839604fffffffff,4.0,0.0,2.0
839605fffffffff,1.0,0.0,0.0
839608fffffffff,4.0,0.0,1.0
839609fffffffff,5.0,0.0,2.0
83960cfffffffff,2.0,0.0,2.0
83960efffffffff,3.0,0.0,2.0
839615fffffffff,5.0,0.0,5.0
839621fffffffff,1.0,0.0,1.0
839623fffffffff,12.0,0.0,6.0
839624fffffffff,3.0,0.0,3.0
839628fffffffff,8.0,0.0,6.0
83962bfffffffff,38.0,0.0,22.0
83962cfffffffff,65.0,0.0,57.0
83962dfffffffff,5.0,0.0,3.0
83962efffffffff,15.0,0.0,7.0
839632fffffffff,1.0,0.0,1.0
839633fffffffff,3.0,0.0,0.0
839636fffffffff,2.0,0.0,2.0
839681fffffffff,4.0,0.0,4.0
839682fffffffff,2.0,0.0,0.0
83968cfffffffff,2.0,0.0,2.0
8396a2fffffffff,3.0,0.0,3.0
8396a3fffffffff,4.0,0.0,2.0
8396a5fffffffff,12.0,0.0,5.0
8396abfffffffff,2.0,0.0,2.0
8396aefffffffff,2.0,0.0,0.0
8396b0fffffffff,29.0,0.0,29.0
8396b1fffffffff,21.0,0.0,7.0
8396b2fffffffff,1.0,0.0,1.0
8396b5fffffffff,6.0,0.0,2.0
8396b6fffffffff,32.0,0.0,14.0
839702fffffffff,1.0,0.0,0.0
839703fffffffff,4.0,0.0,0.0
839708fffffffff,4.0,0.0,0.0
83970afffffffff,2.0,0.0,2.0
83970dfffffffff,1.0,0.0,0.0
839710fffffffff,6.0,0.0,6.0
839711fffffffff,26.0,0.0,24.0
839719fffffffff,52.0,0.0,38.0
839750fffffffff,3.0,0.0,0.0
839751fffffffff,2.0,0.0,0.0
839753fffffffff,8.0,0.0,6.0
83975bfffffffff,1.0,0.0,1.0
83975cfffffffff,4.0,0.0,0.0
83975dfffffffff,3.0,0.0,3.0
839772fffffffff,5.0,0.0,0.0
83978bfffffffff,13.0,0.0,12.0
83978dfffffffff,17.0,0.0,6.0
8397a8fffffffff,2.0,0.0,1.0
8397aafffffffff,5.0,0.0,1.0
8397adfffffffff,5.0,0.0,0.0
