cell_id,Fulica americana,Fulica americana (Red-shielded),Fulica americana (White-shielded)
830741fffffffff,1.0,1.0,0.0
83075dfffffffff,4.0,2.0,0.0
830c42fffffffff,4.0,0.0,0.0
830c45fffffffff,5.0,0.0,0.0
830c51fffffffff,7.0,3.0,0.0
830c5afffffffff,13.0,0.0,0.0
830c73fffffffff,34.0,13.0,0.0
830d5afffffffff,1.0,0.0,0.0
830e49fffffffff,2.0,0.0,0.0
830e4dfffffffff,13.0,0.0,0.0
830e80fffffffff,62.0,15.0,0.0
830ecafffffffff,12.0,8.0,0.0
830ecbfffffffff,2.0,2.0,0.0
830eccfffffffff,9.0,0.0,0.0
830eeafffffffff,208.0,25.0,0.0
831221fffffffff,2.0,2.0,0.0
831226fffffffff,1.0,1.0,0.0
831230fffffffff,3.0,3.0,0.0
831236fffffffff,1.0,1.0,0.0
831259fffffffff,6.0,0.0,0.0
83125dfffffffff,7.0,0.0,0.0
831280fffffffff,2.0,0.0,0.0
831284fffffffff,2.0,2.0,0.0
831285fffffffff,2.0,0.0,0.0
831286fffffffff,7.0,2.0,0.0
831288fffffffff,3.0,3.0,0.0
831289fffffffff,116.0,107.0,0.0
83128dfffffffff,1.0,1.0,0.0
83128efffffffff,2.0,2.0,0.0
831294fffffffff,3.0,0.0,0.0
8312b0fffffffff,16.0,9.0,0.0
8312b4fffffffff,4.0,0.0,0.0
8312c1fffffffff,17.0,2.0,0.0
8312c3fffffffff,91.0,86.0,0.0
8312c8fffffffff,6.0,0.0,0.0
8312c9fffffffff,16.0,4.0,0.0
8312cafffffffff,38.0,38.0,0.0
8312cbfffffffff,30.0,11.0,0.0
8312ccfffffffff,129.0,23.0,0.0
8312cdfffffffff,8.0,1.0,0.0
8312cefffffffff,6.0,6.0,0.0
8312d4fffffffff,16.0,16.0,0.0
8312d6fffffffff,8.0,2.0,0.0
8312d9fffffffff,40.0,14.0,0.0
8312dbfffffffff,3.0,0.0,0.0
8312ddfffffffff,352.0,344.0,0.0
8312defffffffff,2.0,0.0,0.0
8312e1fffffffff,3.0,3.0,0.0
8312e8fffffffff,8.0,6.0,0.0
8312eafffffffff,1.0,0.0,0.0
8312ecfffffffff,4.0,0.0,0.0
8312f6fffffffff,2.0,0.0,0.0
831352fffffffff,6.0,3.0,0.0
831382fffffffff,5.0,4.0,0.0
831386fffffffff,59.0,25.0,0.0
83138cfffffffff,18.0,18.0,0.0
831391fffffffff,2.0,2.0,0.0
83139efffffffff,17.0,16.0,0.0
8313a9fffffffff,7.0,7.0,0.0
8313b3fffffffff,2.0,2.0,0.0
8313b5fffffffff,6.0,6.0,0.0
831801fffffffff,2.0,0.0,0.0
831805fffffffff,4.0,4.0,0.0
831823fffffffff,2.0,0.0,0.0
831828fffffffff,6.0,0.0,0.0
831849fffffffff,2.0,0.0,0.0
831948fffffffff,2.0,0.0,0.0
831aa0fffffffff,346.0,83.0,0.0
831aa3fffffffff,2.0,2.0,0.0
831aa6fffffffff,4.0,2.0,0.0
831d24fffffffff,22.0,0.0,0.0
832600fffffffff,6.0,6.0,0.0
832601fffffffff,5.0,0.0,0.0
832603fffffffff,49.0,5.0,1.0
832605fffffffff,2.0,0.0,0.0
832606fffffffff,4.0,4.0,0.0
832608fffffffff,88.0,64.0,0.0
83260afffffffff,94.0,92.0,0.0
83260bfffffffff,43.0,16.0,0.0
83260dfffffffff,2.0,0.0,0.0
83260efffffffff,32.0,18.0,0.0
832611fffffffff,2.0,2.0,0.0
832613fffffffff,2.0,0.0,0.0
832616fffffffff,5.0,5.0,0.0
832618fffffffff,67.0,67.0,0.0
832619fffffffff,39.0,29.0,0.0
83261afffffffff,4.0,2.0,0.0
83261bfffffffff,9.0,8.0,0.0
83261dfffffffff,2.0,2.0,0.0
832620fffffffff,9.0,4.0,0.0
832621fffffffff,9.0,0.0,0.0
832622fffffffff,6.0,2.0,0.0
832625fffffffff,2.0,2.0,0.0
832626fffffffff,5.0,3.0,0.0
832628fffffffff,4.0,0.0,0.0
832629fffffffff,10.0,10.0,0.0
83262afffffffff,15.0,4.0,0.0
83262bfffffffff,14.0,0.0,0.0
83262cfffffffff,14.0,14.0,0.0
83262dfffffffff,2.0,2.0,0.0
832630fffffffff,2.0,2.0,0.0
832633fffffffff,4.0,2.0,0.0
832634fffffffff,2.0,0.0,0.0
832635fffffffff,2.0,0.0,0.0
832636fffffffff,10.0,6.0,0.0
832640fffffffff,5.0,4.0,0.0
832641fffffffff,2.0,1.0,0.0
832642fffffffff,16.0,16.0,0.0
832643fffffffff,29.0,29.0,0.0
832644fffffffff,3.0,3.0,0.0
832646fffffffff,70.0,58.0,0.0
832648fffffffff,149.0,143.0,0.0
832649fffffffff,30.0,6.0,0.0
83264afffffffff,44.0,41.0,0.0
83264bfffffffff,79.0,37.0,0.0
83264cfffffffff,181.0,168.0,0.0
83264dfffffffff,474.0,381.0,0.0
83264efffffffff,83.0,72.0,0.0
832650fffffffff,1.0,1.0,0.0
832652fffffffff,9.0,7.0,0.0
832653fffffffff,52.0,52.0,0.0
832654fffffffff,26.0,18.0,0.0
832655fffffffff,80.0,66.0,0.0
832656fffffffff,59.0,50.0,0.0
832658fffffffff,5.0,0.0,0.0
832659fffffffff,191.0,174.0,0.0
83265afffffffff,7.0,3.0,0.0
83265bfffffffff,13.0,11.0,0.0
83265dfffffffff,107.0,105.0,0.0
832660fffffffff,15.0,10.0,0.0
832661fffffffff,2.0,2.0,0.0
832662fffffffff,13.0,0.0,0.0
832664fffffffff,38.0,32.0,0.0
832665fffffffff,3.0,3.0,0.0
832666fffffffff,35.0,22.0,0.0
832668fffffffff,1.0,1.0,0.0
832669fffffffff,4.0,4.0,0.0
83266afffffffff,4.0,3.0,0.0
83266bfffffffff,35.0,7.0,0.0
83266dfffffffff,8.0,2.0,0.0
83266efffffffff,29.0,22.0,0.0
832670fffffffff,5.0,2.0,0.0
832671fffffffff,43.0,28.0,0.0
832673fffffffff,1.0,1.0,0.0
832674fffffffff,192.0,169.0,0.0
832675fffffffff,22.0,22.0,0.0
832676fffffffff,6.0,6.0,0.0
832680fffffffff,108.0,42.0,0.0
832681fffffffff,472.0,394.0,0.0
832682fffffffff,5.0,5.0,0.0
832683fffffffff,10.0,2.0,0.0
832684fffffffff,2.0,0.0,0.0
832685fffffffff,33.0,6.0,0.0
832688fffffffff,93.0,50.0,0.0
832689fffffffff,18.0,5.0,0.0
83268afffffffff,35.0,16.0,0.0
83268bfffffffff,9.0,5.0,0.0
83268cfffffffff,818.0,737.0,0.0
83268dfffffffff,83.0,50.0,0.0
83268efffffffff,98.0,54.0,0.0
832690fffffffff,21.0,8.0,0.0
832692fffffffff,2.0,0.0,0.0
832694fffffffff,2.0,2.0,0.0
832695fffffffff,6.0,1.0,0.0
832696fffffffff,154.0,90.0,0.0
832698fffffffff,60.0,10.0,0.0
832699fffffffff,72.0,14.0,0.0
83269afffffffff,6.0,2.0,0.0
83269cfffffffff,30.0,10.0,0.0
83269dfffffffff,55.0,17.0,0.0
83269efffffffff,4.0,1.0,0.0
8326a2fffffffff,3.0,0.0,0.0
8326a4fffffffff,2.0,2.0,0.0
8326a8fffffffff,49.0,42.0,0.0
8326a9fffffffff,13.0,5.0,0.0
8326aafffffffff,119.0,75.0,0.0
8326abfffffffff,13.0,10.0,0.0
8326acfffffffff,26.0,5.0,0.0
8326adfffffffff,10.0,4.0,0.0
8326aefffffffff,5.0,2.0,0.0
8326b2fffffffff,2.0,0.0,0.0
8326b6fffffffff,6.0,0.0,0.0
8326c1fffffffff,4.0,4.0,0.0
8326c2fffffffff,2.0,0.0,0.0
8326c3fffffffff,6.0,6.0,0.0
8326c4fffffffff,2.0,0.0,0.0
8326c5fffffffff,5.0,1.0,0.0
8326c6fffffffff,2.0,2.0,0.0
8326c8fffffffff,7.0,4.0,0.0
8326c9fffffffff,85.0,77.0,0.0
8326cafffffffff,3.0,3.0,0.0
8326cbfffffffff,22.0,21.0,0.0
8326ccfffffffff,3.0,3.0,0.0
8326cdfffffffff,4.0,4.0,0.0
8326d0fffffffff,1.0,0.0,0.0
8326d3fffffffff,5.0,3.0,0.0
8326d4fffffffff,5.0,5.0,0.0
8326d6fffffffff,1.0,1.0,0.0
8326d8fffffffff,4.0,2.0,0.0
8326d9fffffffff,2.0,0.0,0.0
8326dafffffffff,3.0,3.0,0.0
8326dbfffffffff,6.0,0.0,0.0
8326ddfffffffff,2.0,2.0,0.0
8326defffffffff,2.0,1.0,0.0
8326e0fffffffff,1.0,1.0,0.0
8326e1fffffffff,1.0,1.0,0.0
8326e2fffffffff,77.0,65.0,0.0
8326e3fffffffff,1.0,1.0,0.0
8326e4fffffffff,4.0,4.0,0.0
8326e5fffffffff,40.0,25.0,0.0
8326e6fffffffff,37.0,16.0,0.0
8326e9fffffffff,5.0,0.0,0.0
8326edfffffffff,10.0,7.0,0.0
8326eefffffffff,2.0,2.0,0.0
8326f0fffffffff,7.0,2.0,0.0
8326f1fffffffff,4.0,4.0,0.0
8326f2fffffffff,188.0,43.0,0.0
8326f3fffffffff,3.0,1.0,0.0
8326f4fffffffff,5.0,5.0,0.0
8326f5fffffffff,4.0,2.0,0.0
8326f6fffffffff,7.0,5.0,0.0
832702fffffffff,86.0,6.0,0.0
832703fffffffff,3.0,0.0,0.0
832705fffffffff,5.0,0.0,0.0
832706fffffffff,3.0,0.0,0.0
832708fffffffff,4.0,4.0,0.0
83270afffffffff,11.0,0.0,0.0
83270efffffffff,7.0,5.0,0.0
832710fffffffff,2.0,2.0,0.0
832711fffffffff,12.0,2.0,0.0
832712fffffffff,2.0,0.0,0.0
832713fffffffff,21.0,5.0,0.0
832715fffffffff,2.0,2.0,0.0
832719fffffffff,2.0,0.0,0.0
83271afffffffff,24.0,24.0,0.0
83271cfffffffff,8.0,2.0,0.0
83271dfffffffff,2.0,2.0,0.0
83271efffffffff,2.0,0.0,0.0
832732fffffffff,1.0,0.0,0.0
832740fffffffff,19.0,15.0,0.0
832741fffffffff,161.0,159.0,0.0
832742fffffffff,11.0,3.0,0.0
832743fffffffff,28.0,5.0,0.0
832744fffffffff,18.0,16.0,0.0
832745fffffffff,12.0,12.0,0.0
832746fffffffff,4.0,4.0,0.0
832748fffffffff,439.0,422.0,0.0
832749fffffffff,806.0,785.0,0.0
83274afffffffff,37.0,35.0,0.0
83274bfffffffff,206.0,198.0,0.0
83274cfffffffff,28.0,26.0,0.0
83274dfffffffff,830.0,818.0,0.0
83274efffffffff,304.0,302.0,0.0
832751fffffffff,2.0,2.0,0.0
832752fffffffff,38.0,8.0,0.0
832753fffffffff,3.0,3.0,0.0
832754fffffffff,24.0,8.0,0.0
832755fffffffff,6.0,2.0,0.0
832758fffffffff,60.0,58.0,0.0
832759fffffffff,96.0,67.0,0.0
