cell_id,Oenanthe lugens,Oenanthe lugens lugens/persica,Oenanthe lugens halophila,Oenanthe lugens warriae
842c93bffffffff,2.0,0.0,0.0,0.0
842cf27ffffffff,2.0,2.0,0.0,0.0
842db11ffffffff,5.0,5.0,0.0,0.0
842db2bffffffff,3.0,0.0,0.0,0.0
842db2dffffffff,2.0,2.0,0.0,0.0
843842bffffffff,1.0,0.0,1.0,0.0
8438741ffffffff,1.0,0.0,1.0,0.0
84398e5ffffffff,2.0,0.0,2.0,0.0
843e689ffffffff,19.0,1.0,0.0,18.0
843e6c3ffffffff,41.0,2.0,0.0,39.0
843e6c7ffffffff,3.0,2.0,0.0,1.0
843e6c9ffffffff,7.0,7.0,0.0,0.0
843f4d1ffffffff,3.0,0.0,0.0,0.0
843f637ffffffff,1.0,0.0,0.0,0.0
84432abffffffff,1.0,0.0,0.0,0.0
8443a13ffffffff,3.0,0.0,0.0,0.0
8443a25ffffffff,2.0,0.0,0.0,0.0
8443a63ffffffff,3.0,0.0,0.0,0.0
8443a69ffffffff,1.0,0.0,0.0,0.0
8443ac1ffffffff,1.0,0.0,0.0,0.0
8443ae1ffffffff,4.0,0.0,0.0,0.0
8443ae5ffffffff,22.0,1.0,0.0,0.0
8443ae9ffffffff,1.0,0.0,0.0,0.0
84521e9ffffffff,1.0,0.0,0.0,0.0
84534d9ffffffff,1.0,0.0,0.0,0.0
84534dbffffffff,16.0,0.0,0.0,0.0
84534ddffffffff,1.0,0.0,0.0,0.0
84536e7ffffffff,2.0,0.0,0.0,0.0
8453a4dffffffff,2.0,0.0,0.0,0.0
