cell_id,Amazilis amazilia,Amazilis amazilia [dumerilii Group],Amazilis amazilia amazilia,Amazilis amazilia caeruleigularis
8366d0fffffffff,2.0,0.0,0.0,0.0
8366d2fffffffff,39.0,7.0,0.0,0.0
838e25fffffffff,2.0,0.0,0.0,0.0
838e44fffffffff,3.0,0.0,0.0,0.0
838e45fffffffff,133.0,0.0,0.0,0.0
838e62fffffffff,5181.0,0.0,0.0,0.0
838e63fffffffff,46.0,0.0,0.0,0.0
838e66fffffffff,54.0,0.0,0.0,0.0
838e6afffffffff,46.0,0.0,0.0,0.0
838e75fffffffff,219.0,0.0,0.0,0.0
838f08fffffffff,94.0,0.0,0.0,0.0
838f09fffffffff,336.0,0.0,0.0,0.0
838f0bfffffffff,55.0,0.0,0.0,0.0
838f0dfffffffff,1347.0,206.0,0.0,0.0
838f28fffffffff,169.0,20.0,0.0,0.0
838f29fffffffff,74.0,0.0,0.0,0.0
838f2afffffffff,886.0,68.0,0.0,0.0
838f2bfffffffff,1223.0,102.0,0.0,0.0
838f2cfffffffff,73.0,2.0,0.0,0.0
838f2dfffffffff,1.0,0.0,0.0,0.0
838f2efffffffff,251.0,32.0,0.0,0.0
838f50fffffffff,2114.0,0.0,0.0,0.0
838f51fffffffff,145.0,0.0,0.0,0.0
838f53fffffffff,73.0,0.0,0.0,0.0
838f54fffffffff,373.0,0.0,0.0,0.0
838f55fffffffff,22.0,0.0,0.0,0.0
838f56fffffffff,174.0,0.0,0.0,0.0
838f58fffffffff,6.0,0.0,0.0,0.0
838f5afffffffff,9.0,0.0,0.0,0.0
838f5bfffffffff,149.0,0.0,0.0,0.0
838f5efffffffff,38.0,0.0,0.0,0.0
838f72fffffffff,382.0,109.0,0.0,0.0
838f73fffffffff,2.0,0.0,0.0,0.0
838f76fffffffff,135.0,2.0,0.0,0.0
