cell_id,Pionus tumultuosus,Pionus tumultuosus seniloides,Pionus tumultuosus tumultuosus
82661ffffffffff,3.0,1.0,0.0
82662ffffffffff,15.0,2.0,0.0
8266d7fffffffff,8.0,4.0,0.0
8266dffffffffff,2.0,2.0,0.0
8266e7fffffffff,7.0,7.0,0.0
82675ffffffffff,6.0,2.0,0.0
828b27fffffffff,12.0,0.0,0.0
828b2ffffffffff,2.0,0.0,0.0
828b67fffffffff,3.0,0.0,0.0
828e67fffffffff,6.0,0.0,6.0
828f2ffffffffff,19.0,6.0,0.0
828f4ffffffffff,1.0,0.0,0.0
828f57fffffffff,4.0,2.0,0.0
828f5ffffffffff,6.0,0.0,0.0
828f77fffffffff,2.0,2.0,0.0
82b327fffffffff,2.0,0.0,0.0
